simplified	KN	example_KN
茫然	ಗೊಂದಲದಿಂದ ಖಾಲಿ ಮುಖ	ವಿವರಣೆ ಕೇಳಿದ ಮೇಲೂ ಅವನು ಗೊಂದಲದಿಂದ ಖಾಲಿ ಮುಖದಲ್ಲಿದ್ದ.
冒充	ತನ್ನನ್ನು ಬೇರೆವನು ಎಂದು ತೋರಿಸುವುದು	ಯಾರೋ ಪೊಲೀಸ್ ಎಂದು ನಟಿಸಿ ಜನರಿಂದ ಹಣ ವಂಚಿಸಿದರು.
冒犯	ನೋವುಂಟುಮಾಡುವುದು	ನನ್ನ ಮಾತು ನಿನಗೆ ನೋವುಂಟುಮಾಡುವ ಉದ್ದೇಶದಲ್ಲಿರಲಿಲ್ಲ.
茂盛	ದಟ್ಟವಾಗಿ ಬೆಳೆದ	ಆಂಗಣದ ಮರಗಳು ದಟ್ಟವಾಗಿ ಬೆಳೆದಿವೆ.
媒介	ಮಾಧ್ಯಮ	ಇಂಟರ್ನೆಟ್ ಮಾಹಿತಿಯ ಪ್ರಮುಖ ಮಾಧ್ಯಮ.
枚	ಸಣ್ಣ ವಸ್ತುಗಳ ವರ್ಗಸೂಚಕ	ಅವನು ಹಲವಾರು ಸ್ಮಾರಕ ನಾಣ್ಯಗಳನ್ನು ಸಂಗ್ರಹಿಸಿದನು.
美观	ಕಾಣಲು ಸುಂದರ	ಈ ವಿನ್ಯಾಸ ಉಪಯುಕ್ತವೂ ಕಾಣಲು ಸುಂದರವೂ ಆಗಿದೆ.
美满	ಸಂತೃಪ್ತ ಸುಖಮಯ	ಅವರು ಸಂತೃಪ್ತ ಸುಖಮಯ ಜೀವನ ನಡೆಸುತ್ತಾರೆ.
美妙	ಅದ್ಭುತ ಸುಂದರ	ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮ ಅದ್ಭುತ ಸುಂದರ ಅನುಭವ ನೀಡಿತು.
萌芽	ಮೊಳಕೆ ಹೊಡೆಯುವುದು	ಹೊಸ ಆಲೋಚನೆ ಮೊಳಕೆ ಹೊಡೆಯಲು ಆರಂಭಿಸಿತು.
猛烈	ತೀವ್ರ	ಬಿರುಗಾಳಿ ಬಹಳ ತೀವ್ರವಾಗಿ ಬಂದಿತು.
眯	ಕಣ್ಣು ಕಿರಿದಾಗಿಸುವುದು	ಸೂರ್ಯನ ಬೆಳಕು ಹೆಚ್ಚು ಇದ್ದುದರಿಂದ ಅವನು ಕಣ್ಣು ಕಿರಿದಾಗಿಸಿಕೊಂಡನು.
弥补	ಪೂರೈಸುವುದು	ಕ್ಷಮೆಯಾಚನೆ ನಷ್ಟವನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಪೂರೈಸಲಾರದು.
弥漫	ವ್ಯಾಪಿಸುವುದು	ಹೂವಿನ ಸುವಾಸನೆ ಆಂಗಣದಲ್ಲಿ ವ್ಯಾಪಿಸಿತು.
谜语	ಒಗಟು	ಮಕ್ಕಳಿಗೆ ಒಗಟುಗಳನ್ನು ಊಹಿಸುವುದು ಇಷ್ಟ.
迷惑	ಗೊಂದಲಗೊಳಿಸುವುದು	ಸಂಕೀರ್ಣ ದತ್ತಾಂಶ ಅವನಿಗೆ ಗೊಂದಲ ಉಂಟುಮಾಡಿತು.
迷人	ಆಕರ್ಷಕ	ಸಮುದ್ರತೀರದ ರಾತ್ರಿ ದೃಶ್ಯ ಬಹಳ ಆಕರ್ಷಕ.
迷信	ಮೂಢನಂಬಿಕೆ	ವಿಜ್ಞಾನ ಶಿಕ್ಷಣ ಮೂಢನಂಬಿಕೆಯನ್ನು ಕಡಿಮೆ ಮಾಡಬಹುದು.
密度	ಸಾಂದ್ರತೆ	ಈ ಲೋಹದ ಸಾಂದ್ರತೆ ತುಂಬ ಹೆಚ್ಚು.
密封	ಮುಚ್ಚಿ ಸೀಲುಮಾಡುವುದು	ತೆರೆದ ನಂತರ ಚೀಲವನ್ನು ಮತ್ತೆ ಮುಚ್ಚಿ ಸೀಲುಮಾಡಿ.
棉花	ಹತ್ತಿ	ರೈತರು ಹತ್ತಿ ಕಳೆಯುತ್ತಿದ್ದಾರೆ.
免得	ತಪ್ಪಿಸಲು	ತಡವಾಗುವುದನ್ನು ತಪ್ಪಿಸಲು ಬೇಗ ಹೊರಡು.
免疫	ರೋಗನಿರೋಧಕ ಶಕ್ತಿ	ಈ ಲಸಿಕೆ ರೋಗನಿರೋಧಕ ಶಕ್ತಿಯನ್ನು ಹೆಚ್ಚಿಸಬಹುದು.
勉励	ಪ್ರೋತ್ಸಾಹಿಸುವುದು	ಶಿಕ್ಷಕರು ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಓದನ್ನು ಮುಂದುವರಿಸಲು ಸದಾ ಪ್ರೋತ್ಸಾಹಿಸುತ್ತಾರೆ.
勉强	ಇಚ್ಛೆಯಿಲ್ಲದೆ	ಅವನು ಇಚ್ಛೆಯಿಲ್ಲದೆ ಈ ವ್ಯವಸ್ಥೆಗೆ ಒಪ್ಪಿಕೊಂಡನು.
面貌	ರೂಪ	ನಗರದ ರೂಪದಲ್ಲಿ ದೊಡ್ಡ ಬದಲಾವಣೆ ಸಂಭವಿಸಿದೆ.
面子	ಮಾನ	ಅವನು ಎಲ್ಲರ ಮುಂದೆ ಮಾನ ಕಳೆದುಕೊಳ್ಳಲು ಬಯಸಲಿಲ್ಲ.
描绘	ಚಿತ್ರಿಸುವುದು	ಕಾದಂಬರಿಯು ಗ್ರಾಮೀಣ ಜೀವನವನ್ನು ಚಿತ್ರಿಸುತ್ತದೆ.
瞄准	ಗುರಿ ಹಿಡಿಯುವುದು	ಗುಂಡು ಹೊಡೆಯುವವನು ಗುರಿಯನ್ನು ಹಿಡಿದನು.
渺小	ಅತಿ ಸಣ್ಣ	ಪ್ರಕೃತಿಯ ಮುಂದೆ ಮನುಷ್ಯ ಅತಿ ಸಣ್ಣವನಾಗಿ ಕಾಣುತ್ತಾನೆ.
藐视	ತಿರಸ್ಕರಿಸುವುದು	ನಾವು ಯಾವುದೇ ಎದುರಾಳಿಯನ್ನು ತಿರಸ್ಕರಿಸಬಾರದು.
灭亡	ನಾಶವಾಗುವುದು	ಈ ವಂಶ ಕೊನೆಗೆ ನಾಶದತ್ತ ಸಾಗಿತು.
蔑视	ಅವಮಾನದಿಂದ ತಿರಸ್ಕಾರ	ಅವನ ಧ್ವನಿಯಲ್ಲಿ ಅವಮಾನದಿಂದ ತಿರಸ್ಕಾರ ತುಂಬಿತ್ತು.
民间	ಜನಪದ	ಜನಪದ ಕಲೆಯನ್ನು ರಕ್ಷಿಸಬೇಕು.
民主	ಪ್ರಜಾಪ್ರಭುತ್ವ	ಸಭೆಯಲ್ಲಿ ಪ್ರಜಾಪ್ರಭುತ್ವ ಮತದಾನ ವಿಧಾನ ಬಳಸಲಾಯಿತು.
敏捷	ಚುರುಕು	ಕ್ರೀಡಾಪಟುವಿನ ಚಲನೆಗಳು ಬಹಳ ಚುರುಕಾಗಿದ್ದವು.
敏锐	ತೀಕ್ಷ್ಣ	ವರದಿಗಾರರಿಗೆ ತೀಕ್ಷ್ಣ ವೀಕ್ಷಣಾಶಕ್ತಿ ಬೇಕು.
名次	ಶ್ರೇಯಾಂಕ	ಅವಳು ಸ್ಪರ್ಧೆಯಲ್ಲಿ ಉತ್ತಮ ಶ್ರೇಯಾಂಕ ಪಡೆದಳು.
名额	ಸ್ಥಾನಗಳ ಮಿತಿ	ಈ ಯೋಜನೆಯಲ್ಲಿ ಕೇವಲ ಹತ್ತು ಸ್ಥಾನಗಳ ಮಿತಿ ಇದೆ.
名副其实	ಹೆಸರಿಗೆ ತಕ್ಕಂತೆಯೇ ನಿಜವಾದ	ಅವನು ಹೆಸರಿಗೆ ತಕ್ಕಂತೆಯೇ ನಿಜವಾದ ತಜ್ಞ.
名誉	ಕೀರ್ತಿ	ಈ ವಿಷಯ ಕಂಪನಿಯ ಕೀರ್ತಿಗೆ ಹಾನಿ ಮಾಡಿತು.
明明	ಸ್ಪಷ್ಟವಾಗಿ	ಅವನಿಗೆ ಉತ್ತರ ಸ್ಪಷ್ಟವಾಗಿ ಗೊತ್ತಿದ್ದರೂ ಹೇಳಲು ಒಪ್ಪಲಿಲ್ಲ.
明智	ವಿವೇಕಪೂರ್ಣ	ನಿರ್ಣಯವನ್ನು ಮುಂದೂಡುವುದು ವಿವೇಕಪೂರ್ಣ ಆಯ್ಕೆ.
命名	ಹೆಸರಿಡುವುದು	ವಿಜ್ಞಾನಿಗಳು ಹೊಸ ಜಾತಿಗೆ ಹೆಸರಿಟ್ಟರು.
摸索	ಹುಡುಕುತ್ತಾ ಪರೀಕ್ಷಿಸುವುದು	ತಂಡ ಇನ್ನೂ ಹೊಸ ವಿಧಾನಗಳನ್ನು ಹುಡುಕುತ್ತಾ ಪರೀಕ್ಷಿಸುತ್ತಿದೆ.
摩擦	ಘರ್ಷಣೆ	ಎರಡು ದೇಶಗಳ ನಡುವೆ ವ್ಯಾಪಾರ ಘರ್ಷಣೆ ಕಾಣಿಸಿಕೊಂಡಿತು.
模范	ಮಾದರಿ	ಅವನು ಶಾಲೆಯ ಎಲ್ಲಾ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಮಾದರಿ.
模式	ಮಾದರಿ ವಿಧಾನ	ಈ ವ್ಯವಹಾರ ಮಾದರಿ ವಿಧಾನ ಯಶಸ್ವಿಯಾಗಿದೆ.
模型	ಮಾದರಿ ರೂಪ	ಇಂಜಿನಿಯರ್ ಸೇತುವೆಯ ಮಾದರಿ ರೂಪ ತಯಾರಿಸಿದರು.
磨合	ಒಂದಕ್ಕೊಂದು ಹೊಂದಿಕೊಳ್ಳುವುದು	ಹೊಸ ತಂಡಕ್ಕೆ ಒಂದಕ್ಕೊಂದು ಹೊಂದಿಕೊಳ್ಳಲು ಸಮಯ ಬೇಕು.
膜	ಪೊರೆ	ಈ ಪೊರೆ ಅಶುದ್ಧಿಗಳನ್ನು ಶೋಧಿಸಬಹುದು.
魔鬼	ದೆವ್ವ	ಕಥೆಯಲ್ಲಿನ ದೆವ್ವ ತುಂಬ ಕುತಂತ್ರಿ.
魔术	ಮಾಯಾಜಾಲ	ಮಕ್ಕಳಿಗೆ ಮಾಯಾಜಾಲ ಪ್ರದರ್ಶನ ನೋಡುವುದು ಇಷ್ಟ.
抹杀	ಅಳಿಸಿಹಾಕುವುದು	ಅವನ ಕೊಡುಗೆಯನ್ನು ಅಳಿಸಿಹಾಕಲು ಸಾಧ್ಯವಿಲ್ಲ.
墨水儿	ಮಸಿ	ಪೆನ್ನಿನ ಮಸಿ ಬೇಗ ಮುಗಿಯಲಿದೆ.
莫名其妙	ಅರ್ಥವಾಗದ ಗೊಂದಲ	ಅವನ ಪ್ರತಿಕ್ರಿಯೆ ಜನರಿಗೆ ಅರ್ಥವಾಗದ ಗೊಂದಲ ಉಂಟುಮಾಡಿತು.
默默	ಮೌನವಾಗಿ	ಅವಳು ಮೌನವಾಗಿ ಅನೇಕ ಜನರಿಗೆ ಸಹಾಯ ಮಾಡಿದಳು.
谋求	ಹುಡುಕುವುದು	ಉದ್ಯಮವು ಹೊಸ ಅಭಿವೃದ್ಧಿ ಅವಕಾಶಗಳನ್ನು ಹುಡುಕುತ್ತಿದೆ.
模样	ಹೊರತೋರು	ಈಗ ಅವನ ಹೊರತೋರು ಬಹಳ ಬದಲಾಗಿದೆ.
母语	ತಾಯಿಭಾಷೆ	ಮಕ್ಕಳು ಚಿಕ್ಕ ವಯಸ್ಸಿನಿಂದಲೇ ತಾಯಿಭಾಷೆ ಕಲಿಯುತ್ತಾರೆ.
沐浴	ಸ್ನಾನ ಮಾಡುವಂತೆ ಆವರಿಸಿಕೊಳ್ಳುವುದು	ಬೆಳಗಿನ ಗ್ರಾಮ ಸೂರ್ಯಪ್ರಕಾಶದಲ್ಲಿ ಸ್ನಾನ ಮಾಡುವಂತೆ ಆವರಿಸಿಕೊಂಡಿತ್ತು.
目睹	ಕಣ್ಣಾರೆ ನೋಡುವುದು	ಅನೇಕರು ಈ ಅಪಘಾತವನ್ನು ಕಣ್ಣಾರೆ ನೋಡಿದರು.
目光	ದೃಷ್ಟಿ	ಎಲ್ಲರ ದೃಷ್ಟಿ ವೇದಿಕೆಯ ಮೇಲೆ ಕೇಂದ್ರೀಕೃತವಾಯಿತು.
拿手	ನಿಪುಣವಾದ	ಬ್ರೇಸ್ ಮಾಡಿದ ಮೀನು ಅವನ ನಿಪುಣವಾದ ಖಾದ್ಯ.
纳闷儿	ಆಶ್ಚರ್ಯದಿಂದ ಗೊಂದಲಗೊಳ್ಳುವುದು	ಅವನು ಯಾಕೆ ತಡವಾಯಿತು ಎಂದು ನಾನು ನಿರಂತರ ಆಶ್ಚರ್ಯದಿಂದ ಗೊಂದಲಗೊಂಡೆ.
耐用	ದೀರ್ಘಕಾಲ ಬಾಳಿಕೆ ಬರುವ	ಈ ಬೂಟುಗಳು ದೀರ್ಘಕಾಲ ಬಾಳಿಕೆ ಬರುತ್ತವೆ.
南辕北辙	ಗುರಿಗೆ ವಿರುದ್ಧವಾಗಿ ನಡೆಯುವುದು	ಅವನ ವಿಧಾನ ಗುರಿಗೆ ವಿರುದ್ಧವಾಗಿ ನಡೆಯುತ್ತದೆ.
难得	ಅಪರೂಪದ	ಇದು ಅಪರೂಪದ ಅವಕಾಶ.
难堪	ಸಂಕೋಚಕರ	ಈ ಪ್ರಶ್ನೆ ಅವನಿಗೆ ಬಹಳ ಸಂಕೋಚಕರವಾಯಿತು.
难能可贵	ಅಪರೂಪವಾಗಿ ಶ್ಲಾಘನೀಯ	ಒತ್ತಡದಲ್ಲಿಯೂ ಪ್ರಾಮಾಣಿಕವಾಗಿರುವುದು ಅಪರೂಪವಾಗಿ ಶ್ಲಾಘನೀಯ.
恼火	ಕೋಪಗೊಳ್ಳುವುದು	ಯಂತ್ರ ಮತ್ತೆ ಕೆಟ್ಟಿತು, ಅವನು ಬಹಳ ಕೋಪಗೊಂಡನು.
内涵	ಅಂತರಾರ್ಥ	ಈ ಪದಕ್ಕೆ ಸಮೃದ್ಧ ಸಾಂಸ್ಕೃತಿಕ ಅಂತರಾರ್ಥವಿದೆ.
内幕	ಆಂತರಿಕ ಕಥೆ	ವರದಿಗಾರನು ಘಟನೆಯ ಆಂತರಿಕ ಕಥೆಯನ್ನು ತನಿಖೆ ಮಾಡಲು ಯತ್ನಿಸಿದನು.
内在	ಅಂತರಂಗದ	ಅವನು ಮನುಷ್ಯನ ಅಂತರಂಗದ ಗುಣಗಳನ್ನು ಹೆಚ್ಚು ಮೌಲ್ಯ ಕೊಡುತ್ತಾನೆ.
能量	ಶಕ್ತಿ	ಈ ಉಪಹಾರ ನನಗೆ ಬಹಳ ಶಕ್ತಿ ನೀಡುತ್ತದೆ.
拟定	ಕರಡು ರೂಪಿಸುವುದು	ಕಾರ್ಯದರ್ಶಿ ಸಭೆಯ ಕಾರ್ಯಕ್ರಮವನ್ನು ಕರಡು ರೂಪಿಸುತ್ತಿದ್ದಾರೆ.
逆行	ವಿರುದ್ಧ ದಿಕ್ಕಿನಲ್ಲಿ ಹೋಗುವುದು	ಆ ಕಾರು ಏಕಮಾರ್ಗ ರಸ್ತೆಯಲ್ಲಿ ವಿರುದ್ಧ ದಿಕ್ಕಿನಲ್ಲಿ ಹೋಯಿತು.
年度	ವಾರ್ಷಿಕ	ಕಂಪನಿ ತನ್ನ ವಾರ್ಷಿಕ ವರದಿಯನ್ನು ಪ್ರಕಟಿಸಿತು.
捏	ಚಿವುಟುವುದು	ಅವಳು ಮಗುವಿನ ಗಲ್ಲವನ್ನು ಮೃದುವಾಗಿ ಚಿವುಟಿದಳು.
凝固	ಘನವಾಗುವುದು	ತಣ್ಣಗಾದ ನಂತರ ಮೆಣಸು ನಿಧಾನವಾಗಿ ಘನವಾಗುತ್ತದೆ.
凝聚	ಒಗ್ಗೂಡಿಸುವುದು	ಸಾಮಾನ್ಯ ಗುರಿ ತಂಡದ ಶಕ್ತಿಯನ್ನು ಒಗ್ಗೂಡಿಸಬಹುದು.
凝视	ಒಮ್ಮುಖವಾಗಿ ನೋಡುವುದು	ಅವನು ದೂರದ ದೀಪಗಳನ್ನು ಒಮ್ಮುಖವಾಗಿ ನೋಡಿದನು.
拧	ಚಿವುಟುವುದು	ಅವನು ಕೈಯಿಂದ ನನ್ನನ್ನು ಒಮ್ಮೆ ಚಿವುಟಿದನು.
宁肯	ಮೇಲಾಗಿ ಇಷ್ಟಪಡುವುದು	ಅವಳು ಸಿದ್ಧಾಂತ ಬಿಟ್ಟುಬಿಡುವುದಕ್ಕಿಂತ ಸೋಲುವುದನ್ನೇ ಮೇಲಾಗಿ ಇಷ್ಟಪಡುತ್ತಾಳೆ.
宁愿	ಮಾಡಲು ಇಷ್ಟಪಡುವುದು	ನಾನು ಬಸ್ಸಿಗಾಗಿ ಕಾಯುವುದಕ್ಕಿಂತ ನಡೆದು ಹೋಗಲು ಇಷ್ಟಪಡುತ್ತೇನೆ.
扭转	ತಿರುಗಿಸುವುದು	ಹೊಸ ನೀತಿ ನಷ್ಟದ ಪರಿಸ್ಥಿತಿಯನ್ನು ತಿರುಗಿಸಿತು.
纽扣儿	ಗುಂಡಿ	ಈ ಅಂಗಿಯ ಒಂದು ಗುಂಡಿ ಬಿದ್ದಿದೆ.
农历	ಚಾಂದ್ರ ಪಂಚಾಂಗ	ವಸಂತ ಹಬ್ಬವನ್ನು ಚಾಂದ್ರ ಪಂಚಾಂಗದ ದಿನಾಂಕದಂತೆ ಆಚರಿಸಲಾಗುತ್ತದೆ.
浓厚	ಗಾಢವಾದ	ಅವನಿಗೆ ಇತಿಹಾಸದ ಮೇಲೆ ಗಾಢವಾದ ಆಸಕ್ತಿ ಇದೆ.
奴隶	ದಾಸ	ಪ್ರಾಚೀನ ಸಮಾಜದಲ್ಲಿ ದಾಸ್ಯ ವ್ಯವಸ್ಥೆ ಇತ್ತು.
挪	ಸರಿಸುವುದು	ಕುರ್ಚಿಯನ್ನು ಸ್ವಲ್ಪ ಪಕ್ಕಕ್ಕೆ ಸರಿಸಿ.
虐待	ಹಿಂಸಿಸುವುದು	ಕಾನೂನು ಮಕ್ಕಳನ್ನು ಹಿಂಸಿಸುವುದನ್ನು ನಿಷೇಧಿಸುತ್ತದೆ.
哦	ಓಹ್	ಓಹ್, ಈಗ ನನಗೆ ಕೊನೆಗೂ ಅರ್ಥವಾಯಿತು.
殴打	ಹೊಡೆದು ಹಲ್ಲೆಮಾಡುವುದು	ಪೊಲೀಸರು ದಾರಿಹೋಕನನ್ನು ಹೊಡೆದು ಹಲ್ಲೆಮಾಡಿದ ವ್ಯಕ್ತಿಯನ್ನು ಬಂಧಿಸಿದರು.
偶像	ಆದರ್ಶ ವ್ಯಕ್ತಿ	ಅವಳು ಆ ಲೇಖಕನನ್ನು ತನ್ನ ಆದರ್ಶ ವ್ಯಕ್ತಿಯೆಂದು ನೋಡುತ್ತಾಳೆ.
呕吐	ವಾಂತಿ ಮಾಡುವುದು	ಕೆಟ್ಟ ಆಹಾರ ತಿಂದ ನಂತರ ಅವನು ವಾಂತಿ ಮಾಡತೊಡಗಿದನು.
趴	ಹೊಟ್ಟೆಯ ಮೇಲೆ ಮಲಗುವುದು	ಚಿಕ್ಕ ಬೆಕ್ಕು ಕಿಟಕಿಯ ಅಂಚಿನಲ್ಲಿ ಹೊಟ್ಟೆಯ ಮೇಲೆ ಮಲಗಿ ನಿದ್ರಿಸಿತು.
徘徊	ಅಲೆದಾಡುತ್ತ ತಂಗುವುದು	ಅವನು ಬಾಗಿಲ ಬಳಿಯಲ್ಲಿ ಬಹಳ ಹೊತ್ತು ಅಲೆದಾಡುತ್ತ ತಂಗಿದ್ದ.
排斥	ತಳ್ಳಿ ಹಾಕುವುದು	ಹೊಸ ವಸ್ತು ತೇವವನ್ನು ತಳ್ಳಿ ಹಾಕುತ್ತದೆ.
排除	ತೆಗೆಯುವುದು	ವೈದ್ಯರು ಮೊದಲು ಗಂಭೀರ ರೋಗವನ್ನು ತೆಗೆದುಹಾಕಿದರು.
排放	ಹೊರಸೂಸಿಕೆ	ಕಾರ್ಖಾನೆಗಳು ತ್ಯಾಜ್ಯ ಅನಿಲ ಹೊರಸೂಸಿಕೆಯನ್ನು ಕಡಿಮೆ ಮಾಡಬೇಕು.
排练	ಅಭ್ಯಾಸ ಪ್ರದರ್ಶನ	ನಟರು ಹೊಸ ಕಾರ್ಯಕ್ರಮದ ಅಭ್ಯಾಸ ಪ್ರದರ್ಶನ ಮಾಡುತ್ತಿದ್ದಾರೆ.
派别	ಪಂಥ	ಈ ಸಂಘಟನೆಯೊಳಗೆ ಬೇರೆ ಬೇರೆ ಪಂಥಗಳಿವೆ.
派遣	ಕಳುಹಿಸುವುದು	ಕಂಪನಿ ಇಂಜಿನಿಯರ್‌ಗಳನ್ನು ಸ್ಥಳಕ್ಕೆ ಕಳುಹಿಸಿತು.
攀登	ಏರುವುದು	ಅವರು ನಾಳೆ ಹಿಮಪರ್ವತವನ್ನು ಏರಲು ಯೋಜಿಸಿದ್ದಾರೆ.
盘旋	ಸುತ್ತುತ್ತ ಹಾರುವುದು	ವಿಮಾನ ವಿಮಾನ ನಿಲ್ದಾಣದ ಮೇಲೆ ಸುತ್ತುತ್ತ ಹಾರಿತು.
判决	ತೀರ್ಪು	ನ್ಯಾಯಾಲಯ ಇಂದು ತೀರ್ಪು ಪ್ರಕಟಿಸಿತು.
畔	ತೀರ	ಮಕ್ಕಳು ಸರೋವರದ ತೀರದಲ್ಲಿ ನಡೆದರು.
庞大	ಅಪಾರ	ಈ ಯೋಜನೆಗೆ ಅಪಾರ ಹಣ ಬೇಕಾಗಿದೆ.
抛弃	ಬಿಟ್ಟುಬಿಡುವುದು	ಅವನು ತನ್ನ ಕನಸನ್ನು ಬಿಟ್ಟುಬಿಡಲು ಇಚ್ಛಿಸಲಿಲ್ಲ.
泡沫	ನುರಗು	ಕಪ್‌ನಲ್ಲಿ ಬಹಳ ಬಿಳಿ ನುರಗು ಇದೆ.
培育	ಬೆಳೆಸುವುದು	ಶಾಲೆ ವಿದ್ಯಾರ್ಥಿಗಳ ಜವಾಬ್ದಾರಿತನವನ್ನು ಬೆಳೆಸಲು ಶ್ರಮಿಸುತ್ತದೆ.
配备	ಸಜ್ಜುಗೊಳಿಸುವುದು	ಹೊಸ ಕಾರು ಸುರಕ್ಷತಾ ವ್ಯವಸ್ಥೆಯಿಂದ ಸಜ್ಜುಗೊಂಡಿದೆ.
配偶	ಪತಿ ಅಥವಾ ಪತ್ನಿ	ಅರ್ಜಿಪತ್ರದಲ್ಲಿ ಪತಿ ಅಥವಾ ಪತ್ನಿಯ ಮಾಹಿತಿಯನ್ನು ತುಂಬಬೇಕು.
配套	ಪೂರಕ ವ್ಯವಸ್ಥೆ	ಸಮುದಾಯದಲ್ಲಿ ಸಂಪೂರ್ಣ ಪೂರಕ ವ್ಯವಸ್ಥೆಗಳಿವೆ.
盆地	ತಟ್ಟೆ ಪ್ರದೇಶ	ಈ ತಟ್ಟೆ ಪ್ರದೇಶದಲ್ಲಿ ಬೇಸಿಗೆ ತುಂಬ ಬಿಸಿಯಾಗಿರುತ್ತದೆ.
烹饪	ಅಡುಗೆಕಲೆ	ಅಡುಗೆಕಲೆಗೆ ಸಹನೆ ಮತ್ತು ಅನುಭವ ಬೇಕು.
捧	ಎರಡು ಕೈಗಳಿಂದ ಹಿಡಿಯುವುದು	ಅವಳು ಎರಡು ಕೈಗಳಿಂದ ಹೂಗುಚ್ಛವನ್ನು ಹಿಡಿದಿದ್ದಳು.
劈	ಚೀರುವುದು	ಕಾರ್ಮಿಕನು ಕೊಡಲಿಯಿಂದ ಮರದ ಇಂಧನವನ್ನು ಚೀರೆದನು.
批发	ಮೊತ್ತ ವ್ಯಾಪಾರ	ಈ ಅಂಗಡಿ ಮುಖ್ಯವಾಗಿ ಹಣ್ಣುಗಳನ್ನು ಮೊತ್ತ ವ್ಯಾಪಾರ ಮಾಡುತ್ತದೆ.
批判	ವಿಮರ್ಶಿಸುವುದು	ಲೇಖನವು ಈ ತಪ್ಪು ಅಭಿಪ್ರಾಯವನ್ನು ವಿಮರ್ಶಿಸಿತು.
疲惫	ದಣಿದ	ದೀರ್ಘ ಪ್ರಯಾಣದ ನಂತರ ಎಲ್ಲರೂ ದಣಿದಿದ್ದರು.
疲倦	ಆಯಾಸಗೊಂಡ	ನಿರಂತರ ಕೆಲಸ ಅವನಿಗೆ ಆಯಾಸ ಉಂಟುಮಾಡಿತು.
皮革	ಚರ್ಮ ವಸ್ತು	ಈ ಚೀಲ ಚರ್ಮ ವಸ್ತುವಿನಿಂದ ಮಾಡಲಾಗಿದೆ.
屁股	ಕುಂಡೆ	ಮಗು ಬಿದ್ದ ನಂತರ ಅದರ ಕುಂಡೆ ನೋವಾಯಿತು.
譬如	ಉದಾಹರಣೆಗೆ	ಉದಾಹರಣೆಗೆ, ನಾವು ಮೊದಲು ಸಣ್ಣ ಪರೀಕ್ಷೆ ಮಾಡಬಹುದು.
偏差	ವಿಚಲನ	ಪ್ರಯೋಗ ಫಲಿತಾಂಶದಲ್ಲಿ ಸ್ಪಷ್ಟ ವಿಚಲನ ಇದೆ.
偏见	ಪಕ್ಷಪಾತ	ನಾವು ಜಾತಿ ಪಕ್ಷಪಾತವನ್ನು ತಪ್ಪಿಸಬೇಕು.
偏僻	ದೂರದ ಒಂಟಿ	ಈ ಗ್ರಾಮದ ಸ್ಥಳ ಬಹಳ ದೂರದ ಒಂಟಿಯಾಗಿದೆ.
偏偏	ಇದಕ್ಕೆ ವಿರುದ್ಧವಾಗಿ ತಾನೇ	ನಾನು ಎಷ್ಟು ಆತುರಪಟ್ಟೆನೋ, ಕಾರು ಇದಕ್ಕೆ ವಿರುದ್ಧವಾಗಿ ಇನ್ನಷ್ಟು ನಿಧಾನವಾಯಿತು.
片断	ತುಣುಕು	ಚಿತ್ರದಲ್ಲಿ ಕೆಲವು ಅದ್ಭುತ ತುಣುಕುಗಳಿವೆ.
片刻	ಕ್ಷಣಮಾತ್ರ	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ನನ್ನನ್ನು ಕ್ಷಣಮಾತ್ರ ಕಾಯಿರಿ.
漂浮	ತೇಲುವುದು	ಬಿದ್ದ ಎಲೆಗಳು ನೀರಿನ ಮೇಲೆ ತೇಲುತ್ತಿದ್ದವು.
飘扬	ಹಾರಾಡುವುದು	ರಾಷ್ಟ್ರಧ್ವಜ ಗಾಳಿಯಲ್ಲಿ ಹಾರಾಡಿತು.
撇	ಬದಿಗೆ ತಳ್ಳುವುದು	ಅವನು ಹಳೆಯ ಯೋಜನೆಯನ್ನು ಬದಿಗೆ ತಳ್ಳಿದನು.
拼搏	ಹೋರಾಡಿ ಪ್ರಯತ್ನಿಸುವುದು	ಯುವಕರು ತಮ್ಮ ಆದರ್ಶಗಳಿಗಾಗಿ ಹೋರಾಡಿ ಪ್ರಯತ್ನಿಸಬೇಕು.
拼命	ಪ್ರಾಣಪಣವಾಗಿ	ಅವನು ಮುಂದಿರುವ ತಂಡವನ್ನು ಪ್ರಾಣಪಣವಾಗಿ ಹಿಂಬಾಲಿಸಿದನು.
贫乏	ಬಡವಾದ	ಈ ಲೇಖನದ ವಿಷಯ ಸ್ವಲ್ಪ ಬಡವಾಗಿದೆ.
贫困	ಬಡತನದಲ್ಲಿರುವ	ಸರ್ಕಾರ ಬಡತನದಲ್ಲಿರುವ ಕುಟುಂಬಗಳಿಗೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ.
