simplified	BN	example_BN
凄凉	নিঃসঙ্গ বিষণ্ন	শীতের পাহাড়ি গ্রামটি নিঃসঙ্গ বিষণ্ন দেখাচ্ছিল।
期望	প্রত্যাশা	মা-বাবার সন্তানের প্রতি উচ্চ প্রত্যাশা আছে।
期限	সময়সীমা	নিবন্ধনের সময়সীমা এই শুক্রবার।
欺负	হেনস্থা করা	বড় শিশুদের ছোট শিশুদের হেনস্থা করা উচিত নয়।
欺骗	প্রতারণা করা	মিথ্যা বিজ্ঞাপন ভোক্তাদের প্রতারণা করেছে।
奇妙	অদ্ভুত সুন্দর	প্রকৃতিতে অনেক অদ্ভুত সুন্দর ঘটনা আছে।
旗袍	চীপাও পোশাক	সে লাল চীপাও পোশাক পরে সন্ধ্যার অনুষ্ঠানে গেল।
旗帜	পতাকা	চত্বরে উজ্জ্বল পতাকা উড়ছিল।
歧视	বৈষম্য করা	আইন যেকোনো ধরনের বৈষম্য নিষিদ্ধ করে।
齐全	সম্পূর্ণ	এই দোকানে সরঞ্জামের সংগ্রহ খুব সম্পূর্ণ।
齐心协力	একসঙ্গে চেষ্টা করা	সবাই একসঙ্গে চেষ্টা করে কাজটি শেষ করেছে।
乞丐	ভিখারি	রাস্তার ধারে একজন বৃদ্ধ ভিখারি বসে ছিল।
企图	চেষ্টা করা	সে সত্য অবস্থা লুকানোর চেষ্টা করেছিল।
启程	রওনা হওয়া	প্রতিনিধি দল কাল ভোরে রওনা হবে।
启蒙	প্রাথমিক জ্ঞান দেওয়া	এই বই শিশুদের প্রাথমিক পাঠের জন্য উপযোগী।
启事	বিজ্ঞপ্তি	স্কুলের ফটকে নিয়োগ বিজ্ঞপ্তি লাগানো ছিল।
启示	শিক্ষা	এই ব্যর্থতা আমাদের গুরুত্বপূর্ণ শিক্ষা দিয়েছে।
岂有此理	একেবারে অযৌক্তিক	এই ধরনের ফি সত্যিই একেবারে অযৌক্তিক।
起草	খসড়া লেখা	আইনজীবী চুক্তির খসড়া লিখছেন।
起初	শুরুতে	শুরুতে সে খবরটি বিশ্বাস করেনি।
起伏	উঁচুনিচু হওয়া	পাহাড়ি রাস্তা ভূমির সঙ্গে উঁচুনিচু হয়েছে।
起哄	হট্টগোল করা	ছাত্রদের ক্লাসে হট্টগোল করা উচিত নয়।
起码	অন্তত	তোমার অন্তত আগে থেকে আমাকে জানানো উচিত ছিল।
起源	উৎপত্তি হওয়া	এই উৎসবের উৎপত্তি প্রাচীন কালে।
器材	উপকরণ	ল্যাবরেটরিতে নতুন শিক্ষণ উপকরণ দরকার।
器官	অঙ্গ	হৃদয় মানবদেহের গুরুত্বপূর্ণ অঙ্গ।
气概	বীরত্ব	এই কবিতায় বীরত্ব প্রকাশ পেয়েছে।
气功	চিগং	দাদু প্রতিদিন সকালে চিগং অনুশীলন করেন।
气魄	মহিমান্বিত ভঙ্গি	এই সেতুর ভঙ্গি খুব মহিমান্বিত।
气色	মুখের আভা	বিশ্রামের পর তার মুখের আভা অনেক ভালো হয়েছে।
气势	গতি ও জোর	দল শুরু থেকেই প্রবল গতি ও জোর দেখিয়েছে।
气味	গন্ধ	রান্নাঘরে পোড়া রুটির গন্ধ ছিল।
气象	আবহাওয়া	এখানকার মালভূমির আবহাওয়া দ্রুত বদলায়।
气压	বায়ুচাপ	বায়ুচাপ কমলে বৃষ্টি হতে পারে।
气质	স্বভাবসুলভ আভা	তার মধ্যে শান্ত স্বভাবসুলভ আভা আছে।
迄今为止	এ পর্যন্ত	এ পর্যন্ত পরীক্ষাটি মসৃণভাবে এগিয়েছে।
掐	আঙুলে ছেঁড়া	সে একটি ছোট ফুল আঙুলে ছিঁড়ল।
恰当	যথাযথ	তোমার উত্তর খুব যথাযথ।
恰到好处	একদম ঠিক	এই খাবারের মিষ্টতা একদম ঠিক।
恰巧	কাকতালীয়ভাবে	আমি স্টেশনে পৌঁছতেই কাকতালীয়ভাবে বৃষ্টি নামল।
洽谈	আলোচনা করা	দুই পক্ষ সহযোগিতার বিস্তারিত আলোচনা করছে।
