simplified	MY	example_MY
思考	စဉ်းစားသည်	ကျေးဇူးပြု၍ ဒီပြဿနာကို သေချာစဉ်းစားပါ။
思想	အတွေးအခေါ်	သူ၏ အတွေးအခေါ်သည် အလွန်ပွင့်လင်းသည်။
撕	ဆုတ်သည်	ကျေးဇူးပြု၍ ဒီစက္ကူကို မဆုတ်ပါနှင့်။
私人	ကိုယ်ပိုင်; ပုဂ္ဂလိက	ဒါက ကျွန်တော့် ကိုယ်ပိုင်နေရာ ဖြစ်သည်။
似乎	ပုံရသည်; ထင်ရသည်	သူသည် သိပ်မပျော်သလို ပုံရသည်။
搜索	ရှာဖွေသည်	ကျွန်တော် အွန်လိုင်းပေါ်မှာ အချက်အလက်များ ရှာဖွေခဲ့သည်။
宿舍	အဆောင်	ကျောင်းသားများသည် ကျောင်းအဆောင်တွင် နေကြသည်။
随身	ကိုယ်နှင့်အတူ	ကျေးဇူးပြု၍ နိုင်ငံကူးလက်မှတ်ကို ကိုယ်နှင့်အတူ ထားပါ။
随时	အချိန်မရွေး	သင် အချိန်မရွေး ကျွန်တော့်ကို ဖုန်းဆက်နိုင်သည်။
随手	လက်တန်း; သွားရင်းလာရင်း	ထွက်သွားသောအခါ တံခါးကို လက်တန်းပိတ်ပေးပါ။
碎	ကွဲသော; ကြေမွသော	ခွက်သည် မြေပေါ်ကျပြီး ကွဲသွားသည်။
损失	ဆုံးရှုံးမှု	ဒီမတော်တဆမှုက ကြီးမားသော ဆုံးရှုံးမှု ဖြစ်စေခဲ့သည်။
缩短	တိုစေသည်; လျှော့ချသည်	လမ်းကြောင်းအသစ်က ခရီးကို တိုစေခဲ့သည်။
所	နေရာ; ခု	ဒီကျောင်းသည် အလွန်နာမည်ကြီးသည်။
锁	သော့ခတ်သည်; သော့	အပြင်ထွက်မီ တံခါးကို သော့ခတ်ပါ။
台阶	လှေကားထစ်	အသက်ကြီးသူသည် လှေကားထစ်များကို ဖြည်းဖြည်းချင်း တက်သွားသည်။
太极拳	ထိုက်ချီလက်ဝှေ့	ပန်းခြံထဲမှာ လူအချို့ ထိုက်ချီလက်ဝှေ့ လေ့ကျင့်နေကြသည်။
太太	ဇနီး; မစ္စစ်	ဝမ်မစ္စစ်သည် ဟင်းချက်နေသည်။
谈判	ညှိနှိုင်းဆွေးနွေးသည်	နှစ်ဖက်စလုံး ညှိနှိုင်းဆွေးနွေးနေကြသည်။
坦率	ပွင့်လင်းရိုးသားသော	သူသည် မိမိအတွေးများကို ပွင့်လင်းရိုးသားစွာ ဖော်ပြခဲ့သည်။
烫	ပူလောင်သော	ဒီလက်ဖက်ရည်ခွက်က အလွန်ပူလောင်သည်။
桃	မက်မွန်သီး	သစ်ပင်ပေါ်မှာ မက်မွန်သီးများ အများကြီး သီးလာသည်။
淘气	ဆော့ကစားလွန်သော	ဒီကလေးက နည်းနည်း ဆော့ကစားလွန်သည်။
逃	ထွက်ပြေးသည်	ခွေးကလေးသည် ခြံထဲမှ ထွက်ပြေးသွားသည်။
逃避	ရှောင်ရှားသည်	တာဝန်ကို မရှောင်ရှားပါနှင့်။
讨价还价	ဈေးဆစ်သည်	သူသည် စျေးဝယ်ရာတွင် ဈေးဆစ်ရတာကို နှစ်သက်သည်။
套	အစုံ	သူသည် အဝတ်အစားအစုံအသစ်တစ်စုံ ဝယ်ခဲ့သည်။
特色	ထူးခြားချက်	ဒီစားသောက်ဆိုင်မှာ ဒေသထူးခြားချက်များ ရှိသည်။
特殊	အထူးသော	ဒီနေ့သည် အထူးသောနေ့ ဖြစ်သည်။
特征	လက္ခဏာ	ဒီတိရစ္ဆာန်မျိုးတွင် ထင်ရှားသော လက္ခဏာများ ရှိသည်။
疼爱	ချစ်ခင်မြတ်နိုးသည်	အဘိုးအဘွားများသည် ကလေးကို အလွန်ချစ်ခင်မြတ်နိုးကြသည်။
提倡	တိုက်တွန်းအားပေးသည်	ကျောင်းသည် ရေချွေတာရန် တိုက်တွန်းအားပေးသည်။
提纲	အကြမ်းဖျင်းအစီအစဉ်	ဆောင်းပါးမရေးမီ အကြမ်းဖျင်းအစီအစဉ် ပြုလုပ်ပါ။
提问	မေးခွန်းမေးသည်	ကျောင်းသားများသည် အချိန်မရွေး မေးခွန်းမေးနိုင်သည်။
题目	မေးခွန်း; ခေါင်းစဉ်	ဒီမေးခွန်းက သိပ်မခက်ပါ။
体会	နားလည်သဘောပေါက်မှု	ခရီးသွားခြင်းမှတစ်ဆင့် ကျွန်တော် နားလည်သဘောပေါက်မှုအသစ် ရရှိခဲ့သည်။
体贴	ဂရုစိုက်နားလည်သော	သူသည် မိသားစုအပေါ် အလွန်ဂရုစိုက်နားလည်သည်။
体现	ထင်ဟပ်ပြသည်	ဒီကိစ္စသည် အဖွဲ့စိတ်ဓာတ်ကို ထင်ဟပ်ပြသည်။
体验	အတွေ့အကြုံခံစားသည်	ကျွန်တော် ဒေသခံဘဝကို အတွေ့အကြုံခံစားချင်သည်။
天空	ကောင်းကင်	ဒီနေ့ ကောင်းကင်သည် အလွန်ပြာသည်။
天真	အပြစ်ကင်းသော	ကလေး၏ အတွေးသည် အလွန်အပြစ်ကင်းသည်။
调皮	ဆော့သောင်းကျန်းသော	အဲဒီကြောင်က အလွန်ဆော့သောင်းကျန်းသည်။
调整	ညှိသည်	ကျွန်ုပ်တို့ အစီအစဉ်ကို ညှိရန် လိုသည်။
挑战	စိန်ခေါ်မှု	ဒါသည် ကြီးမားသော စိန်ခေါ်မှု ဖြစ်သည်။
通常	များသောအားဖြင့်	သူသည် များသောအားဖြင့် ခုနစ်နာရီတွင် အိပ်ရာထသည်။
统一	ညီညွတ်စေသည်	လူတိုင်း၏ အမြင်များကို ညီညွတ်စေရန် လိုသည်။
痛苦	နာကျင်ဝမ်းနည်းသော	မိတ်ဆွေကို ဆုံးရှုံးခြင်းက သူ့ကို အလွန်နာကျင်ဝမ်းနည်းစေခဲ့သည်။
痛快	ပျော်ရွှင်ကျေနပ်သော	ဒီနေ့ ကျွန်ုပ်တို့ အလွန်ပျော်ရွှင်ကျေနပ်ခဲ့ကြသည်။
偷	ခိုးသည်	အခြားသူများ၏ ပစ္စည်းကို မခိုးပါနှင့်။
投入	အာရုံစိုက်လုပ်ကိုင်သည်	သူသည် အလုပ်ကို အလွန်အာရုံစိုက်လုပ်ကိုင်သည်။
投资	ရင်းနှီးမြှုပ်နှံသည်	သူတို့သည် စီမံကိန်းအသစ်တစ်ခုတွင် ရင်းနှီးမြှုပ်နှံခဲ့ကြသည်။
透明	ဖောက်ထွင်းမြင်ရသော	ဒီခွက်သည် ဖောက်ထွင်းမြင်ရသည်။
突出	ထင်ရှားသော	သူ၏ အားသာချက်များသည် အလွန်ထင်ရှားသည်။
