simplified	ES-419	example_ES-419
手势	gesto; señal	Él hizo un gesto para mostrar acuerdo.
手艺	oficio; destreza manual	Este maestro tiene mucha destreza en su oficio.
首饰	joyas; adornos	Ella llevaba joyas sencillas de plata.
首要	principal; de mayor importancia	La seguridad es la tarea principal.
受罪	sufrir; pasar penalidades	El paciente sufrió mucho después de la operación.
授予	conceder; otorgar	La escuela le otorgó un título honorífico.
书法	caligrafía	Él practica caligrafía desde pequeño.
书记	secretario; encargado	El secretario de la aldea presidió la reunión.
书籍	libros; obras	La biblioteca conserva una gran cantidad de libros.
书面	por escrito; escrito	Por favor, proporciona una prueba por escrito.
疏忽	negligencia; descuido	Este error se debió a un descuido en el trabajo.
疏远	distanciarse; alejarse	El malentendido hizo que las dos personas se distanciaran poco a poco.
舒畅	tranquilo; desahogado	Después de caminar, se sintió muy tranquilo.
数额	cantidad; importe	El importe de la compensación aún no se ha determinado.
束	atar; ramo	Ella compró un ramo de flores frescas.
束缚	restringir; atar	Las ideas tradicionales restringieron sus opciones.
树立	establecer; formar	La empresa quiere establecer una buena imagen.
竖	poner vertical; vertical	Por favor, pon el cartel en posición vertical.
耍	jugar con; tontear	No juegues con el teléfono durante el trabajo.
衰老	envejecer	El ejercicio puede ralentizar el envejecimiento.
衰退	decaer; recesión	La recesión económica afectó al empleo.
率领	dirigir; liderar	El capitán dirigió al equipo hacia adelante.
涮火锅	cocer comida en olla caliente	En invierno a todos les gusta comer olla caliente.
双胞胎	gemelos	Ellos son un par de gemelos.
爽快	franco; directo	Ella respondió de manera muy directa.
水利	obras hidráulicas; riego	Esta región da importancia a las obras hidráulicas.
水龙头	la llave	La llave de la cocina gotea.
水泥	cemento	Los trabajadores llevaron cemento a la obra.
瞬间	instante; en un abrir y cerrar de ojos	Las luces se apagaron en un instante.
司法	judicial; justicia	La independencia judicial necesita garantías institucionales.
司令	comandante	El comandante dio la orden de retirada.
思念	extrañar; añorar	Ella a menudo extraña su ciudad natal.
思索	reflexionar; meditar	Él bajó la cabeza y reflexionó durante mucho tiempo.
思维	pensamiento; razonamiento	Este entrenamiento puede mejorar el razonamiento lógico.
斯文	refinado; culto	Él habla de manera muy refinada.
私自	en secreto; sin autorización	Los estudiantes no pueden salir de la escuela sin autorización.
死亡	muerte; mortal	El accidente causó la muerte de varias personas.
四肢	extremidades	Antes de hacer ejercicio hay que mover las extremidades.
寺庙	templo; monasterio	En la montaña hay un templo antiguo.
肆无忌惮	sin escrúpulos; desenfrenado	Él rompió las reglas sin escrúpulos.
饲养	criar; alimentar	La granja cría muchas vacas lecheras.
耸	encoger; levantar	Después de escucharlo, él solo encogió los hombros.
艘	clasificador para barcos	En el puerto había tres barcos de carga.
苏醒	recobrar el conocimiento; despertar	El paciente finalmente recobró el conocimiento.
俗话	refrán; dicho popular	Como dice el refrán, la práctica hace al maestro.
塑造	formar; moldear	El entorno puede moldear el carácter de una persona.
素食	comida vegetariana	Este restaurante ofrece comida vegetariana.
素质	calidad personal; formación	El personal de servicio tiene una formación muy alta.
诉讼	demanda judicial; litigio	Ambas partes decidieron resolverlo mediante una demanda judicial.
算数	contar; valer	Lo que dijiste debe valer.
随即	enseguida; inmediatamente	Después de terminar la reunión, él se fue enseguida.
随意	a voluntad; arbitrariamente	Por favor, no cambies la configuración arbitrariamente.
岁月	años; paso del tiempo	El paso del tiempo cambió su apariencia.
隧道	túnel	El tren atravesó un largo túnel.
损坏	dañar; estropear	La lluvia intensa dañó la carretera.
索取	solicitar; pedir	Los clientes pueden solicitar muestras gratis.
索性	simplemente; mejor	La lluvia era demasiado fuerte, así que simplemente no salimos.
塌	derrumbarse	El techo de la casa vieja se derrumbó.
踏实	tranquilo; con los pies en la tierra	Después de completar la tarea, me sentí tranquilo.
塔	torre; pagoda	En el centro de la ciudad hay una torre alta.
台风	tifón	Se espera que el tifón toque tierra mañana.
太空	espacio exterior	La humanidad siempre ha explorado el espacio exterior.
泰斗	autoridad eminente; gran maestro	Él es una autoridad eminente en el campo de la lingüística.
摊	puesto; extender	Ella puso un puesto de fruta en el mercado.
瘫痪	parálisis; quedar paralizado	El accidente de tráfico le causó parálisis en las piernas.
贪婪	codicioso; avaro	La codicia puede destruir a una persona.
贪污	corrupción; malversación	El funcionario fue investigado por corrupción.
弹性	flexibilidad; elasticidad	Este material tiene mucha elasticidad.
坦白	confesar; sincero	Él finalmente confesó la verdad.
叹气	suspirar	Al oír el resultado, no pudo evitar suspirar.
探测	detectar; explorar	El equipo puede detectar agua subterránea.
探索	explorar	Los científicos siguen explorando el universo.
探讨	analizar; discutir	Los expertos analizaron el plan de reforma.
探望	visitar	El fin de semana fui al hospital a visitar a un amigo.
倘若	si; en caso de que	Si llueve, la actividad se aplazará.
掏	sacar	Él sacó la llave del bolsillo.
滔滔不绝	hablar sin parar	Cuando habla de historia, habla sin parar.
淘汰	eliminar; eliminación	Este equipo fue eliminado antes de tiempo.
陶瓷	cerámica	Jingdezhen es famosa por su cerámica.
陶醉	quedar encantado; embelesarse	El público quedó encantado con la música.
讨好	adular; ganarse el favor	Él no quiere adular deliberadamente a su jefe.
特长	habilidad especial; punto fuerte	La pintura es su habilidad especial.
特定	específico; determinado	Por favor, entrega la solicitud dentro del plazo específico.
特意	a propósito; especialmente	Vine especialmente para darte las gracias.
提拔	ascender; promover	La empresa la ascendió a jefa de departamento.
提炼	extraer; refinar	La fábrica extrae metal del mineral.
提示	indicar; aviso	El sistema indicará que introduzcas la contraseña.
提议	proponer; propuesta	Ella propuso continuar la discusión mañana.
题材	tema; material temático	Esta película tiene un tema novedoso.
体裁	género; forma	La novela y la poesía son géneros diferentes.
体积	volumen; tamaño	Esta caja tiene un gran volumen.
体谅	comprender; tener consideración	Por favor, comprende sus dificultades.
体面	digno; honorable	Él quiere encontrar un trabajo digno.
体系	sistema; estructura	La empresa estableció un sistema completo de capacitación.
天才	genio; talento	Este niño es considerado un genio musical.
天赋	don; talento innato	Ella tiene don para aprender idiomas.
天伦之乐	felicidad familiar	El anciano disfruta de la felicidad familiar.
天然气	gas natural	Los residentes de la ciudad usan gas natural para cocinar.
天生	innato; de nacimiento	Él es optimista por naturaleza.
天堂	paraíso; cielo	Este lugar parece un paraíso en la tierra.
天文	astronomía	A él le gusta la astronomía desde pequeño.
田径	atletismo	La escuela celebró una competición de atletismo.
田野	campo	Los campos están verdes en primavera.
舔	lamer	El perrito lamió la mano de su dueño.
挑剔	exigente; quisquilloso	Ella es muy exigente con la comida.
条款	cláusula	Las cláusulas del contrato deben leerse con cuidado.
条理	orden; lógica	Su discurso estaba muy bien ordenado.
条约	tratado; pacto	Los dos países firmaron un tratado de paz.
调和	armonioso; equilibrado	Estos dos colores combinan de manera armoniosa.
调剂	equilibrar; variar	El ejercicio puede equilibrar una vida tensa.
调节	regular; ajustar	El aire acondicionado puede regular la temperatura interior.
调解	mediar; conciliación	El personal de la comunidad ayudó a mediar en la disputa.
调料	condimento; sazonador	Hay que añadir un poco de condimento a la sopa.
挑拨	sembrar discordia; instigar	No siembres discordia entre los compañeros.
挑衅	provocar; provocación	Estas palabras tienen una provocación evidente.
跳跃	saltar; dar saltos	El atleta saltó tres veces seguidas.
亭子	pabellón	Junto al lago hay un pequeño pabellón.
停泊	amarrar; fondear	Los barcos pesqueros estaban amarrados en la bahía.
停顿	pausa	Él hizo una pausa mientras hablaba.
停滞	estancarse; estancamiento	El proyecto se estancó por falta de fondos.
挺拔	alto y erguido	Los pinos crecen altos y erguidos.
通货膨胀	inflación	La inflación elevó el costo de vida.
通缉	buscar y capturar; estar en busca y captura	La policía busca y captura a este sospechoso.
通俗	sencillo; popular	El lenguaje de este libro es muy sencillo.
通讯	comunicaciones; noticia	La tecnología moderna de comunicaciones avanza muy rápido.
通用	de uso común; universal	Este cargador es bastante universal.
同胞	compatriota; hermano de sangre	Los compatriotas en el extranjero también siguen el desarrollo de su tierra natal.
同志	compañero; camarada	El compañero veterano compartió su experiencia de trabajo.
童话	cuento infantil	A los niños les gusta escuchar cuentos antes de dormir.
铜	cobre	Esta estatua está hecha de cobre.
统筹兼顾	planificar de forma integral	La planificación urbana debe tener en cuenta todos los intereses.
统计	estadística; contar	Necesitamos contar el número de inscritos.
统统	todos; por completo	Todos estos documentos antiguos deben archivarse.
统治	gobernar; dominio	Esta dinastía gobernó durante trescientos años.
投机	especular; oportunista	Él ganó una suma de dinero especulando.
投票	votar; votación	Los residentes participarán mañana en la votación.
投诉	queja; presentar una queja	El cliente presentó una queja contra el vendedor en la plataforma.
投降	rendirse; rendición	El ejército enemigo finalmente decidió rendirse.
投掷	lanzar; arrojar	El atleta practica el lanzamiento de jabalina.
透露	revelar; filtrar	Él no reveló los detalles de la reunión.
秃	calvo	Se quedó calvo siendo aún joven.
突破	avance; superar	La investigación logró un avance importante.
图案	diseño; motivo	El motivo de esta tela es muy bonito.
徒弟	aprendiz; discípulo	El maestro está enseñando al aprendiz a reparar relojes.
涂抹	untar; aplicar	Por favor, aplica la pomada alrededor de la herida.
途径	vía; canal	Internet es una vía importante para obtener información.
土壤	suelo; tierra	El suelo fértil es adecuado para cultivar verduras.
团结	unirse; solidaridad	El equipo debe unirse y cooperar.
团体	grupo; organización	Este grupo organiza actividades con regularidad.
团圆	reunirse con la familia	La Fiesta de Primavera es un día para reunirse en familia.
推测	suponer; conjetura	Los expertos suponen que el precio seguirá subiendo.
推翻	derrocar; echar abajo	El pueblo derrocó el antiguo sistema.
推理	razonamiento; deducción	Esta novela está llena de tramas de deducción.
推论	inferencia; deducir	Esta inferencia aún necesita apoyo de pruebas.
推销	promocionar; vender	Él se encarga de promocionar nuevos productos.
吞吞吐吐	titubear; hablar entrecortado	Él titubeó al responder la pregunta.
托运	facturar; enviar como equipaje	Los pasajeros pueden facturar el equipaje en el mostrador.
拖延	retrasar; posponer	No retrases más el pago.
脱离	separarse; apartarse	La teoría no puede apartarse de la realidad.
妥当	adecuado; arreglado	Este arreglo es muy adecuado.
妥善	debidamente; con cuidado	Por favor, guarda debidamente los documentos importantes.
妥协	comprometerse; llegar a un acuerdo	Las dos partes finalmente llegaron a un acuerdo.
椭圆	elipse; forma elíptica	La órbita de la Tierra se acerca a una elipse.
唾弃	despreciar; rechazar	La sociedad desprecia este tipo de fraude.
哇	vaya; exclamación	Vaya, este puente es realmente imponente.
挖掘	excavar; desenterrar	El equipo arqueológico está excavando una tumba antigua.
娃娃	muñeca; bebé	La niña sostenía una muñeca.
瓦解	desintegrarse; derrumbarse	Los conflictos internos hicieron que la alianza se desintegrara.
歪曲	distorsionar; tergiversar	Los reportajes no deben tergiversar los hechos.
