simplified	ML	example_ML
呻吟	ഞരങ്ങുക	വേദന കാരണം രോഗി പതുക്കെ ഞരങ്ങി.
深奥	ആഴമുള്ളതും ദുഷ്കരവുമായ	ഈ തത്വചിന്താ ആശയം ആഴമുള്ളതും ദുഷ്കരവുമാണ്.
深沉	ആഴമുള്ള	അവന്റെ ശബ്ദം ആഴമുള്ളതും ശാന്തവുമായിരുന്നു.
深情厚谊	ആഴത്തിലുള്ള സൗഹൃദം	അവർക്കിടയിൽ വർഷങ്ങളായുള്ള ആഴത്തിലുള്ള സൗഹൃദമുണ്ട്.
申报	അധികൃതർക്കു റിപ്പോർട്ട് ചെയ്യുക	വ്യാപാരി ചരക്കുകൾ അധികൃതർക്കു റിപ്പോർട്ട് ചെയ്തു.
绅士	സജ്ജനൻ	സജ്ജനൻ വയോധികയ്ക്ക് ഇരിപ്പിടം വിട്ടുകൊടുത്തു.
神经	നാഡി	ഡോക്ടർ കൈയിലെ നാഡി പരിശോധിച്ചു.
神奇	അദ്ഭുതകരമായ	മരുന്നിന്റെ ഫലം അദ്ഭുതകരമായി തോന്നി.
神气	ആത്മവിശ്വാസഭാവം	കുട്ടി സമ്മാനം നേടിയ ശേഷം ആത്മവിശ്വാസഭാവത്തോടെ നിന്നു.
神圣	പരിശുദ്ധമായ	ഈ സ്ഥലം പലർക്കും പരിശുദ്ധമാണ്.
神态	ഭാവഭംഗി	ചിത്രത്തിലെ സ്ത്രീയുടെ ഭാവഭംഗി വളരെ ശാന്തമാണ്.
神仙	ദേവസമാന അമരൻ	പുരാണത്തിൽ മലകളിൽ ദേവസമാന അമരൻ താമസിക്കുന്നു.
审查	പരിശോധിക്കുക	സമിതി പ്രസിദ്ധീകരണത്തിന് മുമ്പ് ഉള്ളടക്കം പരിശോധിച്ചു.
审理	കേസ് വിചാരണ ചെയ്യുക	കോടതി ഇന്ന് ആ കേസ് വിചാരണ ചെയ്തു.
审美	സൗന്ദര്യബോധം	അവളുടെ സൗന്ദര്യബോധം വസ്ത്രതിരഞ്ഞെടുപ്പിൽ കാണാം.
审判	വിചാരണ	നീണ്ട വിചാരണയ്ക്ക് ശേഷം വിധി പ്രസ്താവിച്ചു.
慎重	ജാഗ്രതയുള്ള	ഇത്തരം തീരുമാനങ്ങളിൽ ജാഗ്രതയോടെ മുന്നോട്ടുപോകണം.
渗透	ഊറിയുകയറുക	മഴവെള്ളം മതിലിലൂടെ പതുക്കെ ഊറിയുകയറി.
声明	പ്രഖ്യാപനം	കമ്പനി ഔദ്യോഗിക പ്രഖ്യാപനം പുറത്തിറക്കി.
声势	പ്രഭാവവും വേഗവും	പ്രസ്ഥാനത്തിന്റെ പ്രഭാവവും വേഗവും ദിവസേന വർധിച്ചു.
声誉	പ്രശസ്തി	അവളുടെ സത്യസന്ധത വലിയ പ്രശസ്തി നേടി.
牲畜	വളർത്തുമൃഗങ്ങൾ	ഗ്രാമത്തിൽ വളർത്തുമൃഗങ്ങളെ രാവിലെ മേയിക്കാൻ കൊണ്ടുപോകുന്നു.
生存	ജീവനോടെ നിലനിൽക്കുക	മരുഭൂമിയിൽ ജീവനോടെ നിലനിൽക്കാൻ വെള്ളം അത്യാവശ്യമാണ്.
生机	ജീവന്തത	മഴയ്ക്ക് ശേഷം വയലിൽ പുതിയ ജീവന്തത നിറഞ്ഞു.
生理	ശരീരക്രിയാശാസ്ത്രം	അവൻ സർവകലാശാലയിൽ ശരീരക്രിയാശാസ്ത്രം പഠിക്കുന്നു.
生疏	പരിചയക്കുറവുള്ള	നാളുകളായി ഉപയോഗിക്കാത്തതിനാൽ ഭാഷ പരിചയക്കുറവായി തോന്നി.
生态	പരിസ്ഥിതി സംവിധാനം	കാടിന്റെ പരിസ്ഥിതി സംവിധാനം വളരെ നാഴുക്കാണ്.
生物	ജീവി	തടാകത്തിൽ പലവിധ ജീവികൾ ഉണ്ട്.
生效	പ്രാബല്യത്തിൽ വരുക	പുതിയ നിയമം നാളെ മുതൽ പ്രാബല്യത്തിൽ വരും.
生肖	ചൈനീസ് രാശിമൃഗം	അവന്റെ ചൈനീസ് രാശിമൃഗം കടുവയാണ്.
生锈	തുരുമ്പുക	ഇരുമ്പുവാതിൽ മഴയിൽ തുരുമ്പിച്ചു.
生育	പ്രസവിക്കുകയും വളർത്തുകയും ചെയ്യുക	ആരോഗ്യസേവനം പ്രസവിക്കുകയും വളർത്തുകയും ചെയ്യുന്ന കുടുംബങ്ങൾക്ക് സഹായമാണ്.
省会	സംസ്ഥാന തലസ്ഥാനം	ആ നഗരമാണ് സംസ്ഥാന തലസ്ഥാനം.
盛产	ധാരാളം ഉത്പാദിപ്പിക്കുക	ഈ പ്രദേശം മാങ്ങ ധാരാളം ഉത്പാദിപ്പിക്കുന്നു.
盛开	പൂർണ്ണമായി വിരിയുക	വസന്തത്തിൽ പൂക്കൾ പൂർണ്ണമായി വിരിഞ്ഞു.
盛情	അഗാധമായ സൽക്കാരമനോഭാവം	ആ കുടുംബത്തിന്റെ അഗാധമായ സൽക്കാരമനോഭാവം ഞങ്ങളെ സ്പർശിച്ചു.
盛行	വ്യാപകമായി പ്രചരിക്കുക	അന്ന് ഈ ശൈലി യുവാക്കളിൽ വ്യാപകമായി പ്രചരിച്ചു.
胜负	ജയപരാജയം	മത്സരത്തിന്റെ ജയപരാജയം അവസാന മിനിറ്റിൽ തീരുമാനിച്ചു.
失事	അപകടത്തിൽപ്പെടുക	ചെറിയ വിമാനം മലമുകളിൽ അപകടത്തിൽപ്പെട്ടു.
失误	പിശക്	ഗോൾകീപ്പറുടെ ചെറിയ പിശക് ടീമിനെ ബാധിച്ചു.
失踪	കാണാതാകുക	കുട്ടി വൈകുന്നേരം മുതൽ കാണാതായി.
尸体	മൃതശരീരം	പോലീസ് നദിക്കരയിൽ മൃതശരീരം കണ്ടെത്തി.
师范	അധ്യാപകപരിശീലന	അവൾ അധ്യാപകപരിശീലന കോളേജിൽ പഠിക്കുന്നു.
施加	ചുമത്തുക	അധിക സമ്മർദ്ദം കുട്ടികളിൽ ചുമത്തരുത്.
施展	പ്രയോഗിക്കുക	അവൻ മത്സരത്തിൽ തന്റെ കഴിവ് പൂർണ്ണമായി പ്രയോഗിച്ചു.
十足	പൂർണ്ണമായ	അവന്റെ ചിരിയിൽ പൂർണ്ണമായ ആത്മവിശ്വാസം കാണാമായിരുന്നു.
实惠	പ്രായോഗിക ലാഭം	ഈ വാങ്ങലിൽ ഉപഭോക്താക്കൾക്ക് പ്രായോഗിക ലാഭമുണ്ട്.
实力	ശക്തി	ഈ ടീമിന്റെ യഥാർത്ഥ ശക്തി അവസാന ഘട്ടത്തിൽ തെളിഞ്ഞു.
实施	നടപ്പാക്കുക	പദ്ധതി അടുത്ത മാസം നടപ്പാക്കും.
实事求是	വസ്തുതകളെ അടിസ്ഥാനമാക്കി പ്രവർത്തിക്കുക	പ്രശ്നം പരിഹരിക്കാൻ വസ്തുതകളെ അടിസ്ഥാനമാക്കി പ്രവർത്തിക്കണം.
实行	പ്രാവർത്തികമാക്കുക	സ്കൂൾ പുതിയ സമയക്രമം പ്രാവർത്തികമാക്കി.
实质	സാരം	വാദത്തിന്റെ സാരം എല്ലാവർക്കും വ്യക്തമായി.
拾	എടുത്തുകൂട്ടുക	അവൻ നിലത്തിലെ നാണയം എടുത്തുകൂട്ടി.
时常	പതിവായി	അവൾ പതിവായി അമ്മയെ വിളിക്കുന്നു.
时而	ഇടയ്ക്കിടെ	കാറ്റ് ഇടയ്ക്കിടെ ശക്തമായി വീശി.
时光	കാലം	കുട്ടിക്കാലത്തെ കാലം അവൻ പലപ്പോഴും ഓർക്കുന്നു.
时机	ശരിയായ അവസരം	ശരിയായ അവസരം വരുന്നത് വരെ കാത്തിരിക്കണം.
时事	സമകാലിക സംഭവങ്ങൾ	അവൻ ദിവസവും സമകാലിക സംഭവങ്ങൾ വായിക്കുന്നു.
石油	പെട്രോളിയം	ഈ രാജ്യത്തിന്റെ സമ്പദ്‌വ്യവസ്ഥ പെട്രോളിയത്തിൽ ആശ്രയിക്കുന്നു.
识别	തിരിച്ചറിയുക	സോഫ്റ്റ്വെയർ മുഖം തിരിച്ചറിയാൻ കഴിയും.
使命	ദൗത്യം	രോഗികളെ സേവിക്കുകയാണ് ഡോക്ടറുടെ പ്രധാന ദൗത്യം.
世代	തലമുറകൾ	ഈ കല തലമുറകളായി കൈമാറുന്നു.
事故	അപകടം	റോഡിൽ ചെറിയ അപകടം നടന്നു.
事迹	കൃത്യങ്ങൾ	സ്വാതന്ത്ര്യസേനാനിയുടെ ധീരകൃത്യങ്ങൾ സ്കൂളിൽ പറഞ്ഞു.
事件	സംഭവം	ഇന്നലെ നടന്ന സംഭവം നഗരത്തെ ഞെട്ടിച്ചു.
事态	സ്ഥിതിവികാസം	സ്ഥിതിവികാസം ശ്രദ്ധയോടെ നിരീക്ഷിക്കണം.
事务	കാര്യങ്ങൾ	ഓഫീസിലെ ദൈനംദിന കാര്യങ്ങൾ അവൾ കൈകാര്യം ചെയ്യുന്നു.
事项	വിഷയം	യോഗത്തിലെ ഓരോ വിഷയവും രേഖപ്പെടുത്തി.
事业	ജീവിതപ്രവർത്തനം	വിദ്യാഭ്യാസം അവളുടെ ജീവിതപ്രവർത്തനമായി മാറി.
势必	തീർച്ചയായും സംഭവിക്കും	ഇത്തരം ശ്രമം തീർച്ചയായും മാറ്റം കൊണ്ടുവരും.
势力	പ്രഭാവശക്തി	ആ പ്രദേശത്ത് പഴയ കുടുംബങ്ങൾക്ക് ഇപ്പോഴും പ്രഭാവശക്തിയുണ്ട്.
