simplified	NE	example_NE
深奥	गहन	यो पुस्तकको सामग्री धेरै गहन छ।
深沉	गहिरो	उनको आवाज नीचो र गहिरो थियो।
深情厚谊	गहिरो मैत्री	दुई देशका जनताले गहिरो मैत्री गाँसे।
申报	घोषणा गर्नु	यात्रुले सामान सत्य रूपमा घोषणा गर्नुपर्छ।
绅士	सभ्य पुरुष	उनको व्यवहार सभ्य पुरुष जस्तो छ।
神经	स्नायु	दबाबले स्नायु प्रणालीमा असर गर्छ।
神奇	अद्भुत	यहाँको दृश्य अत्यन्त अद्भुत छ।
神气	आत्मविश्वासी भाव	उनी आज विशेष आत्मविश्वासी देखिए।
神圣	पवित्र	यो पवित्र जिम्मेवारी हो।
神态	भावभङ्गी	उनको भावभङ्गी अत्यन्त शान्त थियो।
神仙	अमर देवता	कथामा पहाडमा अमर देवता बस्छन् भनिन्छ।
审查	जाँच गर्नु	मञ्चले प्रकाशित सामग्री जाँच गर्छ।
