simplified	HY	example_HY
扑	նետվել; հարձակվել	Երեխան հանկարծ նետվեց մոր գիրկը։
铺	փռել; սալահատակել	Բանվորները նոր գորգ են փռում։
普及	տարածված լինել; տարածել	Համացանցը քաղաքներում արդեն լայնորեն տարածված է։
朴实	պարզ; անկեղծ	Նրա լեզուն պարզ և անկեղծ է։
朴素	պարզ; համեստ	Նա սիրում է համեստ ապրելակերպ։
瀑布	ջրվեժ	Զբոսաշրջիկները լուսանկարվում էին ջրվեժի կողքին։
凄凉	ամայի; տխուր	Ձմռանը լեռնային գյուղը շատ ամայի էր թվում։
期望	ակնկալիք; հույս	Ծնողները մեծ ակնկալիքներ ունեն իրենց երեխաներից։
期限	ժամկետ	Գրանցման ժամկետը այս ուրբաթ է։
欺负	նեղացնել; ճնշել	Մեծ երեխաները չպետք է նեղացնեն փոքրերին։
欺骗	խաբել; մոլորեցնել	Կեղծ գովազդը խաբեց սպառողներին։
奇妙	հրաշալի; զարմանալի	Բնության մեջ շատ զարմանալի երևույթներ կան։
旗袍	ցիպաո; չինական ոճի զգեստ	Նա կարմիր ցիպաո էր հագել երեկույթին մասնակցելու համար։
旗帜	դրոշ	Հրապարակում վառ դրոշներ էին ծածանվում։
歧视	խտրականություն; խտրական վերաբերմունք ցուցաբերել	Օրենքը արգելում է խտրականության ցանկացած ձև։
齐全	լրիվ; ամբողջական	Այս խանութում գործիքների ամբողջական տեսականի կա։
齐心协力	միասնական ջանքերով գործել	Բոլորը միասնական ջանքերով ավարտեցին առաջադրանքը։
乞丐	մուրացկան	Ճանապարհի եզրին նստած էր մի ծեր մուրացկան։
企图	փորձ; փորձել	Նա փորձեց թաքցնել իրական վիճակը։
启程	ճանապարհ ընկնել	Պատվիրակությունը վաղը առավոտյան ճանապարհ կընկնի։
启蒙	նախնական կրթություն տալ; լուսավորել	Այս գիրքը հարմար է երեխաների նախնական ընթերցանության համար։
启事	հայտարարություն; ծանուցում	Դպրոցի դարպասի մոտ աշխատանքի հայտարարություն փակցվեց։
启示	դաս; լուսաբանում	Այս ձախողումը մեզ կարևոր դաս տվեց։
岂有此理	անհեթեթ; անթույլատրելի	Այսպիսի վճարը իսկապես անհեթեթ է։
起草	նախագիծ կազմել	Փաստաբանը կազմում է պայմանագրի նախագիծը։
起初	սկզբում; ի սկզբանե	Սկզբում նա չէր հավատում այդ լուրին։
起伏	ելևէջ; վեր ու վար շարժվել	Լեռնային ճանապարհը տեղանքին համապատասխան վեր ու վար է գնում։
起哄	աղմուկ բարձրացնել; ծաղրել	Աշակերտները դասի ժամանակ չպետք է աղմուկ բարձրացնեն։
起码	առնվազն; ամենաքիչը	Առնվազն պետք է ինձ նախապես տեղեկացնես։
起源	ծագում; ծագել	Այս տոնը ծագել է հին ժամանակներում։
器材	սարքավորումներ; նյութեր	Լաբորատորիային նոր ուսումնական սարքավորումներ են պետք։
器官	օրգան; մարմնի մաս	Սիրտը մարդու մարմնի կարևոր օրգան է։
气概	ոգի; վեհ կեցվածք	Այս բանաստեղծությունը հերոսական ոգի է ցույց տալիս։
气功	ցիգուն; շնչառական վարժությունների համակարգ	Պապիկը ամեն առավոտ ցիգուն է անում։
气魄	վեհություն; համարձակ ոգի	Այս կամուրջը վեհ տեսք ունի։
气色	դեմքի գույն; տեսք	Հանգստանալուց հետո նրա դեմքի գույնը շատ ավելի լավ էր։
气势	թափ; ուժգնություն	Թիմը սկզբից ուժեղ թափ ուներ։
气味	հոտ; բույր	Խոհանոցում տոստի հոտ էր տարածվել։
气象	եղանակային վիճակ; մթնոլորտ	Այստեղ բարձրավանդակի եղանակը արագ է փոխվում։
气压	օդի ճնշում	Օդի ճնշման անկումը կարող է անձրև բերել։
气质	խառնվածք; պահվածք	Նա հանգիստ խառնվածք ունի։
迄今为止	մինչ այժմ; առայժմ	Մինչ այժմ փորձը հարթ է ընթացել։
掐	պոկել; կսմթել	Նա մի փոքրիկ ծաղիկ պոկեց։
恰当	տեղին; հարմար	Քո պատասխանը շատ տեղին է։
恰到好处	ճիշտ չափով; շատ հարմար	Այս ուտեստի քաղցրությունը ճիշտ չափով է։
恰巧	պատահաբար; հենց այդ պահին	Ես կայարան հասա, և հենց այդ պահին անձրև եկավ։
洽谈	քննարկել; բանակցել	Երկու կողմերը քննարկում են համագործակցության մանրամասները։
千方百计	ամեն հնարավոր միջոցով	Նրանք ամեն հնարավոր միջոցով լուծում էին փնտրում։
牵	քաշել; ձեռքից բռնել	Մայրը ճանապարհն անցնելիս բռնել էր երեխայի ձեռքից։
牵扯	առնչվել; ներգրավել	Այս գործը առնչվում է բազմաթիվ բաժինների։
牵制	զսպել; սահմանափակել	Հակառակորդի պաշտպանությունը զսպեց հարձակումը։
签署	ստորագրել	Երկու ընկերությունները համաձայնագիր ստորագրեցին։
谦逊	համեստ; խոնարհ	Հաջողությունից հետո նա մնաց համեստ։
迁就	հարմարվել; զիջել	Ծնողները չեն կարող միշտ զիջել երեխաներին։
迁徙	տեղափոխվել; գաղթել	Չվող թռչունները ամեն տարի սեզոնների հետ տեղափոխվում են։
前景	հեռանկար	Այս ոլորտը լավ հեռանկարներ ունի։
前提	նախապայման; հիմք	Վստահությունը համագործակցության նախապայմանն է։
潜力	ներուժ	Այս աշակերտը մեծ ներուժ ունի։
潜水	սուզվել; ջրի տակ գնալ	Նրանք ծովափ գնացին սուզվել սովորելու։
潜移默化	աննկատ ազդել	Ընտանեկան միջավայրը կարող է աննկատ ազդել երեխաների վրա։
谴责	դատապարտել	Միջազգային հանրությունը դատապարտեց բռնությունը։
抢劫	կողոպտել; կողոպուտ	Ոստիկանությունը բռնեց բանկը կողոպտած կասկածյալին։
强制	պարտադրել; հարկադիր	Նոր կանոնը պարտադրում է վարորդներին կապել անվտանգության գոտին։
强迫	ստիպել; հարկադրել	Մի ստիպիր երեխաներին անել այն, ինչ նրանք չեն սիրում։
抢救	փրկել; շտապ օգնություն ցույց տալ	Բժիշկները փրկում են վիրավոր աշխատողին։
桥梁	կամուրջ; կապ	Լեզուն մշակութային փոխանակման կամուրջ է։
窍门	հնարք; գաղտնի միջոց	Արտասանություն սովորելու մեջ որոշ հնարքներ կան։
翘	բարձրացնել; վեր ցցել	Նա մեկ ոտքը բարձրացրեց աթոռի վրա։
切实	իրական; գործնական	Մեզ իրական և իրագործելի ծրագիր է պետք։
锲而不舍	համառորեն շարունակել; չհանձնվել	Նա համառորեն ուսումնասիրեց այս խնդիրը։
