simplified	AZ	example_AZ
制约	məhdudlaşdırmaq	Vəsait çatışmazlığı inkişafı məhdudlaşdırır.
制止	dayandırmaq	Polis münaqişəni vaxtında dayandırdı.
志气	ambisiya	Gənclərin ambisiyası olmalıdır.
智力	zehni qabiliyyət	Oyunlar zehni qabiliyyəti məşq etdirə bilər.
智能	ağıllı	Ağıllı cihazlar getdikcə daha geniş yayılır.
智商	intellekt əmsalı	İntellekt əmsalı hər şeyi müəyyən etmir.
治安	ictimai təhlükəsizlik	İcmada ictimai təhlükəsizlik açıq şəkildə yaxşılaşıb.
治理	idarə etmək	Hökumət çayların idarə olunmasını gücləndirdi.
滞留	qalmaq	Sərnişinlər güclü qar səbəbilə hava limanında qaldılar.
致辞	çıxış etmək	Direktor mərasimdə çıxış etdi.
致力	həsr etmək	Komanda səylərini texnoloji innovasiyaya həsr edir.
致使	səbəb olmaq	İdarəetmə səhvləri layihənin gecikməsinə səbəb oldu.
中断	kəsilmək	Güclü yağış rabitənin kəsilməsinə səbəb oldu.
中立	neytral	O ölkə neytral mövqe saxlayır.
中央	mərkəz	Fəvvarə meydanın mərkəzindədir.
忠诚	sadiq	İşçilər şirkətə sadiqdirlər.
忠实	sədaqətli	O, bu qəzetin sədaqətli oxucusudur.
终点	finiş xətti	Finiş xətti düz irəlidədir.
终究	sonunda	Problem sonunda həll olunacaq.
终身	ömür boyu	O, ömür boyu təhsildə işləməyə qərar verdi.
终止	dayandırılmaq	Müqavilə gələn ayın sonunda dayandırılacaq.
衷心	səmimi	Köməyinə görə sənə səmimi təşəkkür edirəm.
种子	toxum	Fermerlər yeni toxum səpdilər.
种族	irq	Qanun irq ayrı-seçkiliyini qadağan edir.
肿瘤	şiş	Həkim xoşxassəli şiş aşkar etdi.
众所周知	hamıya məlumdur	Hamıya məlumdur ki, su vacibdir.
种植	əkmək	Bura üzüm əkmək üçün uyğundur.
重心	əsas diqqət	İşin əsas diqqəti xidmətə yönəldi.
周边	ətraf	Məktəbin ətrafında nəqliyyat sıxdır.
周密	hərtərəfli	Onlar hərtərəfli plan hazırladılar.
周年	ildönümü	Şirkət yaranmasının on illiyini qeyd etdi.
周期	dövr	Məhsulun yenilənmə dövrü qısalıb.
周折	çətinliklər	Prosedurları aparmaq xeyli çətinlik yaratdı.
周转	pul dövriyyəsi	Şirkətin pul dövriyyəsində çətinlik var.
州	ştat	O, ABŞ-ın Kaliforniya ştatında yaşayır.
粥	sıyıq	Xəstə səhər sıyıq yedi.
舟	qayıq	Kiçik qayıq yavaş-yavaş sahilə yaxınlaşdı.
昼夜	gecə-gündüz	Fəhlələr yolu gecə-gündüz təmir etdilər.
皱纹	qırış	Nənənin üzündə çox qırış var.
株	bitki say vahidi	Həyətdə üç ağac əkildi.
诸位	hamınız	Bu gün gəldiyiniz üçün hamınıza təşəkkür edirəm.
逐年	ildən-ilə	Əməliyyat xərcləri ildən-ilə artır.
主办	təşkil etmək	Məktəb incəsənət festivalı təşkil etdi.
主导	aparıcı olmaq	Bazar tələbi məhsul dizaynında aparıcı rol oynayır.
主管	məsul rəhbər	Məsul rəhbər büdcəni təsdiqləyir.
主流	əsas axın	Ekoloji düşüncə əsas axına çevrildi.
主权	suverenlik	Dövlət suverenliyinə hörmət edilməlidir.
主义	ideologiya	O, müxtəlif siyasi ideologiyaları araşdırır.
嘱咐	tapşırmaq	Anası ona çətir götürməyi dönə-dönə tapşırdı.
拄	söykənmək	Qoca əsaya söykənərək yeriyirdi.
住宅	yaşayış evi	Bu ərazidə əsasən yaşayış evləri var.
助理	köməkçi	Köməkçi iclas materiallarını topladı.
助手	yardımçı	Robot laboratoriyada yardımçıdır.
注射	iynə vurmaq	Həkim xəstəyə dərman iynəsi vurdu.
注视	diqqətlə baxmaq	O, uzaqlara diqqətlə baxırdı.
注释	izah qeydi	Mətnin yanında ətraflı izah qeydləri var.
注重	əhəmiyyət vermək	Şirkət məhsul keyfiyyətinə əhəmiyyət verir.
著作	əsər	Bu əsərin təsiri böyükdür.
铸造	tökmə üsulu ilə hazırlamaq	Zavod iri hissələri tökmə üsulu ilə hazırlayır.
驻扎	yerləşmək	Qoşun sərhəddə yerləşib.
拽	dartmaq	O, qutunu evə dartıb saldı.
专长	ixtisas sahəsi	Məlumat təhlili onun ixtisas sahəsidir.
专程	xüsusi olaraq	O, müəllimini görmək üçün xüsusi olaraq gəldi.
专利	patent	Şirkət yeni patent üçün müraciət etdi.
专题	xüsusi mövzu	Ekologiya barədə xüsusi veriliş yayımlandı.
砖	kərpic	Fəhlə bir araba kərpic gətirdi.
转达	çatdırmaq	Zəhmət olmasa, təşəkkürümü çatdır.
转让	təhvil vermək	O, mağazanı başqasına təhvil verməyə qərar verdi.
转移	köçürmək	Tibb bacısı yaralını başqa yerə köçürdü.
转折	dönüş nöqtəsi	Hekayədə böyük dönüş nöqtəsi yarandı.
传记	tərcümeyi-hal	O, atasının tərcümeyi-halını yazır.
庄稼	ekin	Yağış ekinləri canlandırdı.
庄严	təntənəli	Mərasimin ab-havası təntənəli idi.
庄重	ciddi və ləyaqətli	O, ciddi və ləyaqətli geyim geymişdi.
装备	avadanlıq	Dəstə müasir avadanlıqla təchiz olunub.
装卸	yükləmə-boşaltma	Liman fəhlələri malların yükləmə-boşaltmasına cavabdehdir.
壮观	möhtəşəm	Şəlalənin mənzərəsi çox möhtəşəmdir.
壮丽	əzəmətli	Burada əzəmətli dağlar və çaylar var.
壮烈	qəhrəmancasına	Qəhrəman qəhrəmancasına həlak oldu.
幢	bina üçün say sözü	Küncdə bir köhnə bina var.
追悼	anmaq	İnsanlar anım mərasimində iştirak etdilər.
追究	araşdırmaq	Şirkət məsuliyyəti sonadək araşdıracaq.
坠	düşmək	Yarpaq budaqdan yerə düşdü.
准则	meyar	Dürüstlük əməkdaşlığın əsas meyarıdır.
卓越	üstün	O, üstün nailiyyətlər qazandı.
琢磨	düşünüb-daşınmaq	O, bu məsələ barədə dəfələrlə düşünüb-daşındı.
着手	başlamaq	Komanda sabah araşdırmaya başlayacaq.
着想	xeyrini düşünmək	Valideynlər həmişə uşaqlarının xeyrini düşünür.
着重	xüsusilə vurğulamaq	Hesabat xərcləri xüsusilə vurğulayır.
姿态	mövqe	O, təvazökar mövqe saxladı.
滋润	nəmləndirmək	Yaz yağışı torpağı nəmləndirdi.
滋味	dad	Uğursuzluğun dadı acıdır.
资本	sərmayə	Biznesə başlamaq üçün müəyyən sərmayə lazımdır.
资产	aktivlər	Şirkətin aktivləri davamlı artır.
资深	təcrübəli	Təcrübəli vəkil bu işi aparır.
资助	maliyyə dəstəyi vermək	Fond yoxsul tələbələrə maliyyə dəstəyi verir.
子弹	güllə	Güllə divara dəydi.
自卑	özünü aşağı görmək	O, artıq özünü aşağı görmür.
自发	öz təşəbbüsü ilə	Sakinlər küçəni öz təşəbbüsü ilə təmizlədi.
自力更生	öz gücünə arxalanmaq	Kəndlilər öz gücünə arxalanmaqda israr etdilər.
自满	özündən razı	Uğurdan sonra özündən razı olmaq olmaz.
自主	müstəqil	Şagirdlər müstəqil öyrənmə bacarığı inkişaf etdirməlidir.
宗教	din	O, dünya dinlərini araşdırır.
宗旨	məqsəd	Qurumun məqsədi icmaya xidmət etməkdir.
棕色	qəhvəyi	O, qəhvəyi dəri ayaqqabı aldı.
踪迹	iz	Polis şübhəlinin izini tapdı.
总而言之	bir sözlə	Bir sözlə, plan mümkündür.
总和	cəm	Cədvəldə bütün xərclərin cəmi göstərildi.
纵横	çarpaz uzanmaq	Çaylar düzənlikdə çarpaz uzanır.
走廊	dəhliz	Uşaqlar dəhlizdə sıraya düzülüb.
走漏	sızmaq	Xəbər bayıra sızmamalıdır.
走私	qaçaqmalçılıq etmək	Gömrük qaçaqmalçılıq mallarını aşkar etdi.
揍	döymək	Onu bir neçə sərxoş döydü.
租赁	icarəyə götürmək	Şirkət yeni ofisi icarəyə götürdü.
足以	kifayət etmək	Bu sübutlar məsələni izah etməyə kifayət edir.
祖父	baba	Babam köhnə hekayələr danışmağı sevir.
祖国	vətən	O, vətənini dərin sevgi ilə sevir.
祖先	əcdadlar	Onlar öz əcdadlarını yad etdilər.
阻碍	mane olmaq	Maliyyə çatışmazlığı layihənin irəliləyişinə mane oldu.
阻拦	qarşısını almaq	Mühafizəçi yad adamın içəri girməsinin qarşısını aldı.
阻挠	əngəl törətmək	Kimsə istintaqa qəsdən əngəl törədir.
钻研	dərindən araşdırmaq	O, qədim ədəbiyyatı dərindən araşdırır.
钻石	almaz	Üzükdə almaz qaş var.
嘴唇	dodaq	Soyuq külək dodaqları çatlatdı.
罪犯	cinayətkar	Polis qaçan cinayətkarı tutdu.
尊严	ləyaqət	Hər kəsin ləyaqəti olmalıdır.
遵循	riayət etmək	Həkim ciddi standartlara riayət edir.
作弊	köçürmək	İmtahanda köçürmək cəza ilə nəticələnir.
作废	qüvvədən düşmək	Köhnə bilet artıq qüvvədən düşüb.
作风	iş üslubu	Rəhbərin iş üslubu praktikdir.
作息	iş və istirahət rejimi	Nizamlı iş və istirahət rejimi sağlamlığa faydalıdır.
做主	qərar vermək	Bu məsələ barədə sən qərar ver.
座右铭	həyat şüarı	Onun həyat şüarı heç vaxt təslim olmamaqdır.
