simplified	MY	example_MY
日益	တဖြည်းဖြည်းပို၍	ပတ်ဝန်းကျင်ပြဿနာသည် တဖြည်းဖြည်းပို၍ အရေးကြီးလာသည်။
容貌	ရုပ်ရည်အသွင်အပြင်	သူ၏ ရုပ်ရည်အသွင်အပြင်သည် ငယ်စဉ်နှင့် များစွာပြောင်းလဲသွားသည်။
容纳	ဆံ့သည်; လက်ခံပါဝင်စေသည်	ဤခန်းမသည် လူတစ်ထောင်ကို ဆံ့နိုင်သည်။
容器	ထည့်စရာအိုး; ကွန်တိန်နာ	ဓာတ်ခွဲခန်းတွင် အရည်များကို သီးသန့်ထည့်စရာအိုးများတွင် ထားရှိသည်။
容忍	သည်းခံလက်ခံသည်	အဖွဲ့သည် လိမ်လည်မှုကို မည်သည့်အခြေအနေတွင်မျှ သည်းခံလက်ခံမည် မဟုတ်ပါ။
溶解	ပျော်ဝင်သည်	ဆားသည် ရေထဲတွင် လွယ်ကူစွာ ပျော်ဝင်သည်။
荣幸	ဂုဏ်ယူဝမ်းမြောက်သော	ဤဆုပေးပွဲတွင် ပါဝင်ခွင့်ရခြင်းသည် ကျွန်ုပ်အတွက် ဂုဏ်ယူဝမ်းမြောက်စရာ ဖြစ်သည်။
荣誉	ဂုဏ်သိက္ခာ; ဂုဏ်ထူး	သူသည် အသင်း၏ ဂုဏ်သိက္ခာအတွက် အစွမ်းကုန် ကြိုးစားခဲ့သည်။
融化	အရည်ပျော်သည်	နေရောင်ထွက်လာသောအခါ နှင်းများ အရည်ပျော်လာသည်။
融洽	သဟဇာတဖြစ်သော; ရင်းနှီးညီညွတ်သော	အသင်းသားများအကြား ဆက်ဆံရေးသည် ရင်းနှီးညီညွတ်သည်။
揉	နယ်သည်; နှိပ်နယ်သည်	မုန့်လုပ်ရန် ဂျုံမုန့်ကို ကောင်းကောင်း နယ်ရမည်။
柔和	နူးညံ့သော	ညနေခင်းအလင်းသည် နူးညံ့ပြီး သက်သာစေသည်။
儒家	ကွန်ဖြူးရှပ်ဝါဒ	ကွန်ဖြူးရှပ်ဝါဒသည် ပညာရေးနှင့် ကိုယ်ကျင့်တရားကို အလေးထားသည်။
弱点	အားနည်းချက်	သူသည် မိမိ၏ အားနည်းချက်ကို သိပြီး ပြင်ဆင်ရန် ကြိုးစားနေသည်။
若干	အချို့; အနည်းငယ်	အစည်းအဝေးတွင် အချို့သော ပြဿနာများကို ဆွေးနွေးခဲ့ကြသည်။
撒谎	လိမ်ပြောသည်	မိဘများသည် ကလေးများကို လိမ်မပြောရန် သင်ကြားပေးကြသည်။
散文	စကားပြေစာပေ	သူမသည် စကားပြေစာပေများ ဖတ်ရတာ နှစ်သက်သည်။
散布	ဖြန့်ချိသည်; ပျံ့နှံ့စေသည်	သတင်းမှားများကို ဖြန့်ချိခြင်းသည် အန္တရာယ်ရှိသည်။
散发	ထုတ်လွှတ်သည်; ဝေငှသည်	ပန်းများသည် မွှေးရနံ့ကို ထုတ်လွှတ်နေသည်။
丧失	ဆုံးရှုံးသည်	မတော်တဆမှုကြောင့် သူသည် အလုပ်လုပ်နိုင်စွမ်းအချို့ကို ဆုံးရှုံးခဲ့သည်။
骚扰	အနှောင့်အယှက်ပေးသည်; နှိပ်စက်နှောင့်ယှက်သည်	ဖုန်းဖြင့် အနှောင့်အယှက်ပေးခြင်းကို ရဲထံ တိုင်ကြားနိုင်သည်။
嫂子	အစ်ကို့ဇနီး	အစ်ကို့ဇနီးသည် မိသားစုညစာကို ပြင်ဆင်ပေးခဲ့သည်။
刹车	ဘရိတ်အုပ်သည်; ဘရိတ်	ယာဉ်မောင်းသည် ရုတ်တရက် ဘရိတ်အုပ်ခဲ့ရသည်။
啥	ဘာ	သူက ဘာပြောချင်တာလဲဆိုတာ ကျွန်ုပ် မသိပါ။
筛选	စိစစ်ရွေးချယ်သည်	ကုမ္ပဏီသည် လျှောက်လွှာများကို စိစစ်ရွေးချယ်နေသည်။
山脉	တောင်တန်း	ဤတောင်တန်းသည် နိုင်ငံနှစ်ခုကြား နယ်နိမိတ်အနီးတွင် တည်ရှိသည်။
闪烁	တဖျပ်ဖျပ်လင်းသည်; မရှင်းလင်းသော	ညအမှောင်ထဲတွင် မီးများ တဖျပ်ဖျပ်လင်းနေသည်။
擅长	ကျွမ်းကျင်သည်	သူမသည် ကိန်းဂဏန်းခွဲခြမ်းစိတ်ဖြာမှုတွင် အထူးကျွမ်းကျင်သည်။
擅自	ခွင့်ပြုချက်မရှိဘဲ	ခွင့်ပြုချက်မရှိဘဲ စာရွက်စာတမ်းများကို မပြင်ရ။
伤脑筋	ခေါင်းခဲစေသည်	ဤရှုပ်ထွေးသောပြဿနာသည် လူတိုင်းကို ခေါင်းခဲစေသည်။
商标	ကုန်အမှတ်တံဆိပ်	ကုမ္ပဏီသည် ကုန်အမှတ်တံဆိပ်အသစ်ကို မှတ်ပုံတင်ခဲ့သည်။
上级	အထက်အရာရှိ	အရေးကြီးသောဆုံးဖြတ်ချက်ကို အထက်အရာရှိထံ တင်ပြရမည်။
上进	တိုးတက်လိုစိတ်ရှိသည်	သူသည် အမြဲသင်ယူလိုပြီး တိုးတက်လိုစိတ်ရှိသည်။
上任	ရာထူးစတင်ထမ်းဆောင်သည်	မြို့တော်ဝန်အသစ်သည် လာမည့်လတွင် ရာထူးစတင်ထမ်းဆောင်မည်။
上瘾	စွဲလမ်းသွားသည်	ဂိမ်းကို အလွန်ကစားလျှင် စွဲလမ်းသွားနိုင်သည်။
上游	အထက်ပိုင်းမြစ်ပိုင်း; အထက်ပိုင်း	စက်ရုံသည် မြစ်အထက်ပိုင်းတွင် တည်ရှိသည်။
尚且	တောင်မှ	ကျွမ်းကျင်သူတောင်မှ ဤပြဿနာကို ခက်ခဲသည်ဟု ဆိုသည်။
捎	ယူသွားပေးသည်; ပို့ပေးသည်	အိမ်ပြန်ရာတွင် ဤစာကို သူ့ထံ ယူသွားပေးပါ။
梢	အကိုင်းဖျား	ငှက်ငယ်တစ်ကောင်သည် သစ်ကိုင်းဖျားပေါ်တွင် နားနေသည်။
