simplified	SW	example_SW
瞻仰	kutoa heshima	Watalii walitoa heshima kwenye mnara wa mashujaa.
展示	kuonyesha	Kampuni ilionyesha bidhaa yake mpya zaidi.
展望	kutazama mbele	Ripoti inatazama mbele mwenendo wa siku zijazo.
展现	kuonyesha	Kazi hii inaonyesha maisha ya vijijini.
崭新	mpya kabisa	Alinunua baiskeli mpya kabisa.
斩钉截铁	kwa uthabiti	Alikataa kwa uthabiti.
占据	kuchukua	Tangazo lilichukua ukurasa mzima.
占领	kuteka	Jeshi liliteka njia ya mlima.
战斗	mapigano	Mapigano yaliendelea kwa saa tatu.
战略	mkakati	Kampuni ilirekebisha mkakati wake wa maendeleo.
战术	mbinu	Kocha alibadilisha mbinu za mechi.
战役	kampeni ya kijeshi	Kampeni hii ya kijeshi ilibadilisha hali.
章程	kanuni	Chama kilipitisha kanuni mpya.
帐篷	hema	Walisimamisha mahema kando ya ziwa.
障碍	kizuizi	Vizuizi vya lugha huathiri mawasiliano.
招标	kuitisha zabuni	Mradi wa ujenzi uliitisha zabuni wazi.
招收	kuandikisha	Shule inaandikisha wanafunzi wapya mwaka huu.
朝气蓬勃	wenye nguvu ya ujana	Timu changa ina nguvu ya ujana.
着迷	kuvutiwa sana	Mtoto amevutiwa sana na elimu ya nyota.
沼泽	kinamasi	Msafara ulivuka kinamasi.
照样	kama kawaida	Mvua ilinyesha, lakini mazoezi yaliendelea kama kawaida.
照耀	kuangaza	Mwanga wa jua unaangaza uwanjani.
折腾	kusumbua	Acha kuisumbua kompyuta hii ya zamani.
遮挡	kuzuia	Matawi yalizuia dirisha.
折	kukunja	Alikunja karatasi kuwa ndege.
折磨	kutesa	Kukosa usingizi kwa muda mrefu kunamtesa.
侦探	mpelelezi	Mpelelezi alipata kidokezo muhimu.
斟酌	kupima kwa makini	Tafadhali pima maneno kwa makini.
珍贵	thamani kubwa	Picha hizi zina thamani kubwa sana.
珍稀	adimu	Linda wanyama pori adimu.
珍珠	lulu	Amevaa hereni za lulu.
真理	ukweli	Mazoezi hupima ukweli.
真相	ukweli halisi	Mwandishi alijitahidi kupata ukweli halisi.
真挚	dhati	Alitoa shukrani za dhati.
枕头	mto	Mto huu uko juu sana.
振奋	kuinua moyo	Habari njema iliinua moyo wa kila mtu.
振兴	kufufua	Serikali inaendeleza kufufua vijiji.
镇定	utulivu	Alibaki na utulivu wakati wa dharura.
镇静	tulivu	Muuguzi alimwambia mgonjwa awe tulivu.
阵地	nafasi ya ulinzi	Wanajeshi walishikilia nafasi ya ulinzi.
阵容	kikosi	Timu ilitangaza kikosi cha kuanzia.
震撼	kutikisa moyo	Filamu hii inatikisa moyo sana.
震惊	kushtua	Habari hiyo ilisababisha mshtuko nchini kote.
争端	mzozo	Pande zote mbili zilijaribu kutatua mzozo wa mpaka.
争夺	kugombea	Kampuni hizo mbili zinagombea sehemu ya soko.
争气	kujitahidi kuleta heshima	Anasoma kwa bidii ili kuleta heshima kwa familia yake.
争先恐后	kukimbilia kuwa wa kwanza	Watalii walikimbilia kuwa wa kwanza kupanda basi.
争议	ubishi	Uamuzi huu ulisababisha ubishi.
征服	kushinda	Mpandaji mlima alishinda kilele.
征收	kutoza	Serikali hutoza kodi kwa mujibu wa sheria.
挣扎	kuhangaika	Ndege alihangaika ndani ya wavu.
正月	mwezi wa kwanza wa kalenda ya mwezi	Jamaa hutembeleana katika mwezi wa kwanza wa kalenda ya mwezi.
蒸发	kuyeyuka kuwa mvuke	Unyevu uliyeyuka kuwa mvuke haraka.
整顿	kupanga upya	Kampuni ilianza kupanga upya usimamizi wake.
政策	sera	Sera mpya inaunga mkono biashara ndogo.
政权	mamlaka ya kisiasa	Vita vilibadilisha mamlaka ya kisiasa ya eneo hilo.
正当	halali	Alitoa ombi halali.
正负	chanya na hasi	Kifaa kinaonyesha kosa la chanya na hasi.
正规	rasmi	Mtoto aliingia shule rasmi kusoma.
正经	kwa uzito	Hatimaye alianza kuzungumza kwa uzito.
正气	uadilifu	Jamii inahitaji kukuza uadilifu.
正义	haki	Wakili alitetea haki.
正宗	halisi	Mkahawa huu unauza chakula halisi cha Sichuan.
症状	dalili	Homa ni dalili ya kawaida.
证实	kuthibitisha	Uchunguzi ulithibitisha kauli yake.
证书	cheti	Alipata cheti cha kitaaluma.
郑重	kwa heshima kubwa	Aliahidi kwa heshima kubwa kuwajibika.
之际	wakati wa	Wakati wa kukaribia Sikukuu ya Mwaka Mpya, kila mtu huwa na shughuli.
支撑	kutegemeza	Nguzo zinategemeza paa.
支出	matumizi	Matumizi ya kaya yameongezeka wazi.
支流	mto mdogo unaoingia mwingine	Mto huu ni mto mdogo unaoingia Yangtze.
支配	kutawala	Hisia hazipaswi kutawala hukumu.
支援	kutoa msaada	Madaktari kutoka maeneo mengi walikuja kutoa msaada.
支柱	nguzo	Uzalishaji viwandani ni nguzo ya uchumi wa eneo.
枝	tawi	Alivunja tawi la maua.
知觉	fahamu	Mjeruhiwa alianza kurejesha fahamu polepole.
知足常乐	kuridhika huleta furaha	Mzee huyo husema mara nyingi kuwa kuridhika huleta furaha.
脂肪	mafuta ya mwili	Karanga zina mafuta ya mwili yenye afya.
侄子	mpwa	Mpwa wangu alianza shule ya msingi mwaka huu.
值班	kuwa zamu	Muuguzi yuko zamu usiku huu.
执行	kutekeleza	Mahakama ilitekeleza hukumu.
执着	kudumu kwa nia	Anadumu kwa nia kubwa kuhusu ndoto zake.
殖民地	koloni	Kisiwa hiki kilikuwa koloni hapo zamani.
直播	matangazo ya moja kwa moja	Mechi itarushwa katika matangazo ya moja kwa moja mtandaoni usiku huu.
直径	kipenyo	Kipenyo cha duara hili ni sentimita kumi.
职能	kazi ya taasisi	Kazi za idara zinahitaji kugawanywa upya.
职位	nafasi ya kazi	Aliomba nafasi ya kazi ya usimamizi.
职务	wadhifa	Wadhifa wake ni msimamizi wa mradi.
指标	lengo la kipimo	Lengo la kipimo cha mauzo tayari limefikiwa.
指定	kuteua	Mwalimu alimteua ajibu swali.
指甲	kucha	Alikata kucha zake fupi.
指令	amri	Kompyuta ilipokea amri mpya.
指南针	dira	Mpandaji mlima alibeba dira.
指示	maagizo	Meneja alitoa maagizo wazi.
指望	kutegemea	Usiwategemee wengine kumaliza hili kwa ajili yako.
指责	kukosoa	Umma uliikosoa kampuni kwa kuchafua mazingira.
制裁	vikwazo	Jumuiya ya kimataifa iliweka vikwazo vya kiuchumi.
制服	sare	Mlinzi alivaa sare ya bluu iliyokolea.
制约	kuzuia	Ukosefu wa fedha unazuia maendeleo.
制止	kusimamisha	Polisi walisimamisha mzozo kwa wakati.
志气	azma	Vijana wanapaswa kuwa na azma.
智力	akili	Michezo inaweza kufundisha akili.
智能	akili bandia	Vifaa vya akili bandia vinazidi kuwa vya kawaida.
智商	kiwango cha akili	Kiwango cha akili hakiwezi kuamua kila kitu.
治安	usalama wa umma	Usalama wa umma katika jamii umeimarika wazi.
治理	usimamizi	Serikali iliimarisha usimamizi wa mto.
滞留	kwama	Abiria walikwama uwanja wa ndege kwa sababu ya theluji nzito.
致辞	kutoa hotuba	Mkuu wa shule alitoa hotuba kwenye sherehe.
致力	kujitoa kwa	Timu imejitoa kwa ubunifu wa teknolojia.
致使	kusababisha	Makosa ya usimamizi yalisababisha mradi kuchelewa.
中断	kukatizwa	Mvua kubwa ilisababisha mawasiliano kukatizwa.
中立	kutopendelea upande	Nchi hiyo inadumisha msimamo wa kutopendelea upande.
中央	katikati	Chemchemi iko katikati ya uwanja.
忠诚	uaminifu	Wafanyakazi wana uaminifu kwa kampuni.
忠实	mwaminifu	Yeye ni msomaji mwaminifu wa gazeti hili.
终点	mwisho	Mwisho wa mbio uko mbele tu.
终究	hatimaye	Tatizo litatatuliwa hatimaye.
终身	maisha yote	Aliamua kufanya kazi katika elimu maisha yote.
终止	kukomesha	Mkataba utakoma mwishoni mwa mwezi ujao.
衷心	kwa moyo wote	Ninakushukuru kwa moyo wote kwa msaada wako.
种子	mbegu	Wakulima walipanda mbegu mpya.
种族	kabila	Sheria inakataza ubaguzi wa kikabila.
肿瘤	uvimbe	Daktari alipata uvimbe usio hatari.
众所周知	kama kila mtu ajuavyo	Kama kila mtu ajuavyo, maji ni muhimu.
种植	kupanda	Mahali hapa panafaa kupanda zabibu.
重心	lengo kuu	Lengo kuu la kazi lilihamia kwenye huduma.
周边	maeneo ya karibu	Trafiki katika maeneo ya karibu ya shule imesongamana.
周密	makini	Walifanya mpango makini.
周年	kumbukumbu ya mwaka	Kampuni iliadhimisha kumbukumbu ya mwaka wa kumi.
周期	mzunguko	Mzunguko wa kusasisha bidhaa umefupishwa.
周折	misukosuko	Kushughulikia taratibu kulihusisha misukosuko mingi.
周转	mzunguko wa fedha	Kampuni ina shida katika mzunguko wa fedha.
州	jimbo	Anaishi katika jimbo la California nchini Marekani.
粥	uji	Mgonjwa alikula uji asubuhi.
舟	mashua	Mashua ndogo ilisogea polepole kuelekea ufukweni.
昼夜	mchana na usiku	Wafanyakazi walitengeneza barabara mchana na usiku.
皱纹	mikunjo ya ngozi	Bibi ana mikunjo mingi ya ngozi usoni.
株	mche	Miche mitatu ilipandwa uani.
诸位	nyote	Ninawashukuru nyote kwa kuja leo.
逐年	mwaka hadi mwaka	Gharama za uendeshaji zinaongezeka mwaka hadi mwaka.
主办	kuandaa	Shule iliandaa tamasha la sanaa.
主导	kuongoza	Mahitaji ya soko yanaongoza usanifu wa bidhaa.
主管	msimamizi	Msimamizi anawajibika kuidhinisha mpango wa fedha.
主流	mwelekeo mkuu	Mawazo ya mazingira yamekuwa mwelekeo mkuu.
主权	uhuru wa taifa	Uhuru wa taifa lazima uheshimiwe.
主义	itikadi	Anasoma itikadi tofauti za kisiasa.
嘱咐	kusisitiza	Mama yake alimsisitiza mara kwa mara abebe mwavuli.
拄	kuegemea	Mzee hutembea akiegemea fimbo.
住宅	makazi	Eneo hili ni la makazi kwa sehemu kubwa.
助理	msaidizi	Msaidizi alipanga nyenzo za mkutano.
助手	msaidizi	Roboti ni msaidizi wa maabara.
注射	sindano	Daktari alimchoma mgonjwa sindano ya dawa.
注视	kutazama kwa makini	Alitazama kwa makini mbali.
注释	maelezo ya pembeni	Kuna maelezo ya pembeni ya kina kando ya maandishi.
注重	kutilia mkazo	Kampuni inatilia mkazo ubora wa bidhaa.
著作	kazi iliyoandikwa	Kazi hii iliyoandikwa ina ushawishi wa mbali.
铸造	kufinyanga kwa kuyeyusha	Kiwanda hufinyanga sehemu kubwa kwa kuyeyusha chuma.
驻扎	kuweka kikosi	Vikosi vimewekwa mpakani.
拽	kuburuta	Aliburuta sanduku hadi chumbani.
专长	utaalamu	Uchambuzi wa data ni utaalamu wake.
专程	safari maalumu	Alifanya safari maalumu kumtembelea mwalimu.
专利	hati ya haki ya uvumbuzi	Kampuni iliomba hati mpya ya haki ya uvumbuzi.
专题	mada maalumu	Kituo cha televisheni kilirusha kipindi cha mada maalumu kuhusu mazingira.
砖	tofali	Wafanyakazi walileta mkokoteni wa matofali.
转达	kufikisha	Tafadhali fikisha shukrani zangu.
转让	kuhamisha umiliki	Aliamua kuhamisha umiliki wa duka.
转移	kuhamisha	Muuguzi aliwahamisha majeruhi.
转折	geuko muhimu	Geuko muhimu lilitokea katika hadithi.
传记	wasifu	Anaandika wasifu wa baba yake.
庄稼	mazao	Mvua ilirutubisha mazao.
庄严	adhimu	Sherehe ilikuwa na hali adhimu.
庄重	ya heshima	Alivaa mavazi rasmi ya heshima.
装备	vifaa	Timu imepewa vifaa vya kisasa.
装卸	kupakia na kupakua	Wafanyakazi wa bandarini wanawajibika kupakia na kupakua mizigo.
壮观	ya kuvutia sana	Mandhari ya maporomoko ya maji yanavutia sana.
壮丽	fahari	Milima na mito hapa ina fahari kubwa.
壮烈	kishujaa	Shujaa alikufa kishujaa.
幢	jengo	Kuna jengo la zamani kwenye kona.
追悼	maombolezo	Watu walihudhuria sherehe ya maombolezo.
追究	kuchunguza	Kampuni itachunguza wajibu.
坠	kuanguka	Majani yalianguka kutoka kwenye matawi.
准则	kanuni ya msingi	Uaminifu ni kanuni ya msingi ya ushirikiano.
卓越	ubora wa juu	Alipata mafanikio ya ubora wa juu.
琢磨	kutafakari	Alitafakari tatizo hili tena na tena.
着手	kuanza	Timu itaanza uchunguzi kesho.
着想	kufikiria	Wazazi daima hufikiria mahitaji ya watoto wao.
着重	kusisitiza	Ripoti inasisitiza uchambuzi wa gharama.
姿态	msimamo	Alidumisha msimamo wa unyenyekevu.
滋润	kulainisha	Mvua ya masika ililainisha ardhi.
滋味	ladha	Hisia ya kushindwa ni ngumu kuvumilia.
资本	mtaji	Kuanzisha biashara kunahitaji mtaji fulani.
资产	mali	Mali ya kampuni inaendelea kuongezeka.
资深	mwenye uzoefu	Mwanasheria mwenye uzoefu alishughulikia kesi hii.
资助	kusaidia kifedha	Taasisi hiyo huwasaidia kifedha wanafunzi maskini.
子弹	risasi	Risasi iligonga ukuta.
自卑	kujihisi duni	Hajihisi duni tena.
自发	kwa hiari	Wakazi walisafisha barabara kwa hiari.
自力更生	kujitegemea	Wanakijiji wanasisitiza kujitegemea.
自满	kuridhika kupita kiasi	Mtu hapaswi kuridhika kupita kiasi baada ya kufaulu.
自主	kujitegemea	Wanafunzi wanahitaji kukuza uwezo wa kujifunza kwa kujitegemea.
宗教	dini	Anasoma dini za dunia.
宗旨	lengo	Lengo la shirika ni kuhudumia jamii.
棕色	rangi ya kahawia	Alinunua viatu vya ngozi vya rangi ya kahawia.
踪迹	alama	Polisi walipata alama za mshukiwa.
总而言之	kwa kifupi	Kwa kifupi, mpango huo unawezekana.
总和	jumla	Faida ni tofauti kati ya mapato ya jumla na gharama.
纵横	kuvuka huku na kule	Mito inavuka tambarare huku na kule.
走廊	njia ya ndani	Watoto walipanga mstari kwenye njia ya ndani.
走漏	kuvuja	Habari hii haipaswi kuvuja.
走私	kusafirisha kinyume cha sheria	Forodha ilikamata bidhaa zilizosafirishwa kinyume cha sheria.
揍	kupiga	Alipigwa na wanaume kadhaa walevi.
租赁	kukodisha	Kampuni ilikodisha ofisi mpya.
足以	kutosha	Ushahidi huu unatosha kueleza tatizo.
祖父	babu	Babu hupenda kusimulia hadithi za zamani.
祖国	nchi ya nyumbani	Anapenda sana nchi yake ya nyumbani.
祖先	mababu	Wanawaheshimu mababu zao.
阻碍	kuzuia	Ukosefu wa fedha unazuia maendeleo ya mradi.
阻拦	kuzuia	Mlinzi aliwazuia wageni wasiingie.
阻挠	kukwamisha	Mtu fulani alikwamisha uchunguzi kwa makusudi.
钻研	kuchunguza kwa kina	Anachunguza fasihi ya kale kwa kina.
钻石	almasi	Almasi imewekwa kwenye pete.
嘴唇	mdomo	Upepo baridi ulipasua midomo.
罪犯	mhalifu	Polisi walimkamata mhalifu aliyetoroka.
尊严	heshima	Kila mtu anapaswa kuwa na heshima.
遵循	kufuata	Madaktari hufuata viwango vikali.
作弊	kudanganya	Kudanganya kwenye mitihani kutaadhibiwa.
作废	kufutwa	Tiketi ya zamani tayari imefutwa.
作风	mtindo wa kazi	Mtindo wa kazi wa kiongozi ni wa vitendo.
作息	ratiba ya kazi na mapumziko	Ratiba ya kawaida ya kazi na mapumziko inanufaisha afya.
做主	kufanya uamuzi	Wewe fanya uamuzi kuhusu suala hili.
座右铭	kauli mbiu ya maisha	Kauli mbiu yake ya maisha ni usikate tamaa kamwe.
