simplified	VI	example_VI
传记	tiểu sử	Cô ấy đang viết tiểu sử của cha mình.
庄稼	cây trồng	Mưa nuôi dưỡng cây trồng.
庄严	trang nghiêm	Buổi lễ có bầu không khí trang nghiêm.
庄重	đứng đắn	Anh ấy mặc lễ phục đứng đắn.
装备	trang bị	Đội được trang bị thiết bị tiên tiến.
装卸	bốc dỡ	Công nhân bến tàu phụ trách bốc dỡ hàng hóa.
壮观	hoành tráng	Phong cảnh thác nước rất hoành tráng.
壮丽	tráng lệ	Nơi này có núi sông tráng lệ.
壮烈	anh dũng	Người anh hùng hy sinh anh dũng.
幢	căn	Ở góc đường có một căn nhà cũ.
追悼	tưởng niệm	Mọi người tham dự lễ tưởng niệm.
追究	truy cứu	Công ty sẽ truy cứu trách nhiệm.
坠	rơi	Lá rơi từ cành cây xuống.
准则	chuẩn mực	Trung thực là chuẩn mực của hợp tác.
卓越	xuất sắc	Cô ấy đạt được thành tựu xuất sắc.
琢磨	suy nghĩ	Anh ấy suy nghĩ đi suy nghĩ lại về vấn đề này.
着手	bắt tay	Đội sẽ bắt tay vào điều tra ngày mai.
着想	nghĩ cho	Cha mẹ luôn nghĩ cho nhu cầu của con cái.
着重	nhấn mạnh	Báo cáo nhấn mạnh phân tích chi phí.
姿态	tư thái	Cô ấy giữ tư thái khiêm tốn.
滋润	làm ẩm	Mưa xuân làm ẩm đất đai.
滋味	cảm giác	Cảm giác thất bại thật khó chịu.
资本	vốn	Khởi nghiệp cần một số vốn.
资产	tài sản	Tài sản của công ty không ngừng tăng.
资深	kỳ cựu	Một luật sư kỳ cựu xử lý vụ án này.
资助	tài trợ	Quỹ tài trợ cho học sinh nghèo.
子弹	viên đạn	Viên đạn trúng vào tường.
自卑	tự ti	Anh ấy không còn cảm thấy tự ti nữa.
自发	tự phát	Cư dân tự phát dọn dẹp đường phố.
自力更生	tự lực cánh sinh	Dân làng kiên trì tự lực cánh sinh.
自满	tự mãn	Sau thành công không nên trở nên tự mãn.
自主	tự chủ	Học sinh cần phát triển năng lực học tập tự chủ.
宗教	tôn giáo	Anh ấy nghiên cứu các tôn giáo trên thế giới.
宗旨	tôn chỉ	Tôn chỉ của tổ chức là phục vụ cộng đồng.
棕色	màu nâu	Cô ấy mua đôi giày da màu nâu.
踪迹	dấu vết	Cảnh sát tìm thấy dấu vết của nghi phạm.
总而言之	tóm lại	Tóm lại, kế hoạch này khả thi.
总和	tổng	Lợi nhuận là chênh lệch giữa tổng doanh thu và chi phí.
纵横	chằng chịt	Sông ngòi chằng chịt trên đồng bằng.
走廊	hành lang	Bọn trẻ xếp hàng trong hành lang.
走漏	rò rỉ	Tin tức không được rò rỉ ra ngoài.
走私	buôn lậu	Hải quan tịch thu hàng buôn lậu.
揍	đánh	Anh ấy bị mấy người say rượu đánh.
租赁	thuê	Công ty thuê một văn phòng mới.
足以	đủ	Bằng chứng này đủ để giải thích vấn đề.
祖父	ông nội	Ông nội thích kể chuyện xưa.
祖国	tổ quốc	Anh ấy yêu sâu sắc tổ quốc của mình.
祖先	tổ tiên	Họ thờ cúng tổ tiên.
阻碍	cản trở	Thiếu vốn cản trở tiến độ dự án.
阻拦	ngăn	Người bảo vệ ngăn người lạ vào.
阻挠	cản trở	Có người cố ý cản trở cuộc điều tra.
钻研	nghiên cứu sâu	Cô ấy nghiên cứu sâu văn học cổ.
钻石	kim cương	Một viên kim cương được gắn trên chiếc nhẫn.
嘴唇	môi	Gió lạnh làm môi nứt nẻ.
罪犯	tội phạm	Cảnh sát bắt giữ tội phạm bỏ trốn.
尊严	phẩm giá	Mỗi người đều nên có phẩm giá.
遵循	tuân theo	Bác sĩ tuân theo tiêu chuẩn nghiêm ngặt.
作弊	gian lận	Gian lận trong thi cử sẽ bị xử phạt.
作废	hết hiệu lực	Vé cũ đã hết hiệu lực.
作风	tác phong	Tác phong làm việc của lãnh đạo rất thực tế.
作息	làm việc nghỉ ngơi	Chế độ làm việc nghỉ ngơi đều đặn có lợi cho sức khỏe.
做主	quyết định	Bạn quyết định việc này.
座右铭	châm ngôn	Châm ngôn của anh ấy là không bao giờ bỏ cuộc.
