simplified	DE	example_DE
阵地	Stellung	Die Soldaten hielten die Stellung.
阵容	Aufstellung; Besetzung	Das Team gab die Startaufstellung bekannt.
震撼	erschüttern; beeindrucken	Dieser Film war äußerst beeindruckend.
震惊	schockieren	Die Nachricht schockierte das ganze Land.
争端	Streit; Konflikt	Beide Seiten versuchten, den Grenzstreit zu lösen.
争夺	kämpfen um	Die beiden Unternehmen kämpfen um Marktanteile.
争气	sich bewähren; stolz machen	Er lernt fleißig, um seine Familie stolz zu machen.
争先恐后	sich drängen	Touristen drängten sich, in den Bus zu steigen.
争议	Kontroverse; Streit	Diese Entscheidung löste Kontroversen aus.
征服	erobern	Der Bergsteiger eroberte den Gipfel.
征收	erheben; einziehen	Die Regierung erhebt Steuern nach dem Gesetz.
挣扎	kämpfen; sich abmühen	Der Vogel kämpfte im Netz.
正月	erster Mondmonat	Im ersten Mondmonat besuchen sich Verwandte zum Neujahr.
蒸发	verdampfen	Die Feuchtigkeit verdampfte schnell.
整顿	neu ordnen; reorganisieren	Das Unternehmen begann, das Management neu zu ordnen.
政策	Politik; Richtlinie	Die neue Politik unterstützt kleine Unternehmen.
政权	Regime; Staatsmacht	Der Krieg veränderte die örtliche Staatsmacht.
正当	legitim; gerechtfertigt	Er stellte eine legitime Forderung.
正负	positiv und negativ	Das Messgerät zeigt positive und negative Abweichungen.
正规	regulär; standardisiert	Das Kind besucht eine reguläre Schule.
正经	ernsthaft; anständig	Endlich sprach er ernsthaft.
正气	Gerechtigkeit; rechtschaffene Haltung	Die Gesellschaft muss Rechtschaffenheit fördern.
正义	Gerechtigkeit	Der Anwalt verteidigte die Gerechtigkeit.
正宗	authentisch; traditionell	Dieses Restaurant verkauft authentische Sichuan-Küche.
症状	Symptom	Fieber ist ein häufiges Symptom.
证实	bestätigen	Die Untersuchung bestätigte seine Aussage.
证书	Zertifikat	Sie erhielt ein berufliches Zertifikat.
郑重	feierlich; ernst	Er versprach feierlich, Verantwortung zu übernehmen.
之际	zur Zeit von; anlässlich	Als das Frühlingsfest näher rückt, sind alle beschäftigt.
支撑	stützen	Die Säulen stützen das Dach.
支出	Ausgabe	Die Haushaltsausgaben sind deutlich gestiegen.
支流	Nebenfluss	Dieser Fluss ist ein Nebenfluss des Jangtse.
支配	beherrschen; zuteilen	Gefühle sollten das Urteil nicht beherrschen.
支援	unterstützen	Ärzte aus vielen Orten kamen zur Unterstützung.
支柱	Stütze; Pfeiler	Die Fertigungsindustrie ist eine Stütze der lokalen Wirtschaft.
枝	Zweig	Sie brach einen Blütenzweig ab.
知觉	Bewusstsein; Wahrnehmung	Der Verletzte kam allmählich wieder zu Bewusstsein.
知足常乐	Zufriedenheit bringt Glück	Der alte Mann sagt oft, Zufriedenheit bringe Glück.
脂肪	Fett	Nüsse enthalten gesunde Fette.
侄子	Neffe	Mein Neffe geht dieses Jahr in die Grundschule.
值班	Dienst haben	Die Krankenschwester hat heute Abend Dienst.
执行	ausführen; umsetzen	Das Gericht vollstreckte das Urteil.
执着	beharrlich; hartnäckig	Er hält sehr beharrlich an seinen Idealen fest.
殖民地	Kolonie	Diese Insel war einst eine Kolonie.
直播	Livestream; live übertragen	Das Spiel wird heute Abend online live übertragen.
直径	Durchmesser	Der Durchmesser dieses Kreises beträgt zehn Zentimeter.
职能	Funktion; Aufgabe	Die Funktionen der Abteilung müssen neu aufgeteilt werden.
职位	Position; Stelle	Sie bewarb sich um eine Führungsposition.
职务	Posten; Amt	Seine Funktion ist Projektleiter.
指标	Kennzahl; Ziel	Das Verkaufsziel wurde bereits erreicht.
指定	bestimmen; zuweisen	Der Lehrer bestimmte ihn, die Frage zu beantworten.
指甲	Fingernagel	Sie schnitt ihre Fingernägel kurz.
指令	Befehl; Anweisung	Der Computer erhielt einen neuen Befehl.
指南针	Kompass	Der Bergsteiger nahm einen Kompass mit.
指示	Anweisung; anzeigen	Der Manager gab klare Anweisungen.
指望	zählen auf; hoffen auf	Verlassen Sie sich nicht darauf, dass andere es für Sie erledigen.
指责	kritisieren; beschuldigen	Die Öffentlichkeit kritisierte das Unternehmen wegen Umweltverschmutzung.
制裁	Sanktion; sanktionieren	Die internationale Gemeinschaft verhängte Wirtschaftssanktionen.
制服	Uniform; unter Kontrolle bringen	Der Wachmann trug eine dunkelblaue Uniform.
制约	einschränken; begrenzen	Unzureichende Mittel begrenzen die Entwicklung.
制止	unterbinden; stoppen	Die Polizei stoppte den Konflikt rechtzeitig.
志气	Ehrgeiz; Rückgrat	Junge Menschen sollten Ehrgeiz haben.
智力	Intelligenz	Spiele können die Intelligenz trainieren.
智能	intelligent; smart	Smarte Geräte werden immer weiter verbreitet.
智商	Intelligenzquotient	Der IQ kann nicht alles bestimmen.
治安	öffentliche Sicherheit	Die öffentliche Sicherheit in der Gemeinde hat sich deutlich verbessert.
治理	verwalten; regieren	Die Regierung verstärkte das Flussmanagement.
滞留	festsitzen; zurückhalten	Passagiere saßen wegen starken Schnees am Flughafen fest.
致辞	eine Rede halten	Der Schulleiter hielt bei der Zeremonie eine Rede.
致力	sich widmen	Das Team widmet sich technologischer Innovation.
致使	verursachen	Managementfehler verursachten die Verzögerung des Projekts.
中断	unterbrechen	Der starke Regen führte zu einer Unterbrechung der Kommunikation.
中立	neutral	Das Land behält eine neutrale Haltung bei.
中央	Zentrum; zentral	Der Brunnen befindet sich in der Mitte des Platzes.
忠诚	loyal; Treue	Die Mitarbeiter sind dem Unternehmen gegenüber loyal.
忠实	treu	Er ist ein treuer Leser dieser Zeitung.
终点	Ziel; Endpunkt	Das Ziel liegt direkt vor uns.
终究	letztendlich	Das Problem wird letztendlich gelöst werden.
终身	lebenslang	Er beschloss, sein Leben lang in der Bildung zu arbeiten.
终止	beenden; kündigen	Der Vertrag endet Ende nächsten Monats.
衷心	aufrichtig; von Herzen	Ich danke dir von Herzen für deine Hilfe.
种子	Samen	Die Bauern säten neue Samen aus.
种族	Ethnie; Rasse	Das Gesetz verbietet rassistische Diskriminierung.
肿瘤	Tumor	Der Arzt fand einen gutartigen Tumor.
众所周知	allgemein bekannt	Wie allgemein bekannt ist, ist Wasser wichtig.
种植	anbauen; pflanzen	Dieser Ort eignet sich für den Weinanbau.
重心	Schwerpunkt	Der Arbeitsschwerpunkt verlagerte sich auf Service.
周边	Umgebung; Rand	Der Verkehr rund um die Schule ist überlastet.
周密	sorgfältig; gründlich	Sie erstellten einen gründlichen Plan.
周年	Jahrestag	Das Unternehmen feierte sein zehnjähriges Bestehen.
周期	Zyklus; Periode	Der Produktaktualisierungszyklus hat sich verkürzt.
周折	Umstände; Schwierigkeiten	Die Abwicklung der Formalitäten brachte viele Umstände mit sich.
周转	Umschlag; Liquidität	Das Unternehmen hat Schwierigkeiten mit dem Kapitalumlauf.
州	Bundesstaat; Präfektur	Er lebt im US-Bundesstaat Kalifornien.
粥	Brei; Reisbrei	Der Patient aß morgens Reisbrei.
舟	Boot	Das kleine Boot näherte sich langsam dem Ufer.
昼夜	Tag und Nacht	Arbeiter reparierten die Straße Tag und Nacht.
皱纹	Falte	Auf Großmutters Gesicht sind viele Falten.
株	Pflanze; Zähleinheitswort	Im Hof wurden drei Bäume gepflanzt.
诸位	alle Anwesenden	Ich danke Ihnen allen, dass Sie heute gekommen sind.
逐年	Jahr für Jahr	Die Betriebskosten steigen Jahr für Jahr.
主办	veranstalten; ausrichten	Die Schule richtete das Kunstfestival aus.
主导	leiten; bestimmen	Die Marktnachfrage bestimmt das Produktdesign.
主管	Vorgesetzter; zuständig	Der Vorgesetzte ist für die Genehmigung des Budgets zuständig.
主流	Mainstream	Umweltbewusstsein ist zum Mainstream geworden.
主权	Souveränität	Nationale Souveränität muss respektiert werden.
主义	Doktrin; Ideologie	Er erforscht verschiedene politische Ideologien.
嘱咐	ermahnen; anweisen	Seine Mutter erinnerte ihn wiederholt daran, einen Regenschirm mitzunehmen.
拄	sich stützen auf	Der alte Mann geht mit einem Gehstock.
住宅	Wohnung; Wohnhaus	Dieses Gebiet besteht größtenteils aus Wohnhäusern.
助理	Assistent	Der Assistent ordnete die Sitzungsunterlagen.
助手	Helfer; Assistent	Der Roboter ist ein Laborassistent.
注射	Injektion; injizieren	Der Arzt injizierte dem Patienten ein Medikament.
注视	anstarren; aufmerksam betrachten	Sie blickte in die Ferne.
注释	Anmerkung; Kommentar	Neben dem Text stehen ausführliche Anmerkungen.
注重	betonen; Wert legen auf	Das Unternehmen legt Wert auf Produktqualität.
著作	Werk; Buch	Dieses Werk hat weitreichenden Einfluss.
铸造	gießen	Die Fabrik gießt große Bauteile.
驻扎	stationieren	Die Truppen sind an der Grenze stationiert.
拽	ziehen; schleppen	Er zog die Kiste ins Zimmer.
专长	Spezialgebiet	Datenanalyse ist ihr Spezialgebiet.
专程	eigens unternommene Reise	Er machte eine besondere Reise, um den Lehrer zu besuchen.
专利	Patent	Das Unternehmen meldete ein neues Patent an.
专题	Sonderthema	Der Fernsehsender sendete ein Sonderprogramm über Umweltschutz.
砖	Ziegel	Arbeiter brachten einen Wagen Ziegel.
转达	übermitteln	Richten Sie bitte meinen Dank aus.
转让	übertragen; abtreten	Er beschloss, den Laden zu übertragen.
转移	verlegen; übertragen	Die Krankenschwester verlegte die Verletzten.
转折	Wendung; Wendepunkt	In der Geschichte trat eine wichtige Wendung ein.
传记	Biografie	Sie schreibt die Biografie ihres Vaters.
庄稼	Feldfrüchte	Der Regen nährte die Feldfrüchte.
庄严	feierlich; würdevoll	Die Zeremonie hatte eine feierliche Atmosphäre.
庄重	würdevoll; ernst	Er trug würdige Festkleidung.
装备	Ausrüstung; ausrüsten	Das Team ist mit moderner Ausrüstung ausgestattet.
装卸	be- und entladen	Hafenarbeiter sind für das Be- und Entladen der Waren zuständig.
壮观	spektakulär	Die Landschaft des Wasserfalls ist sehr spektakulär.
壮丽	prachtvoll; majestätisch	Hier gibt es prachtvolle Berge und Flüsse.
壮烈	heldenhaft	Der Held starb heldenhaft.
幢	Gebäude; Zähleinheitswort	An der Straßenecke steht ein altes Haus.
追悼	Gedenken; Trauerfeier	Die Menschen nahmen an der Gedenkfeier teil.
追究	nachforschen; zur Verantwortung ziehen	Das Unternehmen wird die Verantwortung untersuchen.
坠	fallen; herabstürzen	Blätter fielen von den Zweigen.
准则	Grundsatz; Kriterium	Ehrlichkeit ist ein Grundsatz der Zusammenarbeit.
卓越	herausragend	Sie erzielte herausragende Leistungen.
琢磨	grübeln; nachdenken	Er dachte wiederholt über dieses Problem nach.
着手	beginnen	Das Team beginnt morgen mit der Untersuchung.
着想	berücksichtigen	Eltern denken immer an die Bedürfnisse ihrer Kinder.
着重	betonen	Der Bericht betont die Kostenanalyse.
姿态	Haltung	Sie bewahrte eine bescheidene Haltung.
滋润	befeuchten; nähren	Der Frühlingsregen befeuchtete den Boden.
滋味	Geschmack; Gefühl	Das Gefühl des Scheiterns ist schwer zu ertragen.
资本	Kapital	Eine Gründung erfordert ein gewisses Kapital.
资产	Vermögen; Aktiva	Das Vermögen des Unternehmens wächst weiter.
资深	erfahren; Senior-	Ein erfahrener Anwalt bearbeitete diesen Fall.
资助	finanziell unterstützen	Die Stiftung unterstützt arme Schüler finanziell.
子弹	Kugel	Die Kugel traf die Wand.
自卑	Minderwertigkeitsgefühl	Er fühlt sich nicht mehr minderwertig.
自发	spontan	Die Bewohner reinigten spontan die Straße.
自力更生	Selbsthilfe; aus eigener Kraft	Die Dorfbewohner bestehen auf Selbsthilfe.
自满	selbstzufrieden	Nach Erfolg darf man nicht selbstzufrieden werden.
自主	autonom; selbstständig	Schüler müssen selbstständiges Lernen entwickeln.
宗教	Religion	Er erforscht Weltreligionen.
宗旨	Ziel; Zweck	Das Ziel der Organisation ist es, der Gemeinde zu dienen.
棕色	braun	Sie kaufte braune Lederschuhe.
踪迹	Spur	Die Polizei fand Spuren des Verdächtigen.
总而言之	kurz gesagt	Kurz gesagt, der Plan ist machbar.
总和	Summe	Der Gewinn ist die Differenz zwischen Gesamterlösen und Kosten.
纵横	kreuz und quer	Flüsse durchziehen die Ebene kreuz und quer.
走廊	Flur; Korridor	Die Kinder standen im Flur Schlange.
走漏	durchsickern	Die Nachricht darf nicht durchsickern.
走私	schmuggeln	Der Zoll beschlagnahmte Schmuggelware.
揍	verprügeln	Er wurde von mehreren Betrunkenen verprügelt.
租赁	mieten; leasen	Das Unternehmen mietete ein neues Büro.
足以	ausreichen	Diese Beweise reichen aus, um das Problem zu erklären.
祖父	Großvater	Großvater erzählt gern alte Geschichten.
祖国	Heimatland	Er liebt sein Heimatland zutiefst.
祖先	Vorfahren	Sie verehren ihre Vorfahren.
阻碍	behindern	Geldmangel behindert den Projektfortschritt.
阻拦	aufhalten; hindern	Der Wachmann hinderte Fremde am Eintreten.
阻挠	behindern; vereiteln	Jemand behinderte absichtlich die Untersuchung.
钻研	sich vertiefen in	Sie vertieft sich in antike Literatur.
钻石	Diamant	In den Ring ist ein Diamant gefasst.
嘴唇	Lippe	Der kalte Wind ließ die Lippen aufreißen.
罪犯	Verbrecher	Die Polizei verhaftete den geflohenen Verbrecher.
尊严	Würde	Jeder Mensch sollte Würde haben.
遵循	befolgen	Ärzte befolgen strenge Standards.
作弊	betrügen	Bei Prüfungen zu betrügen wird bestraft.
作废	ungültig werden	Das alte Ticket ist bereits ungültig.
作风	Arbeitsstil	Der Arbeitsstil des Leiters ist pragmatisch.
作息	Arbeits- und Ruhezeiten	Ein regelmäßiger Tagesrhythmus ist gut für die Gesundheit.
做主	entscheiden	Du entscheidest in dieser Angelegenheit.
座右铭	Motto	Sein Motto lautet: niemals aufgeben.
