simplified	TE	example_TE	KN	example_KN	ML	example_ML
剩	మిగలడం	ఇప్పుడు రెండు ఆపిళ్లు మాత్రమే మిగిలాయి.	ಉಳಿಯುವುದು	ಈಗ ಎರಡು ಸೇಬುಗಳು ಮಾತ್ರ ಉಳಿದಿವೆ.	മിച്ചമാകുക; ശേഷിക്കുക	ഇപ്പോൾ രണ്ട് ആപ്പിളുകൾ മാത്രമേ ശേഷിച്ചുള്ളൂ.
失败	విఫలం; విఫలమవడం	చాలా విఫలాలను అనుభవించినా నేను ఎప్పుడూ వదులుకోను.	ವಿಫಲತೆ; ಸೋಲು	ಬಹಳಷ್ಟು ವಿಫಲತೆಗಳನ್ನು ಅನುಭವಿಸಿದ್ದರೂ ನಾನು ಎಂದಿಗೂ ಬಿಟ್ಟುಕೊಡುವುದಿಲ್ಲ.	പരാജയം; പരാജയപ്പെടുക	അനവധി പരാജയങ്ങൾ അനുഭവിച്ചിട്ടും ഞാൻ ഒരിക്കലും വിട്ടുകൊടുക്കില്ല.
失望	నిరాశ; నిరాశ చెందడం	అతనిపై నాకు చాలా నిరాశ కలిగింది.	ನಿರಾಶೆ; ನಿರಾಶರಾಗುವುದು	ಅವನ ಬಗ್ಗೆ ನನಗೆ ತುಂಬಾ ನಿರಾಶೆಯಾಗಿದೆ.	നിരാശ; നിരാശപ്പെടുക	അവനെക്കുറിച്ച് എനിക്ക് വളരെ നിരാശയായി.
师傅	మాస్టర్; గౌరవపూర్వక సంబోధన	మాస్టర్ గారూ, సినిమా థియేటర్‌కి ఎలా వెళ్లాలో చెప్పగలరా?	ಮಾಸ್ಟರ್; ಗೌರವ ಸಂಬೋಧನೆ	ಮಾಸ್ಟರ್, ಚಿತ್ರಮಂದಿರಕ್ಕೆ ಹೇಗೆ ಹೋಗಬೇಕು ಎಂದು ಕೇಳಬಹುದೇ?	മാസ്റ്റർ; ആദരസംബോധന	മാസ്റ്റർ, സിനിമാ തീയറ്ററിലേക്ക് എങ്ങനെ പോകാം?
十分	చాలా; అత్యంత	ఆమె పనులు చాలా జాగ్రత్తగా చేస్తుంది.	ಬಹಳ; ಅತ್ಯಂತ	ಅವಳು ಕೆಲಸಗಳನ್ನು ತುಂಬಾ ಜಾಗರೂಕತೆಯಿಂದ ಮಾಡುತ್ತಾಳೆ.	വളരെ; അത്യന്തം	അവൾ കാര്യങ്ങൾ വളരെ ശ്രദ്ധയോടെ ചെയ്യുന്നു.
实际	వాస్తవ; ప్రాయోగిక	అతను ఈ సమస్యను వివరించడానికి ఒక వాస్తవ ఉదాహరణ ఉపయోగించాడు.	ವಾಸ್ತವ; ಪ್ರಾಯೋಗಿಕ	ಅವನು ಈ ಸಮಸ್ಯೆಯನ್ನು ವಿವರಿಸಲು ಒಂದು ಪ್ರಾಯೋಗಿಕ ಉದಾಹರಣೆ ಬಳಸಿದನು.	യാഥാർത്ഥ്യമായ; പ്രായോഗികമായ	ഈ പ്രശ്നം വിശദീകരിക്കാൻ അവൻ ഒരു പ്രായോഗിക ഉദാഹരണം ഉപയോഗിച്ചു.
实在	నిజంగా; నిజంగా చాలా	నేను నిజంగా చాలా అలసిపోయాను.	ನಿಜವಾಗಿಯೂ; ತುಂಬಾ	ನಾನು ನಿಜವಾಗಿಯೂ ತುಂಬಾ ದಣಿದಿದ್ದೇನೆ.	ശരിക്കും; തീർച്ചയായും	ഞാൻ ശരിക്കും വളരെ ക്ഷീണിച്ചു.
使	చేయించడం; కారణమవడం	అతని మాటలు నన్ను చాలా కదిలించాయి.	ಮಾಡಿಸುವುದು; ಕಾರಣವಾಗುವುದು	ಅವನ ಮಾತುಗಳು ನನ್ನನ್ನು ತುಂಬಾ ಭಾವನಾತ್ಮಕಗೊಳಿಸಿತು.	ആക്കുക; കാരണമാകുക	അവന്റെ വാക്കുകൾ എന്നെ വളരെ വികാരഭരിതനാക്കി.
使用	వాడడం; ఉపయోగించడం	చైనీయులు సాధారణంగా భోజనానికి చాప్‌స్టిక్స్ ఉపయోగిస్తారు.	ಬಳಸುವುದು	ಚೀನೀಯರು ಊಟ ಮಾಡುವಾಗ ಸಾಮಾನ್ಯವಾಗಿ ಚಾಪ್‌ಸ್ಟಿಕ್‌ಗಳನ್ನು ಬಳಸುತ್ತಾರೆ.	ഉപയോഗിക്കുക	ചൈനീസ് ആളുകൾ സാധാരണയായി ഭക്ഷണം കഴിക്കുമ്പോൾ ചോപ്സ്റ്റിക്കുകൾ ഉപയോഗിക്കുന്നു.
世纪	శతాబ్దం	ఇప్పుడు ఇరవై ఒకటవ శతాబ్దం.	ಶತಮಾನ	ಈಗ ಇಪ್ಪತ್ತೊಂದನೇ ಶತಮಾನವಾಗಿದೆ.	നൂറ്റാണ്ട്	ഇപ്പോൾ ഇരുപത്തൊന്നാം നൂറ്റാണ്ടാണ്.
是否	అవునా కాదా; లేదో	అతను రావగలడో లేదో నాకు ఇంకా స్పష్టంగా తెలియదు.	ಆಗಬಹುದೇ ಇಲ್ಲವೇ; ಎಂದು	ಅವನು ಬರಬಹುದೇ ಇಲ್ಲವೇ ಎಂಬುದು ನನಗೆ ಇನ್ನೂ ಸ್ಪಷ್ಟವಾಗಿಲ್ಲ.	ആണോ അല്ലയോ; എങ്കിൽ	അവന് വരാനാകുമോ എന്നത് എനിക്ക് ഇനിയും വ്യക്തമായിട്ടില്ല.
适合	సరిపోవడం; అనుకూలంగా ఉండడం	ఆకుపచ్చ బట్టలు నాకు అంతగా సరిపోవు.	ಹೊಂದುವುದು; ತಕ್ಕಂತೆ ಇರುವುದು	ಹಸಿರು ಬಟ್ಟೆಗಳು ನನಗೆ ಹೆಚ್ಚು ಹೊಂದುವುದಿಲ್ಲ.	യോജിക്കുക; അനുയോജ്യമാകുക	പച്ച വസ്ത്രങ്ങൾ എനിക്ക് അത്ര യോജിക്കുന്നില്ല.
适应	అలవాటు పడడం; సరిపడడం	ఉత్తర ప్రాంతపు వాతావరణానికి నువ్వు అలవాటు పడగలవా?	ಹೊಂದಿಕೊಳ್ಳುವುದು	ಉತ್ತರದ ಹವಾಮಾನಕ್ಕೆ ನೀನು ಹೊಂದಿಕೊಳ್ಳಬಹುದೇ?	ഇണങ്ങുക; പതുക്കെ ശീലിക്കുക	വടക്കൻ കാലാവസ്ഥയ്ക്ക് നിനക്ക് ഇണങ്ങാനാകുമോ?
收	స్వీకరించడం; పొందడం	నీ లేఖ నాకు అందింది.	ಸ್ವೀಕರಿಸುವುದು; ಪಡೆಯುವುದು	ನಿನ್ನ ಪತ್ರ ನನಗೆ ಬಂದಿದೆ.	സ്വീകരിക്കുക; ലഭിക്കുക	നിന്റെ കത്ത് എനിക്ക് ലഭിച്ചു.
收入	ఆదాయం	అతని ఆదాయం ముందుకంటే ఎక్కువైంది.	ಆದಾಯ	ಅವನ ಆದಾಯ ಹಿಂದಿಗಿಂತ ಹೆಚ್ಚಾಗಿದೆ.	വരുമാനം	അവന്റെ വരുമാനം മുമ്പത്തേക്കാൾ കൂടുതലായി.
收拾	సర్దుకోవడం; సర్దుబాటు చేయడం	నేను సామాను సర్దుకుంటున్నాను.	ಸವರಿಸುವುದು; ಸರಿಪಡಿಸುವುದು	ನಾನು ಸಾಮಾನುಗಳನ್ನು ಸವರಿಸುತ್ತಿದ್ದೇನೆ.	ഒഴുക്കുക; പായ്ക്ക് ചെയ്യുക	ഞാൻ ബാഗേജ് പായ്ക്ക് ചെയ്യുകയാണ്.
首都	రాజధాని	చైనా రాజధాని బీజింగ్.	ರಾಜಧಾನಿ	ಚೀನಾದ ರಾಜಧಾನಿ ಬೀಜಿಂಗ್.	തലസ്ഥാനം	ചൈനയുടെ തലസ്ഥാനം ബെയ്ജിംഗ് ആണ്.
首先	మొదటగా	మొదట బాగా విశ్రాంతి తీసుకోవాలి, తర్వాతే బాగా పని చేయగలం.	ಮೊದಲು	ಮೊದಲು ಚೆನ್ನಾಗಿ ವಿಶ್ರಾಂತಿ ಪಡೆಯಬೇಕು, ನಂತರ ಮಾತ್ರ ಚೆನ್ನಾಗಿ ಕೆಲಸ ಮಾಡಬಹುದು.	ആദ്യം	ആദ്യം നന്നായി വിശ്രമിക്കണം, പിന്നെ മാത്രമേ നന്നായി ജോലി ചെയ്യാൻ കഴിയൂ.
受不了	తట్టుకోలేకపోవడం	వాతావరణం చాలా వేడిగా ఉంది, నేను తట్టుకోలేను.	ತಾಳಲಾಗದ; ಸಹಿಸಲಾಗದ	ಹವಾಮಾನ ತುಂಬಾ ಬಿಸಿಯಾಗಿದೆ, ನನಗೆ ತಾಳಲಾಗುವುದಿಲ್ಲ.	സഹിക്കാനാവാത്ത; താങ്ങാനാകാത്ത	കാലാവസ്ഥ വളരെ ചൂടാണ്, എനിക്ക് സഹിക്കാനാവുന്നില്ല.
受到	పొందడం; అందుకోవడం	అతని నవలను పాఠకులు బాగా స్వాగతించారు.	ಸ್ವೀಕರಿಸುವುದು; ಅನುಭವಿಸುವುದು	ಅವನ ಕಾದಂಬರಿಯನ್ನು ಓದುಗರು ಚೆನ್ನಾಗಿ ಸ್ವೀಕರಿಸಿದರು.	ലഭിക്കുക; ഏറ്റുവാങ്ങുക	അവന്റെ നോവൽ വായനക്കാർ നന്നായി സ്വീകരിച്ചു.
售货员	విక్రేత; అమ్మకందారు	నేను షాపింగ్ మాల్‌లో విక్రేతగా పని చేస్తున్నాను.	ಮಾರಾಟಗಾರ; ಮಾರಾಟ ಸಿಬ್ಬಂದಿ	ನಾನು ವ್ಯಾಪಾರ ಮಳಿಗೆಯಲ್ಲಿ ಮಾರಾಟಗಾರನಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತೇನೆ.	വിൽപ്പനക്കാരൻ; സെയിൽസ് ജീവനക്കാരൻ	ഞാൻ മാളിൽ വിൽപ്പനക്കാരനായി ജോലി ചെയ്യുന്നു.
输	ఓడిపోవడం	ఈ పోటీలో మేము ఓడిపోయాము.	ಸೋಲುವುದು	ಈ ಪಂದ್ಯದಲ್ಲಿ ನಾವು ಸೋತೇವೆ.	പരാജയപ്പെടുക; തോൽക്കുക	ഈ മത്സരത്തിൽ ഞങ്ങൾ തോറ്റു.
熟悉	పరిచయం ఉండడం; బాగా తెలుసు	నాకు వాళ్లందరితో బాగా పరిచయం ఉంది.	ಪರಿಚಿತವಾಗಿರುವುದು; ಚೆನ್ನಾಗಿ ತಿಳಿದಿರುವುದು	ನನಗೆ ಅವರೊಂದಿಗೆ ಚೆನ್ನಾಗಿ ಪರಿಚಯವಿದೆ.	പരിചിതമായിരിക്കുക; നന്നായി അറിയുക	എനിക്ക് അവരെയെല്ലാം നന്നായി അറിയാം.
数量	సంఖ్య; పరిమాణం	నమోదు చేసుకున్న వారి సంఖ్య చాలా ఎక్కువ.	ಸಂಖ್ಯೆ; ಪ್ರಮಾಣ	ನೋಂದಾಯಿಸಿದ ಜನರ ಸಂಖ್ಯೆ ತುಂಬಾ ಹೆಚ್ಚು.	എണ്ണം; അളവ്	പേര് രജിസ്റ്റർ ചെയ്തവരുടെ എണ്ണം കൂടുതലാണ്.
数字	సంఖ్య; అంకె	దయచేసి సంఖ్యలను స్పష్టంగా రాయండి.	ಸಂಖ್ಯೆ; ಅಂಕೆ	ದಯವಿಟ್ಟು ಸಂಖ್ಯೆಗಳನ್ನೂ ಸ್ಪಷ್ಟವಾಗಿ ಬರೆಯಿರಿ.	സംഖ്യ; അക്കങ്ങൾ	ദയവായി അക്കങ്ങൾ വ്യക്തമായി എഴുതൂ.
帅	అందగాడు; స్టైలిష్‌గా ఉన్న	అతను ఈ రోజు చాలా స్టైలిష్‌గా దుస్తులు ధరించాడు.	ಸುಂದರ; ಸ್ಟೈಲಿಷ್	ಅವನು ಇಂದು ತುಂಬಾ ಸ್ಟೈಲಿಷ್ ಆಗಿ ಉಡುಗೆ ಧರಿಸಿದ್ದಾನೆ.	സുന്ദരൻ; സ്റ്റൈലിഷ്	അവൻ ഇന്ന് വളരെ സ്റ്റൈലിഷായി വസ്ത്രം ധരിച്ചിരിക്കുന്നു.
顺便	అదే సమయంలో; దారిలోగా	పని ముగించి ఇంటికి వస్తూ దారిలో కొంత కూరగాయలు కొన్నాను.	ಹಾಗೇ; ದಾರಿಯಲ್ಲಿ	ಕೆಲಸ ಮುಗಿಸಿ ಮನೆಗೆ ಬರುವಾಗ ದಾರಿಯಲ್ಲಿ ಸ್ವಲ್ಪ ತರಕಾರಿ ಖರೀದಿಸಿದೆ.	കൂടെ; വഴിയിൽപ്പോഴെ	ജോലിയിൽ നിന്ന് വീട്ടിലേക്ക് വരുമ്പോൾ വഴിയിൽ കുറച്ച് പച്ചക്കറി വാങ്ങി.
顺利	సజావుగా; ఆటంకం లేకుండా	పోటీ చాలా సజావుగా సాగింది.	ಸರಾಗವಾಗಿ; ಅಡಚಣೆ ಇಲ್ಲದೆ	ಪಂದ್ಯ ತುಂಬಾ ಸರಾಗವಾಗಿ ನಡೆಯಿತು.	സുഗമമായി; തടസ്സമില്ലാതെ	മത്സരം വളരെ സുഗമമായി നടന്നു.
顺序	క్రమం	దయచేసి క్రమాన్ని గందరగోళం చేయవద్దు.	ಕ್ರಮ	ದಯವಿಟ್ಟು ಕ್ರಮವನ್ನು ಗೊಂದಲಗೊಳಿಸಬೇಡಿ.	ക്രമം	ദയവായി ക്രമം കുഴക്കരുത്.
说明	వివరించడం; వివరణ	అతను ఈ విషయానికి కారణాన్ని అందరికీ వివరించాడు.	ವಿವರಿಸುವುದು; ವಿವರಣೆ	ಅವನು ಈ ವಿಷಯದ ಕಾರಣವನ್ನು ಎಲ್ಲರಿಗೂ ವಿವರಿಸಿದನು.	വിശദീകരിക്കുക; വിശദീകരണം	ഈ കാര്യത്തിന്റെ കാരണം അവൻ എല്ലാവർക്കും വിശദീകരിച്ചു.
硕士	మాస్టర్స్ డిగ్రీ	నేను విశ్వవిద్యాలయంలో మాస్టర్స్ చదువుతున్నాను.	ಮಾಸ್ಟರ್ ಪದವಿ	ನಾನು ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ಮಾಸ್ಟರ್ ಪದವಿ ಓದುತ್ತಿದ್ದೇನೆ.	മാസ്റ്റർ ബിരുദം	ഞാൻ സർവകലാശാലയിൽ മാസ്റ്റർ ബിരുദത്തിന് പഠിക്കുന്നു.
死	చనిపోవడం; చనిపోయిన	ఈ చెట్టు ఇప్పటికే చనిపోయింది.	ಸಾಯುವುದು; ಸತ್ತ	ಈ ಮರ ಈಗಾಗಲೇ ಸತ್ತಿದೆ.	മരിക്കുക; മരിച്ച	ഈ മരം ഇതിനകം മരിച്ചു.
