simplified	TL	example_TL
嘱咐	bilinan	Paulit-ulit siyang binilinan ng ina na magdala ng payong.
拄	sumandal sa	Naglalakad ang matanda habang nakasandal sa tungkod.
住宅	tirahan	Karamihan sa lugar na ito ay tirahan.
助理	asistente; katulong	Inayos ng asistente ang mga materyales sa pulong.
助手	katulong	Katulong sa eksperimento ang robot.
注射	turukan	Tinurukan ng doktor ng gamot ang pasyente.
注视	titigan	Tinitigan niya ang malayo.
注释	tala	May detalyadong tala sa tabi ng teksto.
注重	bigyang-diin	Binibigyang-diin ng kumpanya ang kalidad ng produkto.
著作	akda	Malalim ang impluwensya ng akdang ito.
铸造	ihulma	Naghuhulma ang pabrika ng malalaking piyesa.
驻扎	manatili	Nananatili ang hukbo sa hangganan.
拽	kaladkarin	Kinaladkad niya ang kahon papasok sa bahay.
专长	espesyalisasyon	Data analysis ang kanyang espesyalisasyon.
专程	sadyang biyahe	Sadya siyang bumiyahe para bisitahin ang guro.
专利	patente	Nag-apply ang kumpanya para sa bagong patente.
专题	espesyal na paksa	Nagpalabas ang TV station ng espesyal na paksa tungkol sa kapaligiran.
砖	ladrilyo	Nagdala ang mga manggagawa ng isang kariton ng ladrilyo.
转达	iparating	Pakiabot ang aking pasasalamat.
转让	ilipat	Nagpasya siyang ilipat ang tindahan sa iba.
转移	ilipat	Inilipat ng nars ang mga sugatan.
转折	pagliko	Nagkaroon ng malaking pagliko ang kuwento.
传记	talambuhay	Isinusulat niya ang talambuhay ng ama.
庄稼	pananim	Nilagyan ng sustansya ng ulan ang mga pananim.
庄严	marangal	Marangal ang kapaligiran ng seremonya.
庄重	marangal	Nakasuot siya ng marangal na pormal na damit.
装备	kagamitan	May advanced na kagamitan ang pangkat.
装卸	magkarga at magdiskarga	Responsable ang mga manggagawa sa pantalan sa pagkarga at pagdiskarga ng kargamento.
壮观	kamangha-mangha	Kamangha-mangha ang tanawin ng talon.
壮丽	marilag	May marilag na kabundukan at ilog dito.
壮烈	magiting	Magiting na nagsakripisyo ang bayani.
幢	gusali	May isang lumang gusali sa kanto.
追悼	paggunita	Dumalo ang mga tao sa seremonya ng paggunita.
追究	imbestigahan	Iimbestigahan ng kumpanya ang pananagutan.
坠	mahulog	Nahulog ang dahon mula sa sanga.
准则	pamantayan	Ang katapatan ay pamantayan ng kooperasyon.
卓越	namumukod-tangi	Nakamit niya ang namumukod-tanging tagumpay.
琢磨	pag-isipan	Paulit-ulit niyang pinag-isipan ang problemang ito.
着手	simulan	Sisimulan ng team ang imbestigasyon bukas.
着想	isaalang-alang	Palaging isinasaalang-alang ng mga magulang ang mga anak.
着重	bigyang-diin	Binigyang-diin ng ulat ang pagsusuri sa gastos.
姿态	tindig	Pinanatili niya ang mapagpakumbabang tindig.
滋润	basain	Binasa ng ulan sa tagsibol ang lupa.
滋味	lasa	Hindi madaling tiisin ang lasa ng pagkabigo.
资本	kapital	Kailangan ng negosyo ng tiyak na kapital.
资产	asset	Patuloy na lumalaki ang asset ng kumpanya.
资深	senior	Senior na abogado ang humawak sa kasong ito.
资助	tustusan	Tinutustusan ng foundation ang mahihirap na estudyante.
子弹	bala	Tumama ang bala sa pader.
自卑	mababang tingin sa sarili	Hindi na siya nakakaramdam ng mababang tingin sa sarili.
自发	kusang-loob	Kusang-loob na nilinis ng mga residente ang kalye.
自力更生	umasa sa sariling lakas	Nanindigan ang mga taganayon na umasa sa sariling lakas.
自满	kampante	Hindi dapat maging kampante pagkatapos magtagumpay.
自主	sarili	Kailangang linangin ng estudyante ang kakayahang matuto nang sarili.
宗教	relihiyon	Pinag-aaralan niya ang mga relihiyon sa mundo.
宗旨	layunin	Layunin ng institusyon na maglingkod sa komunidad.
棕色	kayumanggi	Bumili siya ng kayumangging sapatos na balat.
踪迹	bakas	Nakakita ang pulisya ng bakas ng suspek.
总而言之	sa madaling sabi	Sa madaling sabi, maisasagawa ang plano.
总和	kabuuan	Ang tubo ay may kaugnayan sa kabuuan ng kita at gastos.
纵横	krus-krus	Krus-krus ang mga ilog sa kapatagan.
走廊	pasilyo	Pumila ang mga bata sa pasilyo.
走漏	tumagas	Hindi dapat tumagas ang balita.
走私	smuggling	Nasabat ng customs ang smuggled goods.
揍	bugbugin	Binugbog siya ng ilang lasing.
租赁	umupa	Umupa ang kumpanya ng bagong opisina.
足以	sapat	Sapat ang ebidensyang ito para ipaliwanag ang problema.
祖父	lolo	Mahilig magkuwento ng lumang kuwento ang lolo.
祖国	bayan	Mahal na mahal niya ang bayan.
祖先	ninuno	Sinasamba nila ang kanilang mga ninuno.
阻碍	hadlangan	Hinahadlangan ng kakulangan sa pondo ang progreso ng proyekto.
阻拦	pigilan	Pinigilan ng security guard ang estranghero na pumasok.
阻挠	sagabal	May taong sadyang sumasagabal sa imbestigasyon.
钻研	pag-aralan nang malalim	Pinag-aaralan niya nang malalim ang sinaunang panitikan.
钻石	brilyante	May nakalagay na brilyante sa singsing.
嘴唇	labi	Nabitak ang labi dahil sa malamig na hangin.
罪犯	kriminal	Inaresto ng pulisya ang tumakas na kriminal.
尊严	dignidad	Dapat may dignidad ang bawat tao.
遵循	sundin	Sinusunod ng doktor ang mahigpit na pamantayan.
作弊	mandaya	Parurusahan ang pandaraya sa pagsusulit.
作废	walang bisa	Wala nang bisa ang lumang ticket.
作风	estilo ng trabaho	Praktikal ang estilo ng trabaho ng lider.
作息	oras ng trabaho at pahinga	Nakabubuti sa kalusugan ang regular na oras ng trabaho at pahinga.
做主	magdesisyon	Ikaw ang magdesisyon sa bagay na ito.
座右铭	motto	Ang motto niya ay huwag sumuko kailanman.
