simplified	TR	example_TR
战役	sefer; askeri harekat	Bu harekat durumu değiştirdi.
章程	tüzük; yönetmelik	Dernek yeni tüzüğü kabul etti.
帐篷	çadır	Göl kenarında çadır kurdular.
障碍	engel	Dil engelleri iletişimi etkiler.
招标	ihaleye çıkmak	Mühendislik projesi kamu ihalesine çıktı.
招收	kabul etmek; işe almak	Okul bu yıl yeni öğrenciler kabul ediyor.
朝气蓬勃	enerji dolu	Genç ekip enerji doludur.
着迷	büyülenmek; kendini kaptırmak	Çocuk astronomiye kendini kaptırdı.
沼泽	bataklık	Keşif ekibi bataklığı geçti.
照样	her zamanki gibi; yine de	Yağmur yağdı ama antrenman yine de sürdü.
照耀	aydınlatmak	Güneş ışığı meydanı aydınlatıyor.
折腾	kurcalamak; uğraştırmak	Bu eski bilgisayarı kurcalamayı bırak.
遮挡	engellemek; kapatmak	Dallar pencereyi kapattı.
折	katlamak; kırmak	Kağıdı bir uçağa katladı.
折磨	eziyet etmek; işkence etmek	Uzun süreli uykusuzluk ona eziyet ediyor.
侦探	dedektif	Dedektif kilit bir ipucu buldu.
斟酌	dikkatle değerlendirmek	Lütfen ifadeleri dikkatle değerlendirin.
珍贵	değerli	Bu fotoğraflar çok değerlidir.
珍稀	nadir ve değerli	Nadir vahşi hayvanları koruyun.
珍珠	inci	İnci küpeler takıyor.
真理	gerçek; hakikat	Pratik gerçeği sınar.
真相	gerçek; olayın aslı	Muhabir gerçeği bulmaya çalıştı.
真挚	içten; samimi	İçten teşekkürlerini sundu.
枕头	yastık	Bu yastık çok yüksek.
振奋	cesaretlendirmek; moral vermek	İyi haber herkesin moralini yükseltti.
振兴	canlandırmak; kalkındırmak	Hükümet kırsal kalkınmayı teşvik ediyor.
镇定	sakin; soğukkanlı	Acil durumda sakin kaldı.
镇静	sakin; soğukkanlı	Hemşire hastaya sakin kalmasını söyledi.
阵地	mevzi	Askerler mevziyi korudu.
阵容	kadro; diziliş	Takım ilk on birini açıkladı.
震撼	sarsmak; derinden etkilemek	Bu film son derece etkileyicidir.
震惊	şoke etmek; şaşırtmak	Haber tüm ülkeyi şoke etti.
争端	anlaşmazlık; ihtilaf	İki taraf sınır anlaşmazlığını çözmeye çalıştı.
争夺	rekabet etmek; kapışmak	İki şirket pazar payı için rekabet ediyor.
争气	başarısıyla gururlandırmak	Ailesini gururlandırmak için çok çalışıyor.
争先恐后	öne geçmek için yarışmak	Turistler otobüse binmek için yarıştı.
争议	tartışma; ihtilaf	Bu karar tartışmaya yol açtı.
征服	fethetmek; üstesinden gelmek	Dağcı zirveyi fethetti.
征收	tahsil etmek; vergi koymak	Hükümet yasaya göre vergi tahsil eder.
挣扎	çırpınmak; mücadele etmek	Kuş ağın içinde çırpındı.
正月	kameri yılın ilk ayı	İlk kameri ayda akrabalar birbirini ziyaret eder.
蒸发	buharlaşmak	Nem hızla buharlaştı.
整顿	düzenlemek; yeniden yapılandırmak	Şirket yönetimi yeniden düzenlemeye başladı.
政策	politika	Yeni politika küçük işletmeleri destekliyor.
政权	siyasi iktidar; rejim	Savaş yerel rejimi değiştirdi.
正当	meşru; makul	Meşru bir talepte bulundu.
正负	artı eksi; pozitif ve negatif	Cihaz artı eksi hata gösteriyor.
正规	resmi; standartlara uygun	Çocuk standart bir okula başladı.
正经	ciddi; düzgün	Sonunda ciddi konuşmaya başladı.
正气	doğruluk; sağlıklı toplumsal hava	Toplumun doğruluğu teşvik etmesi gerekir.
正义	adalet	Avukat adaleti savundu.
正宗	otantik; aslına uygun	Bu restoran otantik Sichuan yemekleri satıyor.
症状	belirti	Ateş yaygın bir belirtidir.
证实	doğrulamak	Soruşturma onun ifadesini doğruladı.
证书	sertifika	Mesleki bir sertifika aldı.
郑重	ciddi; resmen	Sorumluluk alacağına ciddi biçimde söz verdi.
之际	esnasında; yaklaşırken	Bahar Bayramı yaklaşırken herkes meşguldür.
支撑	desteklemek	Sütunlar çatıyı destekler.
支出	gider; harcama	Hane giderleri belirgin biçimde arttı.
支流	kol nehir	Bu nehir Yangtze'nin bir koludur.
支配	hakim olmak; yönlendirmek	Duygular muhakemeye hakim olmamalıdır.
支援	destek vermek	Birçok yerden doktorlar destek vermeye geldi.
支柱	dayanak; temel sektör	İmalat yerel ekonominin temel dayanağıdır.
枝	dal	Bir dal çiçek kopardı.
知觉	bilinç; algı	Yaralı kişi yavaş yavaş bilincini geri kazandı.
知足常乐	elindekinden memnun olmak	Yaşlı adam sık sık kanaatin mutluluk getirdiğini söyler.
脂肪	yağ	Kuruyemiş sağlıklı yağlar içerir.
侄子	erkek yeğen	Erkek yeğenim bu yıl ilkokula başladı.
值班	nöbet tutmak	Hemşire bu gece nöbetçi.
执行	uygulamak; yerine getirmek	Mahkeme kararı uyguladı.
执着	ısrarcı; bağlı	İdealleri konusunda çok ısrarcıdır.
殖民地	sömürge	Bu ada bir zamanlar sömürgeydi.
直播	canlı yayın	Maç bu akşam internette canlı yayımlanacak.
直径	çap	Bu dairenin çapı on santimetredir.
职能	işlev; görev	Bölümün işlevlerinin yeniden dağıtılması gerekiyor.
职位	pozisyon; makam	Yönetici pozisyonuna başvurdu.
职务	görev; mevki	Onun görevi proje sorumlusudur.
指标	gösterge; hedef	Satış hedefi çoktan karşılandı.
指定	belirlemek; atamak	Öğretmen onu soruyu yanıtlamak üzere belirledi.
指甲	tırnak	Tırnaklarını kısa kesti.
指令	talimat; komut	Bilgisayar yeni bir komut aldı.
指南针	pusula	Dağcı yanında pusula getirdi.
指示	talimat vermek; göstermek	Müdür açık talimatlar verdi.
指望	güvenmek; umut bağlamak	Bunu senin yerine bitirmeleri için başkalarına güvenme.
指责	suçlamak; eleştirmek	Kamuoyu şirketi çevreyi kirletmekle suçladı.
制裁	yaptırım; yaptırım uygulamak	Uluslararası toplum ekonomik yaptırımlar uyguladı.
制服	üniforma; kontrol altına almak	Güvenlik görevlisi koyu mavi üniforma giydi.
制约	kısıtlamak	Yetersiz fon gelişmeyi kısıtlıyor.
制止	durdurmak; engellemek	Polis çatışmayı zamanında durdurdu.
志气	azim; hırs	Gençlerin azimli olması gerekir.
智力	zeka	Oyunlar zekayı geliştirebilir.
智能	akıllı	Akıllı cihazlar giderek yaygınlaşıyor.
智商	IQ; zeka katsayısı	IQ her şeyi belirleyemez.
治安	kamu güvenliği	Mahallenin kamu güvenliği belirgin biçimde iyileşti.
治理	yönetmek; düzenlemek	Hükümet nehir yönetimini güçlendirdi.
滞留	mahsur kalmak; alıkoymak	Yolcular yoğun kar nedeniyle havalimanında mahsur kaldı.
致辞	konuşma yapmak	Müdür törende konuşma yaptı.
致力	adanmak; çaba göstermek	Ekip teknolojik yeniliğe adanmıştır.
致使	neden olmak	Yönetim hataları projenin gecikmesine neden oldu.
中断	kesintiye uğratmak	Şiddetli yağmur iletişimin kesilmesine neden oldu.
中立	tarafsız	O ülke tarafsız bir tutum sürdürüyor.
中央	merkez; merkezi	Çeşme meydanın merkezindedir.
忠诚	sadık	Çalışanlar şirkete sadıktır.
忠实	sadık	O, bu gazetenin sadık bir okurudur.
终点	bitiş noktası	Bitiş çizgisi hemen ileride.
终究	sonunda	Sorun sonunda çözülecek.
终身	ömür boyu	Eğitim alanında ömür boyu çalışmaya karar verdi.
终止	sona erdirmek; sona ermek	Sözleşme gelecek ayın sonunda sona eriyor.
衷心	içten	Yardımınız için size içtenlikle teşekkür ederim.
种子	tohum	Çiftçiler yeni tohumlar ekti.
种族	ırk; etnisite	Yasa ırk ayrımcılığını yasaklar.
肿瘤	ur; tümör	Doktor iyi huylu bir tümör buldu.
众所周知	herkesin bildiği gibi	Herkesin bildiği gibi su önemlidir.
种植	ekmek; yetiştirmek	Burası üzüm yetiştirmeye uygundur.
重心	odak; ağırlık merkezi	İşin odağı hizmete kaydı.
周边	çevre; etraf	Okul çevresindeki trafik sıkışık.
周密	kapsamlı; titiz	Kapsamlı bir plan yaptılar.
周年	yıl dönümü	Şirket onuncu yıl dönümünü kutladı.
周期	döngü; periyot	Ürün güncelleme döngüsü kısaldı.
周折	zorluk; dolambaçlı süreç	İşlemleri yürütmek birçok zorluğa yol açtı.
周转	nakit akışı; kaynak çevirmek	Şirket nakit akışında zorluk yaşıyor.
州	eyalet; il	Amerika Birleşik Devletleri'nde Kaliforniya eyaletinde yaşıyor.
粥	pirinç lapası	Hasta sabah pirinç lapası yedi.
舟	kayık; tekne	Küçük tekne yavaşça kıyıya yaklaştı.
昼夜	gece gündüz; aralıksız	İşçiler yolu gece gündüz onardı.
皱纹	kırışıklık	Büyükannenin yüzünde birçok kırışıklık var.
株	bitki; fidan; ağaç gövdesi	Avluya üç fidan dikildi.
诸位	hepiniz; saygıdeğer konuklar	Bugün geldiğiniz için hepinize teşekkür ederim.
逐年	yıldan yıla; her yıl	İşletme maliyetleri yıldan yıla artıyor.
主办	düzenlemek; ev sahipliği yapmak	Okul sanat festivaline ev sahipliği yaptı.
主导	öncülük etmek; yönlendirmek	Pazar talebi ürün tasarımına yön verir.
主管	sorumlu kişi; yönetici	Yönetici bütçeyi onaylamaktan sorumludur.
主流	ana akım	Çevre fikirleri ana akım haline geldi.
主权	egemenlik	Ulusal egemenliğe saygı gösterilmelidir.
主义	öğreti; ideoloji; -izm	Farklı siyasi öğretileri inceliyor.
嘱咐	tembih etmek; söylemek	Annesi ona şemsiye götürmesini tekrar tekrar tembih etti.
拄	dayanmak	Yaşlı adam bastona dayanarak yürüyor.
住宅	konut; ikametgah	Bu bölge çoğunlukla konut alanıdır.
助理	asistan; yardımcı	Asistan toplantı belgelerini düzenledi.
助手	yardımcı	Robot laboratuvarda bir yardımcıdır.
注射	enjeksiyon; enjekte etmek	Doktor hastaya ilaç enjekte etti.
注视	dikkatle bakmak	Uzağa dikkatle baktı.
注释	not; açıklama; açıklama eklemek	Metnin yanında ayrıntılı açıklamalar var.
注重	önem vermek; vurgulamak	Şirket ürün kalitesine önem verir.
著作	eser; kitap; yazmak	Bu eserin geniş bir etkisi var.
铸造	dökmek; döküm yapmak	Fabrika büyük parçalar döküyor.
驻扎	konuşlanmak	Birlikler sınırda konuşlanmış durumda.
拽	çekmek; sürüklemek	Kutuyu odanın içine sürükledi.
专长	uzmanlık	Veri analizi onun uzmanlık alanıdır.
专程	özel olarak gitmek; özel yolculuk	Öğretmeni ziyaret etmek için özel olarak gitti.
专利	patent	Şirket yeni bir patent başvurusu yaptı.
专题	özel konu; özel program	Televizyon kanalı çevre koruma üzerine özel bir program yayımladı.
砖	tuğla	İşçiler bir araba tuğla getirdi.
转达	iletmek; aktarmak	Lütfen teşekkürlerimi iletin.
转让	devretmek; devir	Dükkanı devretmeye karar verdi.
转移	taşımak; aktarmak; yönünü değiştirmek	Hemşire yaralıları başka yere taşıdı.
转折	dönüm noktası; kırılma	Hikayede büyük bir dönüm noktası ortaya çıktı.
传记	biyografi	Babasının biyografisini yazıyor.
庄稼	ekin; tarla ürünü	Yağmur ekinleri besledi.
庄严	görkemli; ciddi	Törende ciddi bir atmosfer vardı.
庄重	ağırbaşlı; vakur	Ağırbaşlı resmi kıyafetler giydi.
装备	ekipman; donatmak	Ekip gelişmiş ekipmanla donatıldı.
装卸	yüklemek ve boşaltmak	Liman işçileri malları yükleyip boşaltmaktan sorumludur.
壮观	görkemli; muhteşem manzara	Şelale manzarası çok görkemli.
壮丽	görkemli; heybetli	Burada görkemli dağlar ve nehirler var.
壮烈	kahramanca; yiğitçe	Kahraman yiğitçe hayatını kaybetti.
幢	bina ölçü sözü; yapı	Köşede eski bir ev var.
追悼	anmak; yas töreni	İnsanlar anma törenine katıldı.
追究	soruşturmak; sorumluluğunu araştırmak	Şirket sorumluluğu araştıracak.
坠	düşmek; aşağı sarkmak	Yapraklar dallardan düştü.
准则	ilke; ölçüt; standart	Dürüstlük iş birliğinin bir ilkesidir.
卓越	olağanüstü; üstün	Olağanüstü başarılar elde etti.
琢磨	düşünüp taşınmak; kafa yormak	Bu sorun üzerine tekrar tekrar düşündü.
着手	başlamak; ele almak	Ekip yarın soruşturmaya başlayacak.
着想	düşünmek; hesaba katmak	Anne babalar her zaman çocuklarının ihtiyaçlarını düşünür.
着重	vurgulamak; ağırlık vermek	Rapor maliyet analizini vurguluyor.
姿态	tutum; duruş	Alçakgönüllü tutumunu korudu.
滋润	nemlendirmek; nemli	Bahar yağmuru toprağı nemlendirdi.
滋味	tat; duygu; his	Başarısızlık duygusuna katlanmak zordur.
资本	sermaye	İş kurmak biraz sermaye gerektirir.
资产	varlık; mal varlığı	Şirketin varlıkları büyümeye devam ediyor.
资深	kıdemli; deneyimli	Kıdemli bir avukat bu davayı ele aldı.
资助	maddi destek sağlamak; burs vermek	Vakıf yoksul öğrencilere maddi destek sağlıyor.
子弹	kurşun; mermi	Mermi duvara isabet etti.
自卑	aşağılık duygusu; kendini yetersiz görmek	Artık kendini yetersiz hissetmiyor.
自发	kendiliğinden; gönüllü	Sakinler kendiliğinden sokağı temizledi.
自力更生	kendi gücüne dayanmak	Köylüler kendi güçlerine dayanmakta ısrar ediyor.
自满	kendini beğenmiş; rehavet	Başarıdan sonra rehavete kapılmamak gerekir.
自主	özerk; kendi başına karar vermek	Öğrencilerin özerk öğrenme becerisi geliştirmesi gerekir.
宗教	din	Dünya dinlerini inceliyor.
宗旨	amaç; ilke	Kuruluşun amacı topluma hizmet etmektir.
棕色	kahverengi	Kahverengi deri ayakkabı aldı.
踪迹	iz; belirti	Polis şüphelinin izlerini buldu.
总而言之	kısacası; özetle	Kısacası plan uygulanabilir.
总和	toplam	Kâr toplam gelir ile maliyetler arasındaki farktır.
纵横	dikey ve yatay; dört bir yana; çaprazlama	Nehirler ovada dört bir yana uzanır.
走廊	koridor	Çocuklar koridorda sıraya girdi.
走漏	sızmak; ifşa olmak	Haberin dışarı sızmaması gerekir.
走私	kaçakçılık yapmak	Gümrük kaçak mallara el koydu.
揍	dövmek	Birkaç sarhoş adam tarafından dövüldü.
租赁	kiralamak; kira	Şirket yeni bir ofis kiraladı.
足以	yeterli olmak	Bu kanıt sorunu açıklamaya yeterlidir.
祖父	büyükbaba; baba tarafından dede	Dedesi eski hikayeler anlatmayı sever.
祖国	vatan; ana yurt	Vatanını derinden sever.
祖先	ata; atalar	Atalarına saygı gösterirler.
阻碍	engellemek; mani olmak	Fon eksikliği proje ilerlemesini engelliyor.
阻拦	durdurmak; engellemek	Görevli yabancıların içeri girmesini engelledi.
阻挠	sekteye uğratmak; kasıtlı engellemek	Biri soruşturmayı kasıtlı olarak engelledi.
钻研	derinlemesine incelemek; araştırmak	Eski edebiyatı derinlemesine inceliyor.
钻石	elmas	Yüzüğe bir elmas yerleştirilmiş.
嘴唇	dudak	Soğuk rüzgar dudakları çatlattı.
罪犯	suçlu	Polis kaçan suçluyu yakaladı.
尊严	onur; saygınlık	Herkesin onuru olmalıdır.
遵循	uymak; izlemek	Doktorlar sıkı standartlara uyar.
作弊	kopya çekmek; hile yapmak	Sınavda kopya çekmek cezalandırılır.
作废	geçersiz olmak; iptal etmek	Eski bilet artık geçersiz.
作风	çalışma tarzı; üslup	Liderin çalışma tarzı pratiktir.
作息	çalışma ve dinlenme düzeni	Düzenli çalışma ve dinlenme düzeni sağlığa yararlıdır.
做主	karar vermek; söz sahibi olmak	Bu konuda kararı sen ver.
座右铭	özdeyiş; motto	Onun mottosu asla vazgeçmemektir.
