simplified	KN	example_KN
忍不住	ತಡೆಯಲಾಗದೆ; ತಾಳಲಾರದೆ	ಹಾಸ್ಯ ಕೇಳಿ ಅವನು ನಗುವುದನ್ನು ತಡೆಯಲಿಲ್ಲ.
日常	ದೈನಂದಿನ	ಇದು ನನ್ನ ದೈನಂದಿನ ಕೆಲಸ.
日程	ಕಾರ್ಯಕ್ರಮ ಪಟ್ಟಿ; ವೇಳಾಪಟ್ಟಿ	ಇಂದಿನ ವೇಳಾಪಟ್ಟಿ ತುಂಬಾ ತುಂಬಿದೆ.
日历	ಕ್ಯಾಲೆಂಡರ್	ಗೋಡೆಯ ಮೇಲೆ ಒಂದು ಕ್ಯಾಲೆಂಡರ್ ನೇತಾಡುತ್ತಿದೆ.
日期	ದಿನಾಂಕ	ದಯವಿಟ್ಟು ದಿನಾಂಕವನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಬರೆಯಿರಿ.
日用品	ದೈನಂದಿನ ಬಳಕೆಯ ವಸ್ತುಗಳು	ಸೂಪರ್ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಅನೇಕ ದೈನಂದಿನ ಬಳಕೆಯ ವಸ್ತುಗಳನ್ನು ಮಾರುತ್ತಾರೆ.
日子	ದಿನಗಳು; ಕಾಲ	ಈ ದಿನಗಳಲ್ಲಿ ಅವನು ತುಂಬಾ ಬ್ಯುಸಿಯಾಗಿದ್ದಾನೆ.
如何	ಹೇಗೆ	ಈ ಸಮಸ್ಯೆಯನ್ನು ನಾವು ಹೇಗೆ ಪರಿಹರಿಸಬೇಕು?
如今	ಈಗ; ಇಂದಿನ ದಿನಗಳಲ್ಲಿ	ಇಂದಿನ ದಿನಗಳಲ್ಲಿ ಸಾರಿಗೆ ತುಂಬಾ ಸೌಕರ್ಯಕರವಾಗಿದೆ.
软	ಮೃದುವಾದ	ಈ ಹಾಸಿಗೆ ತುಂಬಾ ಮೃದುವಾಗಿದೆ.
软件	ಸಾಫ್ಟ್‌ವೇರ್	ಈ ಸಾಫ್ಟ್‌ವೇರ್ ಬಳಸಲು ಸುಲಭ.
弱	ದುರ್ಬಲ	ಅವನ ದೇಹ ತುಸು ದುರ್ಬಲವಾಗಿದೆ.
洒	ಸುರಿಯುವುದು; ಚೆಲ್ಲುವುದು	ಅವನು ತಪ್ಪಾಗಿ ನೀರನ್ನು ಚೆಲ್ಲಿದನು.
嗓子	ಗಂಟಲು; ಧ್ವನಿ	ನನ್ನ ಗಂಟಲು ಸ್ವಲ್ಪ ನೋಯುತ್ತಿದೆ.
色彩	ಬಣ್ಣ; ವರ್ಣ	ಈ ಚಿತ್ರದಲ್ಲಿ ಬಣ್ಣಗಳು ಸಮೃದ್ಧವಾಗಿವೆ.
杀	ಕೊಲ್ಲುವುದು	ಈ ಚಿತ್ರದಲ್ಲಿ ಕೊಲೆ ದೃಶ್ಯಗಳಿಲ್ಲ.
沙漠	ಮರುಭೂಮಿ	ಮರುಭೂಮಿಯಲ್ಲಿ ನೀರು ತುಂಬಾ ಅಮೂಲ್ಯ.
沙滩	ಮರಳು ತೀರ; ಕಡಲತೀರ	ಮಕ್ಕಳು ಕಡಲತೀರದಲ್ಲಿ ಆಟ ಆಡುತ್ತಿದ್ದಾರೆ.
傻	ಮೂರ್ಖ; ಅಜ್ಞಾನಿ	ಮೂರ್ಖತನದ ಕೆಲಸ ಮಾಡಬೇಡಿ.
晒	ಸೂರ್ಯನಲ್ಲಿ ಒಣಗಿಸುವುದು	ಬಟ್ಟೆಗಳು ಬಾಲ್ಕನಿಯಲ್ಲಿ ಸೂರ್ಯನಲ್ಲಿ ಒಣಗುತ್ತಿವೆ.
删除	ಅಳಿಸುವುದು	ದಯವಿಟ್ಟು ಈ ಇಮೇಲ್ ಅನ್ನು ಅಳಿಸಿ.
闪电	ಮಿಂಚು	ರಾತ್ರಿ ಮಿಂಚು ಕಾಣಿಸಿತು.
善良	ದಯಾಳು; ಒಳ್ಳೆಯ ಮನಸ್ಸಿನ	ಅವಳು ದಯಾಳು ವ್ಯಕ್ತಿ.
善于	ನಿಪುಣ; ಚೆನ್ನಾಗಿ ಬಲ್ಲ	ಅವನು ಸಮಸ್ಯೆಗಳನ್ನು ಪರಿಹರಿಸುವಲ್ಲಿ ನಿಪುಣ.
扇子	ವಿಸಣಿ	ಬೇಸಿಗೆಯಲ್ಲಿ ನಾನು ಆಗಾಗ ವಿಸಣಿ ಬಳಸುತ್ತೇನೆ.
伤害	ಹಾನಿ ಮಾಡುವುದು; ನೋಯಿಸುವುದು	ಇತರರ ಭಾವನೆಗಳನ್ನು ನೋಯಿಸಬೇಡಿ.
商品	ಸರಕು; ವಸ್ತು	ಈ ಅಂಗಡಿಯಲ್ಲಿ ಅನೇಕ ಸರಕುಗಳಿವೆ.
商务	ವ್ಯವಹಾರ ಸಂಬಂಧಿತ	ಅವನು ನಾಳೆ ವ್ಯವಹಾರ ಸಭೆಗೆ ಹಾಜರಾಗುವನು.
商业	ವಾಣಿಜ್ಯ; ವ್ಯಾಪಾರ	ಈ ಪ್ರದೇಶದಲ್ಲಿ ವಾಣಿಜ್ಯ ಚೆನ್ನಾಗಿ ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.
上当	ಮೋಸಹೋಗುವುದು	ಅವನು ಬಹುತೇಕ ಮೋಸಹೋಗಿದ್ದನು.
蛇	ಹಾವು	ಹುಲ್ಲಿನಲ್ಲಿ ಒಂದು ಹಾವು ಇದೆ.
舍不得	ಬಿಡಲು ಮನಸ್ಸಿಲ್ಲ; ದೂರವಾಗಲು ಕಷ್ಟ	ಈ ಸ್ಥಳವನ್ನು ಬಿಟ್ಟುಹೋಗಲು ನನಗೆ ಮನಸ್ಸಿಲ್ಲ.
射击	ಗುಂಡು ಹಾರಿಸುವುದು; ಶೂಟಿಂಗ್	ಅವನು ಶೂಟಿಂಗ್ ತರಬೇತಿ ಪಡೆಯುತ್ತಿದ್ದಾನೆ.
摄影	ಛಾಯಾಗ್ರಹಣ	ಅವಳಿಗೆ ಛಾಯಾಗ್ರಹಣದಲ್ಲಿ ತುಂಬಾ ಆಸಕ್ತಿ ಇದೆ.
设备	ಸಾಧನಗಳು; ಉಪಕರಣಗಳು	ಪ್ರಯೋಗಾಲಯದ ಸಾಧನಗಳು ಬಹಳ ಮುನ್ನಡೆದಿವೆ.
设计	ವಿನ್ಯಾಸ; ವಿನ್ಯಾಸಗೊಳಿಸುವುದು	ಈ ವಿನ್ಯಾಸ ತುಂಬಾ ಸೃಜನಶೀಲವಾಗಿದೆ.
设施	ಸೌಲಭ್ಯಗಳು	ಶಾಲೆಯ ಕ್ರೀಡಾ ಸೌಲಭ್ಯಗಳು ಚೆನ್ನಾಗಿವೆ.
伸	ಚಾಚುವುದು; ವಿಸ್ತರಿಸುವುದು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಕೈಯನ್ನು ಚಾಚಿ.
深刻	ಆಳವಾದ; ಗಾಢ	ಈ ಅನುಭವ ನನ್ನ ಮೇಲೆ ಆಳವಾದ ಪ್ರಭಾವ ಬಿಟ್ಟಿತು.
身材	ದೇಹಕಟ್ಟು; ಮೈಕಟ್ಟು	ಅವಳ ಮೈಕಟ್ಟು ಆರೋಗ್ಯಕರವಾಗಿದೆ.
身份	ಗುರುತು; ಸ್ಥಾನಮಾನ	ದಯವಿಟ್ಟು ಗುರುತಿನ ಸಾಕ್ಷ್ಯ ತೋರಿಸಿ.
神话	ಪುರಾಣ; ದಂತಕಥೆ	ಮಕ್ಕಳಿಗೆ ಪುರಾಣ ಕಥೆಗಳು ಕೇಳಲು ಇಷ್ಟ.
神秘	ರಹಸ್ಯಮಯ	ಈ ಪ್ರಾಚೀನ ನಗರ ತುಂಬಾ ರಹಸ್ಯಮಯವಾಗಿದೆ.
升	ಏರುವುದು; ಹೆಚ್ಚಿಸುವುದು	ತೈಲದ ಬೆಲೆ ಲೀಟರ್‌ಗೆ ಸ್ವಲ್ಪ ಏರಿತು.
声调	ಸ್ವರ; ಚೀನಿ ಟೋನ್	ಚೀನಿ ಭಾಷೆಯಲ್ಲಿ ನಾಲ್ಕು ಮೂಲ ಸ್ವರಗಳಿವೆ.
生产	ಉತ್ಪಾದಿಸುವುದು	ಈ ಕಾರ್ಖಾನೆ ಮೊಬೈಲ್ ಫೋನ್‌ಗಳನ್ನು ಉತ್ಪಾದಿಸುತ್ತದೆ.
生动	ಜೀವಂತ; ಸ್ಪಷ್ಟ	ಶಿಕ್ಷಕರು ವಿಷಯಗಳನ್ನು ತುಂಬಾ ಜೀವಂತವಾಗಿ ವಿವರಿಸುತ್ತಾರೆ.
生长	ಬೆಳೆಯುವುದು	ಈ ರೀತಿಯ ಸಸ್ಯ ಬೇಗ ಬೆಳೆಯುತ್ತದೆ.
绳子	ಕಯ್ಯಿ; ದಾರಿ	ದಯವಿಟ್ಟು ಪೆಟ್ಟಿಗೆಯನ್ನು ಕಯ್ಯಿಯಿಂದ ಕಟ್ಟಿ.
省略	ಬಿಟ್ಟುಬಿಡುವುದು; ಲೋಪ	ಇಲ್ಲಿ ಒಂದು ಅಕ್ಷರವನ್ನು ಬಿಟ್ಟುಬಿಡಬಹುದು.
胜利	ವಿಜಯ	ಕೊನೆಗೆ ಅವರು ವಿಜಯ ಸಾಧಿಸಿದರು.
失眠	ನಿದ್ರಾಹೀನತೆ	ಇತ್ತೀಚೆಗೆ ಅವನಿಗೆ ಆಗಾಗ ನಿದ್ರಾಹೀನತೆ ಬರುತ್ತಿದೆ.
失去	ಕಳೆದುಕೊಳ್ಳುವುದು	ಆತ್ಮವಿಶ್ವಾಸ ಕಳೆದುಕೊಳ್ಳಬೇಡಿ.
失业	ಉದ್ಯೋಗ ಕಳೆದುಕೊಳ್ಳುವುದು; ನಿರುದ್ಯೋಗ	ಉದ್ಯೋಗ ಕಳೆದುಕೊಂಡ ನಂತರ ಅವನು ಹೊಸ ಕೌಶಲ್ಯಗಳನ್ನು ಕಲಿಯಲು ಪ್ರಾರಂಭಿಸಿದನು.
湿润	ತೇವ; ಒದ್ದೆಯಾದ	ಮಳೆಯ ನಂತರ ಗಾಳಿ ತುಂಬಾ ತೇವವಾಗಿದೆ.
狮子	ಸಿಂಹ	ಮೃಗಾಲಯದಲ್ಲಿ ಎರಡು ಸಿಂಹಗಳಿವೆ.
诗	ಕವಿತೆ	ಅವನು ಒಂದು ಕವಿತೆ ಬರೆದನು.
实话	ನಿಜ ಮಾತು	ದಯವಿಟ್ಟು ನಿಜ ಮಾತು ಹೇಳಿ.
实践	ಅಭ್ಯಾಸ; ಕಾರ್ಯರೂಪಕ್ಕೆ ತರುವುದು	ಸಿದ್ಧಾಂತವನ್ನು ಅಭ್ಯಾಸದ ಮೂಲಕ ಪರೀಕ್ಷಿಸಬೇಕು.
实习	ಇಂಟರ್ನ್‌ಶಿಪ್; ತರಬೇತಿ ಕೆಲಸ	ಅವಳು ಬೇಸಿಗೆ ರಜೆಯಲ್ಲಿ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಇಂಟರ್ನ್‌ಶಿಪ್ ಮಾಡುತ್ತಾಳೆ.
实现	ಸಾಕಾರಗೊಳಿಸುವುದು; ಸಾಧಿಸುವುದು	ಕೊನೆಗೆ ಅವನು ತನ್ನ ಕನಸನ್ನು ಸಾಕಾರಗೊಳಿಸಿದನು.
实验	ಪ್ರಯೋಗ	ವಿದ್ಯಾರ್ಥಿಗಳು ಪ್ರಯೋಗ ಮಾಡುತ್ತಿದ್ದಾರೆ.
实用	ಪ್ರಾಯೋಗಿಕ; ಉಪಯುಕ್ತ	ಈ ಉಪಕರಣ ತುಂಬಾ ಉಪಯುಕ್ತವಾಗಿದೆ.
时差	ಸಮಯ ವ್ಯತ್ಯಾಸ	ಅವನು ಇನ್ನೂ ಸಮಯ ವ್ಯತ್ಯಾಸಕ್ಕೆ ಹೊಂದಿಕೊಂಡಿಲ್ಲ.
时代	ಯುಗ; ಕಾಲ	ನಾವು ಮಾಹಿತಿ ಯುಗದಲ್ಲಿ ಬದುಕುತ್ತಿದ್ದೇವೆ.
时刻	ಕ್ಷಣ; ಯಾವಾಗಲೂ	ದಯವಿಟ್ಟು ಈ ಮಹತ್ವದ ಕ್ಷಣವನ್ನು ನೆನಪಿಡಿ.
时髦	ಫ್ಯಾಷನ್‌ನ; ಆಧುನಿಕ	ಈ ಬಟ್ಟೆ ತುಂಬಾ ಫ್ಯಾಷನ್‌ನಾಗಿದೆ.
时期	ಅವಧಿ; ಕಾಲಘಟ್ಟ	ಅವನ ವಿಶ್ವವಿದ್ಯಾಲಯದ ಅವಧಿ ಅವನ ಮೇಲೆ ದೊಡ್ಡ ಪ್ರಭಾವ ಬೀರಿತು.
时尚	ಫ್ಯಾಷನ್	ಅವಳಿಗೆ ಫ್ಯಾಷನ್‌ನಲ್ಲಿ ತುಂಬಾ ಆಸಕ್ತಿ ಇದೆ.
石头	ಕಲ್ಲು	ರಸ್ತೆಯ ಪಕ್ಕದಲ್ಲಿ ಒಂದು ಕಲ್ಲು ಇದೆ.
食物	ಆಹಾರ	ದಯವಿಟ್ಟು ಆಹಾರವನ್ನು ಫ್ರಿಜ್‌ಗೆ ಇಡಿ.
使劲儿	ಪೂರ್ಣ ಶಕ್ತಿ ಹಾಕುವುದು	ಈ ಬಾಟಲಿಯನ್ನು ತೆರೆಯಲು ಸ್ವಲ್ಪ ಶಕ್ತಿ ಹಾಕಬೇಕು.
始终	ಆರಂಭದಿಂದ ಅಂತ್ಯವರೆಗೆ; ಸದಾ	ಅವನು ಸದಾ ತಾನು ಯಶಸ್ವಿಯಾಗಬಹುದು ಎಂದು ನಂಬುತ್ತಿದ್ದನು.
事实	ಸತ್ಯ; ವಾಸ್ತವ	ವಾಸ್ತವಗಳು ಅವನು ಸರಿಯೆಂದು ಸಾಬೀತುಪಡಿಸುತ್ತವೆ.
事物	ವಸ್ತು; ವಿಷಯ	ಮಕ್ಕಳು ಹೊಸ ವಿಷಯಗಳ ಬಗ್ಗೆ ತುಂಬಾ ಕುತೂಹಲದಿಂದಿರುತ್ತಾರೆ.
事先	ಮುಂಚಿತವಾಗಿ	ದಯವಿಟ್ಟು ಸಮಯವನ್ನು ನನಗೆ ಮುಂಚಿತವಾಗಿ ತಿಳಿಸಿ.
似的	ಹಾಗೆ; ಇದ್ದಂತೆ	ಅವನು ಒಂದು ಮಾತು ಹೇಳಲು ಮನಸ್ಸಿಲ್ಲದಷ್ಟು ದಣಿದಂತೆ ಕಾಣುತ್ತಿದ್ದ.
士兵	ಸೈನಿಕ	ಸೈನಿಕರು ತರಬೇತಿ ಪಡೆಯುತ್ತಿದ್ದಾರೆ.
市场	ಮಾರುಕಟ್ಟೆ	ಈ ಮಾರುಕಟ್ಟೆ ತುಂಬಾ ಚಟುವಟಿಕೆಯಿಂದಿದೆ.
试卷	ಪರೀಕ್ಷಾ ಪತ್ರಿಕೆ	ಶಿಕ್ಷಕರು ಪರೀಕ್ಷಾ ಪತ್ರಿಕೆಗಳನ್ನು ಮೌಲ್ಯಮಾಪನ ಮಾಡುತ್ತಿದ್ದಾರೆ.
收获	ಲಾಭ; ಫಲ	ಈ ಪ್ರಯಾಣದಿಂದ ನಾನು ಬಹಳಷ್ಟು ಕಲಿತೆ.
收据	ರಸೀದಿ	ಹಣ ಪಾವತಿಸಿದ ನಂತರ ದಯವಿಟ್ಟು ರಸೀದಿಯನ್ನು ಉಳಿಸಿಕೊಳ್ಳಿ.
手工	ಕೈಕೆಲಸ; ಕೈಯಿಂದ ಮಾಡಿದ	ಈ ಉಡುಗೊರೆ ಕೈಯಿಂದ ಮಾಡಲಾಗಿದೆ.
手术	ಶಸ್ತ್ರಚಿಕಿತ್ಸೆ	ವೈದ್ಯರು ನಾಳೆ ಅವನಿಗೆ ಶಸ್ತ್ರಚಿಕಿತ್ಸೆ ಮಾಡುತ್ತಾರೆ.
手套	ಕೈಗವಸು	ಚಳಿಗಾಲದಲ್ಲಿ ಹೊರಗೆ ಹೋಗುವಾಗ ಕೈಗವಸು ಧರಿಸಿ.
手续	ಕ್ರಮಪತ್ರಿಕೆಗಳು; ಪ್ರಕ್ರಿಯೆಗಳು	ಪ್ರಕ್ರಿಯೆಗಳನ್ನು ಮುಗಿಸಲು ಗುರುತಿನ ಚೀಟಿ ಬೇಕು.
手指	ಬೆರಳು	ಅವನ ಬೆರಳಿಗೆ ಗಾಯವಾಗಿದೆ.
首	ಹಾಡಿಗೆ ಎಣಿಕೆಪದ; ಮೊದಲ	ಅವಳು ಒಂದು ಹಾಡು ಹಾಡಿದಳು.
受伤	ಗಾಯಗೊಳ್ಳುವುದು	ಪಂದ್ಯದ ವೇಳೆ ಅವನು ಗಾಯಗೊಂಡನು.
寿命	ಆಯುಷ್ಯ; ಸೇವಾ ಅವಧಿ	ಈ ರೀತಿಯ ಯಂತ್ರದ ಸೇವಾ ಅವಧಿ ದೀರ್ಘವಾಗಿದೆ.
书架	ಪುಸ್ತಕದ ತೆಕ್ಕೆ	ಪುಸ್ತಕದ ತೆಕ್ಕೆ ಪುಸ್ತಕಗಳಿಂದ ತುಂಬಿದೆ.
梳子	ಕಂಗಿ	ಅವಳು ಕಂಗಿಯಿಂದ ಕೂದಲು ಸರಿಪಡಿಸುತ್ತಾಳೆ.
舒适	ಆರಾಮದಾಯಕ	ಈ ಕೊಠಡಿ ತುಂಬಾ ಆರಾಮದಾಯಕವಾಗಿದೆ.
蔬菜	ತರಕಾರಿಗಳು	ಹೆಚ್ಚು ತರಕಾರಿ ತಿನ್ನುವುದು ಆರೋಗ್ಯಕ್ಕೆ ಒಳ್ಳೆಯದು.
输入	ನಮೂದಿಸುವುದು; ಇನ್‌ಪುಟ್ ಮಾಡುವುದು	ದಯವಿಟ್ಟು ಪಾಸ್‌ವರ್ಡ್ ಅನ್ನು ಕಂಪ್ಯೂಟರ್‌ಗೆ ನಮೂದಿಸಿ.
熟练	ಪಟು; ನಿಪುಣ	ಅವನು ಕಂಪ್ಯೂಟರ್ ಅನ್ನು ಪಟುವಾಗಿ ಬಳಸಬಲ್ಲನು.
属于	ಸೇರಿರುವುದು	ಈ ಪುಸ್ತಕ ಗ್ರಂಥಾಲಯಕ್ಕೆ ಸೇರಿದೆ.
数	ಎಣಿಸುವುದು; ಸಂಖ್ಯೆ	ದಯವಿಟ್ಟು ಎಷ್ಟು ಜನರಿದ್ದಾರೆ ಎಂದು ಎಣಿಸಿ.
鼠标	ಮೌಸ್	ನನ್ನ ಕಂಪ್ಯೂಟರ್ ಮೌಸ್ ಕೆಟ್ಟಿದೆ.
数据	ಡೇಟಾ	ಈ ಡೇಟಾ ತುಂಬಾ ಮುಖ್ಯ.
数码	ಡಿಜಿಟಲ್	ಅವನು ಡಿಜಿಟಲ್ ಕ್ಯಾಮೆರಾ ಕೊಂಡನು.
摔倒	ಬಿದ್ದುಹೋಗುವುದು	ಅವಳು ರಸ್ತೆಯಲ್ಲಿ ಬಿದ್ದುಹೋದಳು.
甩	ಝಾಡಿಸುವುದು; ಬೀಸುವುದು	ಅವನು ಕೈಯಲ್ಲಿದ್ದ ನೀರನ್ನು ಝಾಡಿಸಿದನು.
双方	ಎರಡೂ ಪಕ್ಷಗಳು	ಎರಡೂ ಪಕ್ಷಗಳು ಈ ಯೋಜನೆಗೆ ಒಪ್ಪಿಕೊಂಡವು.
税	ತೆರಿಗೆ	ವಸ್ತುಗಳನ್ನು ಖರೀದಿಸುವಾಗ ತೆರಿಗೆ ಪಾವತಿಸಬೇಕು.
说不定	ಹೇಳಲಾಗದು; ಬಹುಶಃ	ನಾಳೆ ಬಹುಶಃ ಹಿಮ ಬೀಳಬಹುದು.
说服	ಮನವೊಲಿಸುವುದು	ಕೊನೆಗೆ ಅವನು ತನ್ನ ಪೋಷಕರನ್ನು ಮನವೊಲಿಸಿದನು.
丝绸	ರೇಷ್ಮೆ	ಈ ದುಪಟ್ಟಾ ರೇಷ್ಮೆಯಿಂದ ಮಾಡಲಾಗಿದೆ.
丝毫	ಸ್ವಲ್ಪವೂ	ಅವನು ತನ್ನ ಮನಸ್ಸನ್ನು ಸ್ವಲ್ಪವೂ ಬದಲಿಸಲಿಲ್ಲ.
思考	ಆಲೋಚಿಸುವುದು; ಚಿಂತಿಸುವುದು	ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಎಚ್ಚರಿಕೆಯಿಂದ ಆಲೋಚಿಸಿ.
思想	ಚಿಂತನೆ; ವಿಚಾರ	ಅವನ ಚಿಂತನೆ ತುಂಬಾ ಮುಕ್ತವಾಗಿದೆ.
撕	ಹರಿಯುವುದು; ಕೀಳುವುದು	ದಯವಿಟ್ಟು ಈ ಕಾಗದವನ್ನು ಹರಿಯಬೇಡಿ.
私人	ಖಾಸಗಿ	ಇದು ನನ್ನ ಖಾಸಗಿ ಜಾಗ.
似乎	ಹಾಗೆ ಕಾಣುವುದು	ಅವನು ಹೆಚ್ಚು ಸಂತೋಷವಾಗಿಲ್ಲದಂತೆ ಕಾಣುತ್ತಾನೆ.
搜索	ಹುಡುಕುವುದು; ಶೋಧಿಸುವುದು	ನಾನು ಇಂಟರ್ನೆಟ್‌ನಲ್ಲಿ ಸಾಮಗ್ರಿಗಳನ್ನು ಹುಡುಕಿದೆ.
宿舍	ವಿದ್ಯಾರ್ಥಿನಿಲಯ; ವಸತಿ ಕೊಠಡಿ	ವಿದ್ಯಾರ್ಥಿಗಳು ಶಾಲೆಯ ವಿದ್ಯಾರ್ಥಿನಿಲಯದಲ್ಲಿ ವಾಸಿಸುತ್ತಾರೆ.
随身	ತನ್ನ ಜೊತೆ ಇಟ್ಟುಕೊಳ್ಳುವುದು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪಾಸ್‌ಪೋರ್ಟ್ ಅನ್ನು ನಿಮ್ಮ ಜೊತೆ ಇಟ್ಟುಕೊಳ್ಳಿ.
随时	ಯಾವಾಗ ಬೇಕಾದರೂ	ನೀವು ನನಗೆ ಯಾವಾಗ ಬೇಕಾದರೂ ಕರೆ ಮಾಡಬಹುದು.
随手	ಹೋಗುವಾಗಲೇ; ಸೌಲಭ್ಯವಾಗಿ	ಹೊರಡುವಾಗ ದಯವಿಟ್ಟು ಬಾಗಿಲನ್ನು ಮುಚ್ಚಿ.
碎	ಒಡೆಯುವುದು; ತುಂಡಾಗುವುದು	ಕಪ್ ನೆಲಕ್ಕೆ ಬಿದ್ದು ಒಡೆದುಹೋಯಿತು.
损失	ನಷ್ಟ	ಈ ಅಪಘಾತವು ದೊಡ್ಡ ನಷ್ಟವನ್ನು ಉಂಟುಮಾಡಿತು.
缩短	ಕಡಿಮೆ ಮಾಡುವುದು; ಸಂಕ್ಷಿಪ್ತಗೊಳಿಸುವುದು	ಹೊಸ ಮಾರ್ಗ ಪ್ರಯಾಣವನ್ನು ಕಡಿಮೆ ಮಾಡಿತು.
所	ಸ್ಥಳಕ್ಕೆ ಎಣಿಕೆಪದ; ಸಂಸ್ಥೆ	ಈ ಶಾಲೆ ತುಂಬಾ ಪ್ರಸಿದ್ಧ.
锁	ತಾಳೆ ಹಾಕುವುದು	ಹೊರಗೆ ಹೋಗುವ ಮೊದಲು ದಯವಿಟ್ಟು ಬಾಗಿಲಿಗೆ ತಾಳೆ ಹಾಕಿ.
台阶	ಮೆಟ್ಟಿಲು	ವೃದ್ಧರು ನಿಧಾನವಾಗಿ ಮೆಟ್ಟಿಲು ಏರಿದರು.
太极拳	ತೈಚಿ	ಉದ್ಯಾನದಲ್ಲಿ ಕೆಲವರು ತೈಚಿ ಅಭ್ಯಾಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.
太太	ಮಿಸೆಸ್; ಹೆಂಡತಿ	ಮಿಸೆಸ್ ವಾಂಗ್ ಅಡುಗೆ ಮಾಡುತ್ತಿದ್ದಾರೆ.
谈判	ಚರ್ಚೆ; ಮಾತುಕತೆ	ಎರಡೂ ಪಕ್ಷಗಳು ಮಾತುಕತೆ ನಡೆಸುತ್ತಿವೆ.
坦率	ನೇರ; ಮುಕ್ತ	ಅವನು ತನ್ನ ಆಲೋಚನೆಗಳನ್ನು ನೇರವಾಗಿ ವ್ಯಕ್ತಪಡಿಸಿದನು.
烫	ಬಿಸಿ; ಸುಡುವಷ್ಟು ಬಿಸಿ	ಈ ಚಹಾ ಕಪ್ ತುಂಬಾ ಬಿಸಿ.
桃	ಪೀಚ್ ಹಣ್ಣು	ಮರದಲ್ಲಿ ಅನೇಕ ಪೀಚ್ ಹಣ್ಣುಗಳು ಬೆಳೆದಿವೆ.
淘气	ಕುಟಿಲ; ಅಬ್ಬರದ	ಈ ಮಗು ಸ್ವಲ್ಪ ಅಬ್ಬರದಾಗಿದೆ.
逃	ಓಡಿಹೋಗುವುದು; ತಪ್ಪಿಸಿಕೊಳ್ಳುವುದು	ನಾಯಿ ಮರಿ ಅಂಗಳದಿಂದ ಓಡಿಹೋಯಿತು.
逃避	ತಪ್ಪಿಸಿಕೊಳ್ಳುವುದು; ಜವಾಬ್ದಾರಿ ತಪ್ಪಿಸುವುದು	ಜವಾಬ್ದಾರಿಯಿಂದ ತಪ್ಪಿಸಿಕೊಳ್ಳಬೇಡಿ.
讨价还价	ಬೆಲೆಪೆಚ್ಚು ಮಾಡುವುದು	ಖರೀದಿಸುವಾಗ ಅವನಿಗೆ ಬೆಲೆಪೆಚ್ಚು ಮಾಡುವುದು ಇಷ್ಟ.
套	ಸೆಟ್; ಹೊದಿಕೆ	ಅವನು ಹೊಸ ಬಟ್ಟೆಗಳ ಒಂದು ಸೆಟ್ ಕೊಂಡನು.
特色	ವಿಶಿಷ್ಟತೆ; ಲಕ್ಷಣ	ಈ ಊಟಮನೆಗೆ ಸ್ಥಳೀಯ ವಿಶಿಷ್ಟತೆಗಳಿವೆ.
特殊	ವಿಶೇಷ	ಇಂದು ಒಂದು ವಿಶೇಷ ದಿನ.
特征	ಲಕ್ಷಣ; ವಿಶಿಷ್ಟ ಗುರುತು	ಈ ರೀತಿಯ ಪ್ರಾಣಿಗೆ ಸ್ಪಷ್ಟ ಲಕ್ಷಣಗಳಿವೆ.
疼爱	ಅತಿಯಾಗಿ ಪ್ರೀತಿಸುವುದು	ಅಜ್ಜ ಅಜ್ಜಿಯವರು ಮಗುವನ್ನು ತುಂಬಾ ಪ್ರೀತಿಸುತ್ತಾರೆ.
提倡	ಪ್ರೋತ್ಸಾಹಿಸುವುದು; ಬೆಂಬಲಿಸುವುದು	ಶಾಲೆ ನೀರು ಉಳಿಸುವುದನ್ನು ಪ್ರೋತ್ಸಾಹಿಸುತ್ತದೆ.
提纲	ರೂಪರೇಖೆ; ಅವಲೋಕನ	ಲೇಖನ ಬರೆಯುವ ಮೊದಲು ರೂಪರೇಖೆ ತಯಾರಿಸಿ.
提问	ಪ್ರಶ್ನೆ ಕೇಳುವುದು	ವಿದ್ಯಾರ್ಥಿಗಳು ಯಾವಾಗ ಬೇಕಾದರೂ ಪ್ರಶ್ನೆ ಕೇಳಬಹುದು.
题目	ಪ್ರಶ್ನೆ; ಶೀರ್ಷಿಕೆ	ಈ ಪ್ರಶ್ನೆ ತುಂಬಾ ಕಷ್ಟವಲ್ಲ.
体会	ಅನುಭವದಿಂದ ಅರಿವು; ಮನಗಾಣಿಕೆ	ಪ್ರಯಾಣದ ಮೂಲಕ ನನಗೆ ಹೊಸ ಅರಿವು ಸಿಕ್ಕಿತು.
体贴	ಕಾಳಜಿಯುಳ್ಳ; ಪರಿಗಣಿಸುವ	ಅವನು ತನ್ನ ಕುಟುಂಬದವರ ಕಡೆ ತುಂಬಾ ಕಾಳಜಿಯುಳ್ಳವನು.
