simplified	KK	example_KK
贪婪	ашкөздік	Ашкөздік адамды құртады.
贪污	жемқорлық	Шенеунік жемқорлық үшін тергелді.
弹性	серпімділік	Бұл материалдың серпімділігі жақсы.
坦白	мойындау	Ол ақыры шындықты мойындады.
叹气	күрсіну	Нәтижені естігенде ол еріксіз күрсінді.
探测	анықтау	Құрылғы жер асты суын анықтай алады.
探索	зерттеу	Ғалымдар ғаламды зерттеуді жалғастыруда.
探讨	талқылау	Мамандар реформа жоспарын талқылады.
探望	халін сұрау	Демалыста мен ауруханаға досымның халін сұрауға бардым.
倘若	егер	Егер жаңбыр жауса, шара кейінге қалады.
掏	суырып алу	Ол қалтасынан кілтті суырып алды.
滔滔不绝	тоқтаусыз сөйлеу	Ол тарих туралы айтса, тоқтаусыз сөйлейді.
淘汰	шығарып тастау	Бұл команда жарыстан ерте шығарылып тасталды.
陶瓷	қыш бұйым	Бұл қала қыш бұйымдарымен танымал.
陶醉	еліту	Көрермендер музыкаға елітіп қалды.
讨好	жағыну	Ол басшысына әдейі жағынғысы келмейді.
特长	ерекше қабілет	Сурет салу оның ерекше қабілеті.
特定	белгілі	Өтінішті белгілі уақыт ішінде тапсырыңыз.
特意	арнайы	Мен саған алғыс айту үшін арнайы келдім.
提拔	қызметін көтеру	Компания оны бөлім басшысы етіп қызметін көтерді.
提炼	айырып алу	Зауыт кеннен металл айырып алады.
提示	ескерту	Жүйе құпиясөз енгізуді ескертеді.
提议	ұсыну	Ол талқылауды ертең жалғастыруды ұсынды.
题材	тақырып	Бұл фильмнің тақырыбы тың.
体裁	жанр	Роман мен өлең екі түрлі жанр.
体积	көлем	Бұл қораптың көлемі үлкен.
体谅	түсіністік таныту	Оның қиындығына түсіністік танытыңыз.
体面	лайықты	Ол лайықты жұмыс тапқысы келеді.
体系	жүйе	Компания толық оқыту жүйесін құрды.
天才	данышпан	Бұл бала музыка данышпаны деп саналады.
天赋	туа біткен қабілет	Оның тіл үйренуге туа біткен қабілеті бар.
天伦之乐	отбасылық бақыт	Қарт адам отбасылық бақыттың рақатын көріп отыр.
天然气	табиғи газ	Қала тұрғындары тамақ пісіруге табиғи газ пайдаланады.
天生	табиғынан	Ол табиғатынан өте оптимист.
天堂	жұмақ	Бұл жер жердегі жұмаққа ұқсайды.
天文	астрономия	Ол бала кезінен астрономияны ұнатады.
田径	жеңіл атлетика	Мектепте жеңіл атлетика жарысы өтті.
田野	дала	Көктемгі дала жап-жасыл болды.
舔	жалау	Күшік иесінің қолын жалады.
挑剔	талғампаз	Ол тағамға өте талғампаз.
条款	тармақ	Келісімшарт тармақтарын мұқият оқу керек.
条理	жүйелілік	Оның сөзі өте жүйелі болды.
条约	шарт	Екі ел бейбітшілік шартын жасасты.
调和	үйлесу	Бұл екі түс жақсы үйлеседі.
调剂	теңгеру	Спорт шиеленісті өмірді теңгеруге көмектеседі.
调节	реттеу	Кондиционер бөлме температурасын реттей алады.
调解	бітімге келтіру	Қауымдастық қызметкерлері екі тарапты бітімге келтіруге көмектесті.
调料	дәмдеуіш	Сорпаға аздап дәмдеуіш қосу керек.
挑拨	іріткі салу	Әріптестердің арасына іріткі салма.
挑衅	арандату	Мұндай сөзде айқын арандату бар.
跳跃	секіру	Спортшы қатарынан үш рет секірді.
