simplified	UZ	example_UZ
正规	standart	Bola standart maktabda o'qishni boshladi.
正经	jiddiy	U nihoyat jiddiy gapira boshladi.
正气	adolat ruhi	Jamiyat adolat ruhini yuksaltirishi kerak.
正义	adolat	Yurist adolatni himoya qildi.
正宗	haqiqiy	Bu oshxona haqiqiy Sichuan taomini sotadi.
症状	alomat	Isitma keng tarqalgan alomat.
证实	tasdiqlamoq	Tergov uning gapini tasdiqladi.
证书	sertifikat	U kasbiy sertifikat oldi.
郑重	jiddiy	U mas'uliyatni olishga jiddiy va'da berdi.
之际	paytida	Bahor bayrami yaqinlashgan paytda hamma band.
支撑	suyab turmoq	Ustunlar tomni suyab turadi.
支出	xarajat	Oila xarajati aniq oshdi.
支流	irmoq	Bu daryo Yangszi daryosining irmog'i.
支配	boshqarmoq	Hissiyot hukmni boshqarmasligi kerak.
支援	yordamga kelmoq	Turli joylardan shifokorlar yordamga keldi.
支柱	tayanch	Ishlab chiqarish mahalliy iqtisodiyotning tayanchidir.
枝	shox	U bitta gul shoxini sindirib oldi.
知觉	hush	Jarohatlangan odam asta-sekin hushiga keldi.
知足常乐	boriga shukur qilmoq	Keksa odam boriga shukur qilish baxt keltiradi deydi.
脂肪	yog' moddasi	Yong'oqlarda foydali yog' moddasi bor.
侄子	jiyan	Mening jiyanim bu yil boshlang'ich maktabga bordi.
值班	navbatchilik qilmoq	Hamshira bugun kechasi navbatchilik qiladi.
执行	ijro etmoq	Sud hukmni ijro etdi.
执着	qat'iyatli	U orzusiga juda qat'iyatli.
殖民地	mustamlaka	Bu orol bir vaqtlar mustamlaka bo'lgan.
直播	jonli efir	O'yin bugun kechqurun internetda jonli efirga uzatiladi.
直径	diametr	Bu doiraning diametri o'n santimetr.
职能	vazifa	Bo'lim vazifalarini qayta taqsimlash kerak.
职位	lavozim	U boshqaruv lavozimiga ariza berdi.
职务	xizmat vazifasi	Uning xizmat vazifasi loyiha rahbari.
指标	ko'rsatkich	Savdo ko'rsatkichi bajarildi.
指定	tayinlamoq	O'qituvchi uni savolga javob berishga tayinladi.
指甲	tirnoq	U tirnoqlarini qisqa qilib oldi.
指令	buyruq	Kompyuter yangi buyruq oldi.
指南针	kompas	Alpinist kompas olib keldi.
指示	ko'rsatma	Menejer aniq ko'rsatma berdi.
指望	umid qilmoq	Buni sening o'rningga boshqalar tugatishidan umid qilma.
指责	tanqid qilmoq	Jamoatchilik korxonani atrof-muhitni ifloslantirgani uchun tanqid qildi.
制裁	jazo chorasi	Xalqaro hamjamiyat iqtisodiy jazo chorasi qo'lladi.
制服	forma	Qo'riqchi to'q ko'k forma kiygan edi.
制约	cheklamoq	Mablag' yetishmasligi rivojlanishni cheklaydi.
制止	to'xtatmoq	Politsiya mojaroni vaqtida to'xtatdi.
志气	g'ayrat	Yoshlar g'ayratli bo'lishi kerak.
智力	aql-zakovat	O'yin aql-zakovatni mashq qildiradi.
智能	aqlli	Aqlli qurilmalar tobora keng tarqalmoqda.
智商	aql ko'rsatkichi	Aql ko'rsatkichi hamma narsani belgilamaydi.
治安	jamoat xavfsizligi	Mahallada jamoat xavfsizligi aniq yaxshilandi.
治理	boshqaruv	Hukumat daryo boshqaruvini kuchaytirdi.
滞留	ushlanib qolmoq	Yo'lovchilar qalin qor sabab aeroportda ushlanib qoldi.
致辞	nutq so'zlamoq	Maktab direktori marosimda nutq so'zladi.
致力	o'zini bag'ishlamoq	Jamoa texnologik yangilikka o'zini bag'ishlagan.
致使	sabab bo'lmoq	Boshqaruv xatosi loyiha kechikishiga sabab bo'ldi.
中断	uzilish	Kuchli yomg'ir aloqa uzilishiga sabab bo'ldi.
中立	betaraf	Bu mamlakat betaraf pozitsiyani saqlaydi.
中央	markaz	Favvora maydon markazida joylashgan.
忠诚	sodiq	Xodimlar kompaniyaga sodiq.
忠实	sodiq	U bu gazetaning sodiq o'quvchisi.
终点	marra	Marra oldinda turibdi.
终究	oxir-oqibat	Muammo oxir-oqibat hal bo'ladi.
终身	umr bo'yi	U umr bo'yi ta'lim sohasida ishlashga qaror qildi.
终止	tugatmoq	Shartnoma kelasi oy oxirida tugaydi.
衷心	chin dildan	Yordamingiz uchun chin dildan rahmat aytaman.
种子	urug'	Dehqonlar yangi urug' sepdi.
种族	irq	Qonun irqiy kamsitishni taqiqlaydi.
肿瘤	o'sma	Shifokor yaxshi sifatli o'sma topdi.
众所周知	hammaga ma'lum	Hammaga ma'lumki, suv muhim.
种植	ekmoq	Bu yer uzum ekishga mos.
重心	diqqat markazi	Ishning diqqat markazi xizmatga o'tdi.
周边	atrof	Maktab atrofida transport tirband.
周密	puxta	Ular puxta reja tuzdi.
周年	yillik sana	Kompaniya tashkil topganining o'n yillik sanasini nishonladi.
周期	davr	Mahsulot yangilanish davri qisqardi.
周折	murakkablik	Hujjatlarni rasmiylashtirishda ko'p murakkablik bo'ldi.
周转	mablag' aylanishi	Kompaniya mablag' aylanishida qiyinchilikka duch keldi.
州	shtat	U AQShning Kaliforniya shtatida yashaydi.
粥	bo'tqa	Bemor ertalab bo'tqa ichdi.
舟	qayiq	Kichik qayiq asta-sekin qirg'oqqa yaqinlashdi.
昼夜	kecha-kunduz	Ishchilar yo'lni kecha-kunduz tuzatdi.
皱纹	ajin	Buvimning yuzida ko'p ajin bor.
株	tup	Hovlida uch tup daraxt ekilgan.
诸位	barchangiz	Bugun kelganingiz uchun barchangizga rahmat.
逐年	yildan yilga	Operatsion xarajatlar yildan yilga oshmoqda.
主办	tashkil qilmoq	Maktab san'at festivalini tashkil qildi.
主导	yetakchilik qilmoq	Bozor talabi mahsulot dizayniga yetakchilik qiladi.
主管	mas'ul rahbar	Mas'ul rahbar budjetni tasdiqlash uchun javobgar.
主流	asosiy oqim	Ekologik g'oyalar asosiy oqimga aylandi.
主权	suverenitet	Davlat suvereniteti hurmat qilinishi kerak.
主义	ta'limot	U turli siyosiy ta'limotlarni o'rganadi.
嘱咐	tayinlab aytmoq	Onasi unga soyabon olishni qayta-qayta tayinlab aytdi.
拄	suyanib yurmoq	Keksa odam hassaga suyanib yuradi.
住宅	turar joy	Bu hudud asosan turar joylardan iborat.
助理	yordamchi	Yordamchi yig'ilish materiallarini tartibga soldi.
助手	ko'makchi	Robot laboratoriya ko'makchisi.
注射	ukol qilmoq	Shifokor bemorga dori ukol qildi.
注视	tikilib qaramoq	U uzoqqa tikilib qaradi.
注释	izoh	Matn yonida batafsil izohlar bor.
注重	e'tibor qaratmoq	Kompaniya mahsulot sifatiga e'tibor qaratadi.
著作	asar	Bu asarning ta'siri uzoqqa boradi.
铸造	quyib yasamoq	Zavod yirik qismlarni quyib yasaydi.
驻扎	joylashtirmoq	Qo'shinlar chegarada joylashtirilgan.
拽	sudramoq	U qutini uy ichiga sudrab kirdi.
专长	mutaxassislik	Ma'lumot tahlili uning mutaxassisligi.
专程	maxsus borib	U o'qituvchini ko'rish uchun maxsus bordi.
专利	ixtiro huquqi	Kompaniya yangi ixtiro huquqi uchun ariza berdi.
专题	maxsus mavzu	Telekanal atrof-muhit haqida maxsus mavzu ko'rsatdi.
砖	g'isht	Ishchilar bir arava g'isht olib keldi.
转达	yetkazmoq	Iltimos, minnatdorchiligimni yetkazing.
转让	o'tkazib bermoq	U do'konni boshqaga o'tkazib berishga qaror qildi.
转移	ko'chirmoq	Hamshira yaradorlarni boshqa joyga ko'chirdi.
转折	burilish	Hikoyada katta burilish paydo bo'ldi.
传记	tarjimai hol	U otasining tarjimai holini yozmoqda.
庄稼	ekin	Yomg'ir ekinlarni oziqlantirdi.
庄严	tantanali	Marosim muhiti tantanali edi.
庄重	viqorli	U viqorli rasmiy kiyim kiygan edi.
装备	jihoz	Jamoa ilg'or jihozlar bilan ta'minlangan.
装卸	yuklash-tushirish	Port ishchilari yuklash-tushirish uchun javobgar.
壮观	haybatli manzara	Sharshara haybatli manzara yaratadi.
壮丽	ulug'vor	Bu yerda ulug'vor tog'lar va daryolar bor.
壮烈	qahramonona	Qahramon qahramonona halok bo'ldi.
幢	bino sanog'i	Ko'cha burchagida bir eski bino bor.
追悼	motam	Odamlar motam marosimida qatnashdi.
追究	javobgarlikni surishtirmoq	Kompaniya javobgarlikni surishtiradi.
坠	tushib ketmoq	Barglar shoxdan tushib ketdi.
准则	mezon	Halollik hamkorlik mezonidir.
卓越	yuksak	U yuksak yutuqlarga erishdi.
琢磨	o'ylab ko'rmoq	U bu masalani qayta-qayta o'ylab ko'rdi.
着手	boshlamoq	Jamoa ertaga tekshiruvni boshlaydi.
着想	hisobga olmoq	Ota-ona doim farzand manfaatini hisobga oladi.
着重	urg'u bermoq	Hisobot xarajat tahliliga urg'u beradi.
姿态	holat	U kamtar holatni saqladi.
滋润	namlamoq	Bahor yomg'iri yerni namladi.
滋味	kechinma	Muvaffaqiyatsizlik kechinmasi og'ir.
资本	kapital	Tadbirkorlikka ma'lum kapital kerak.
资产	aktivlar	Kompaniya aktivlari uzluksiz o'smoqda.
资深	tajribali	Tajribali yurist bu ishni ko'rib chiqdi.
资助	moddiy yordam bermoq	Jamg'arma kambag'al talabalarga moddiy yordam beradi.
子弹	o'q	O'q devorga tegdi.
自卑	o'zini past ko'rmoq	U endi o'zini past ko'rmaydi.
自发	o'z-o'zidan	Aholi ko'chani o'z-o'zidan tozaladi.
自力更生	o'z kuchiga tayanmoq	Qishloq aholisi o'z kuchiga tayanishni davom ettiradi.
自满	o'zidan mamnun	Muvaffaqiyatdan keyin o'zidan mamnun bo'lmaslik kerak.
自主	mustaqil	Talabalar mustaqil o'qish qobiliyatini rivojlantirishi kerak.
宗教	din	U jahon dinlarini o'rganadi.
宗旨	maqsad	Tashkilotning maqsadi mahallaga xizmat qilish.
棕色	jigarrang	U jigarrang charm tufli sotib oldi.
踪迹	iz	Politsiya gumonlanuvchining izini topdi.
总而言之	qisqasi	Qisqasi, rejani amalga oshirish mumkin.
总和	yig'indi	Foyda daromad va xarajatlar yig'indisi farqidir.
纵横	kesishib o'tmoq	Daryolar tekislikda kesishib o'tadi.
走廊	yo'lak	Bolalar yo'lakda navbatga turdi.
走漏	sir chiqmoq	Xabar sir bo'lib chiqib ketmasligi kerak.
走私	kontrabanda qilmoq	Bojxona kontrabanda yuklarini musodara qildi.
揍	do'pposlamoq	Uni bir necha mast odam do'pposladi.
租赁	ijaraga olmoq	Kompaniya yangi ofisni ijaraga oldi.
足以	yetarli	Bu dalillar muammoni tushuntirish uchun yetarli.
祖父	bobo	Bobom eski hikoyalarni aytishni yaxshi ko'radi.
祖国	vatan	U vatanini chuqur sevadi.
祖先	ajdod	Ular o'z ajdodlarini xotirlaydi.
阻碍	to'sqinlik qilmoq	Mablag' tanqisligi loyiha rivojiga to'sqinlik qiladi.
阻拦	to'sib qo'ymoq	Qo'riqchi begonalarning kirishini to'sib qo'ydi.
阻挠	qasddan to'sqinlik qilmoq	Kimdir tergovga qasddan to'sqinlik qildi.
钻研	chuqur o'rganmoq	U qadimgi adabiyotni chuqur o'rganadi.
钻石	olmos	Uzukka olmos qadalgan.
嘴唇	lab	Sovuq shamol lablarini yorib yubordi.
罪犯	jinoyatchi	Politsiya qochgan jinoyatchini hibsga oldi.
尊严	qadr-qimmat	Har bir odam qadr-qimmatga ega bo'lishi kerak.
遵循	rioya qilmoq	Shifokorlar qat'iy standartlarga rioya qiladi.
作弊	ko'chirmachilik qilmoq	Imtihonda ko'chirmachilik qilganlar jazolanadi.
作废	bekor bo'lmoq	Eski chipta allaqachon bekor bo'lgan.
作风	ish uslubi	Rahbarning ish uslubi amaliy.
作息	ish-dam tartibi	Muntazam ish-dam tartibi sog'liq uchun foydali.
做主	qaror qilmoq	Bu masalada qarorni sen qilasan.
座右铭	shior	Uning shiori hech qachon taslim bo'lmaslik.
