simplified	ML	example_ML
受伤	പരിക്കേൽക്കുക	മത്സരത്തിനിടെ അവന് പരിക്കേറ്റു.
寿命	ആയുസ്സ്	ഈ തരത്തിലുള്ള യന്ത്രത്തിന് ദീർഘമായ സേവന ആയുസ്സുണ്ട്.
书架	പുസ്തക അലമാര	പുസ്തക അലമാര പുസ്തകങ്ങളാൽ നിറഞ്ഞിരിക്കുന്നു.
梳子	ചീപ്പ്	അവൾ ചീപ്പുകൊണ്ട് മുടി ചീകുന്നു.
舒适	സുഖകരമായ	ഈ മുറി വളരെ സുഖകരമാണ്.
蔬菜	പച്ചക്കറികൾ	കൂടുതൽ പച്ചക്കറികൾ കഴിക്കുന്നത് ആരോഗ്യത്തിന് നല്ലതാണ്.
输入	നൽകുക	ദയവായി കമ്പ്യൂട്ടറിൽ പാസ്‌വേഡ് നൽകൂ.
熟练	പ്രാവീണ്യമുള്ള	അവൻ കമ്പ്യൂട്ടർ പ്രാവീണ്യത്തോടെ ഉപയോഗിക്കാം.
属于	പെട്ടത്; ഉൾപ്പെടുക	ഈ പുസ്തകം ലൈബ്രറിയുടേതാണ്.
数	എണ്ണുക; സംഖ്യ	ഇവിടെ എത്ര പേർ ഉണ്ടെന്ന് എണ്ണൂ.
鼠标	കമ്പ്യൂട്ടർ മൗസ്	എന്റെ കമ്പ്യൂട്ടർ മൗസ് കേടായി.
数据	വിവരങ്ങൾ; ഡാറ്റ	ഈ വിവരങ്ങൾ വളരെ പ്രധാനമാണ്.
数码	ഡിജിറ്റൽ	അവൻ ഒരു ഡിജിറ്റൽ ക്യാമറ വാങ്ങി.
摔倒	വീഴുക	അവൾ റോഡിൽ വീണു.
甩	കുലുക്കി കളയുക; എറിയുക	അവൻ കൈകളിലെ വെള്ളം കുലുക്കി കളഞ്ഞു.
双方	ഇരുവിഭാഗം	ഇരുവിഭാഗവും ഈ പദ്ധതിക്ക് സമ്മതിച്ചു.
税	നികുതി	വസ്തുക്കൾ വാങ്ങുമ്പോൾ നികുതി അടയ്ക്കണം.
说不定	ഉറപ്പില്ല; ഒരുപക്ഷേ	ഒരുപക്ഷേ നാളെ മഞ്ഞ് പെയ്യും.
说服	സമ്മതിപ്പിക്കുക; മനസ്സിലാക്കിക്കുക	അവൻ ഒടുവിൽ മാതാപിതാക്കളെ സമ്മതിപ്പിച്ചു.
丝绸	പട്ട്	ഈ സ്കാർഫ് പട്ടുകൊണ്ടാണ് ഉണ്ടാക്കിയിരിക്കുന്നത്.
丝毫	അല്പം പോലും	അവൻ തന്റെ തീരുമാനം അല്പം പോലും മാറ്റിയില്ല.
思考	ചിന്തിക്കുക	ദയവായി ഈ പ്രശ്നത്തെക്കുറിച്ച് ശ്രദ്ധാപൂർവ്വം ചിന്തിക്കൂ.
思想	ചിന്ത; ആശയം	അവന്റെ ചിന്ത വളരെ തുറന്നതാണ്.
撕	കീറുക	ദയവായി ഈ കടലാസ് കീറരുത്.
私人	സ്വകാര്യ	ഇത് എന്റെ സ്വകാര്യ സ്ഥലമാണ്.
似乎	തോന്നുന്നു	അവൻ അത്ര സന്തോഷമുള്ളവനല്ലെന്ന് തോന്നുന്നു.
搜索	തിരയുക	ഞാൻ ഇന്റർനെറ്റിൽ സാമഗ്രികൾ തിരഞ്ഞു.
宿舍	ഹോസ്റ്റൽ മുറി; വിദ്യാർത്ഥി താമസസ്ഥലം	വിദ്യാർത്ഥികൾ സ്കൂളിന്റെ ഹോസ്റ്റലിൽ താമസിക്കുന്നു.
随身	കൂടെ വഹിക്കുക	ദയവായി പാസ്‌പോർട്ട് നിങ്ങളോടൊപ്പം സൂക്ഷിക്കൂ.
随时	എപ്പോഴും; ഏതു സമയത്തും	നിങ്ങൾക്ക് ഏതു സമയത്തും എന്നെ വിളിക്കാം.
随手	പോകുമ്പോൾ തന്നെ; സൗകര്യമായി	പുറത്തുപോകുമ്പോൾ ദയവായി വാതിൽ അടയ്ക്കൂ.
碎	തകർന്ന; കഷണങ്ങളായ	കപ്പ് നിലത്ത് വീണ് തകർന്നു.
损失	നഷ്ടം; കേടുപാട്	ഈ അപകടം വലിയ നഷ്ടം ഉണ്ടാക്കി.
缩短	ചുരുക്കുക	പുതിയ വഴി യാത്ര ചുരുക്കി.
所	സ്ഥാപനങ്ങൾക്കുള്ള എണ്ണവാക്ക്; സ്ഥലം	ഈ സ്കൂൾ വളരെ പ്രശസ്തമാണ്.
锁	പൂട്ടുക	പുറത്തുപോകുന്നതിന് മുമ്പ് വാതിൽ പൂട്ടൂ.
台阶	പടികൾ	മുതിർന്നയാൾ പതുക്കെ പടികൾ കയറി.
太极拳	തായ്‌ചി വ്യായാമം	പാർക്കിൽ ചിലർ തായ്‌ചി അഭ്യസിക്കുന്നു.
太太	ശ്രീമതി; ഭാര്യ	വാങ് മാഡം പാചകം ചെയ്യുന്നു.
谈判	ചർച്ച; ചർച്ച നടത്തുക	ഇരുവിഭാഗവും ചർച്ച നടത്തുന്നു.
坦率	തുറന്നുപറയുന്ന; തുറന്ന	അവൻ തന്റെ ചിന്തകൾ തുറന്നുപറഞ്ഞു.
烫	ചൂടുകൊണ്ട് പൊള്ളിക്കുക; അതിചൂടുള്ള	ഈ ചായകപ്പ് വളരെ ചൂടാണ്.
桃	പീച്ച് പഴം	മരത്തിൽ പല പീച്ച് പഴങ്ങളും വളർന്നു.
淘气	കുസൃതിയുള്ള	ഈ കുട്ടി അല്പം കുസൃതിയുള്ളവനാണ്.
逃	ഓടിപ്പോകുക; രക്ഷപ്പെടുക	കുഞ്ഞുനായ മുറ്റത്ത് നിന്ന് ഓടിപ്പോയി.
逃避	ഒഴിവാക്കുക; മാറിനിൽക്കുക	ഉത്തരവാദിത്വത്തിൽ നിന്ന് മാറിനിൽക്കരുത്.
讨价还价	വിലപേശുക	ഷോപ്പിംഗ് ചെയ്യുമ്പോൾ അവന് വിലപേശാൻ ഇഷ്ടമാണ്.
套	സെറ്റ്; മൂടി	അവൻ പുതിയൊരു വസ്ത്രസെറ്റ് വാങ്ങി.
特色	പ്രത്യേകത; സവിശേഷത	ഈ റസ്റ്റോറന്റിന് പ്രാദേശിക പ്രത്യേകതകളുണ്ട്.
特殊	പ്രത്യേകമായ	ഇന്ന് ഒരു പ്രത്യേക ദിവസമാണ്.
特征	സവിശേഷ ലക്ഷണം	ഈ തരത്തിലുള്ള മൃഗത്തിന് വ്യക്തമായ സവിശേഷ ലക്ഷണങ്ങളുണ്ട്.
疼爱	വളരെ സ്നേഹിക്കുക	മുത്തശ്ശനും മുത്തശ്ശിയും കുട്ടിയെ വളരെ സ്നേഹിക്കുന്നു.
提倡	പ്രോത്സാഹിപ്പിക്കുക; വാദിക്കുക	സ്കൂൾ വെള്ളം സംരക്ഷിക്കുന്നത് പ്രോത്സാഹിപ്പിക്കുന്നു.
提纲	രൂപരേഖ	ലേഖനം എഴുതുന്നതിന് മുമ്പ് ഒരു രൂപരേഖ തയ്യാറാക്കൂ.
提问	ചോദ്യം ചോദിക്കുക	വിദ്യാർത്ഥികൾക്ക് ഏതു സമയത്തും ചോദ്യം ചോദിക്കാം.
题目	ചോദ്യം; വിഷയം; തലക്കെട്ട്	ഈ ചോദ്യം അധികം ബുദ്ധിമുട്ടല്ല.
体会	അനുഭവത്തിലൂടെ മനസ്സിലാക്കുക	യാത്രയിലൂടെ എനിക്ക് പുതിയൊരു ബോധ്യം ലഭിച്ചു.
体贴	പരിഗണനയുള്ള	അവൻ കുടുംബത്തോടു വളരെ പരിഗണനയുള്ളവനാണ്.
体现	പ്രതിഫലിപ്പിക്കുക	ഈ കാര്യം ടീം ആത്മാവിനെ പ്രതിഫലിപ്പിക്കുന്നു.
体验	സ്വയം അനുഭവിക്കുക	പ്രാദേശിക ജീവിതം സ്വയം അനുഭവിക്കാൻ ഞാൻ ആഗ്രഹിക്കുന്നു.
天空	ആകാശം	ഇന്ന് ആകാശം വളരെ നീലയാണ്.
天真	നിഷ്കളങ്കമായ	കുട്ടിയുടെ ചിന്ത വളരെ നിഷ്കളങ്കമാണ്.
调皮	കുസൃതിയുള്ള	ആ പൂച്ച വളരെ കുസൃതിയുള്ളതാണ്.
调整	ക്രമീകരിക്കുക; മാറ്റം വരുത്തുക	നമുക്ക് പദ്ധതി ക്രമീകരിക്കണം.
挑战	വെല്ലുവിളി	ഇത് വലിയൊരു വെല്ലുവിളിയാണ്.
通常	സാധാരണയായി	അവൻ സാധാരണയായി ഏഴുമണിക്ക് എഴുന്നേൽക്കും.
统一	ഒന്നിപ്പിക്കുക; ഏകീകരിക്കുക	എല്ലാവരുടെയും അഭിപ്രായങ്ങൾ ഏകീകരിക്കണം.
痛苦	വേദന; ദുഃഖം	സുഹൃത്തിനെ നഷ്ടപ്പെട്ടത് അവനെ വളരെ ദുഃഖിതനാക്കി.
痛快	മനസ്സ് നിറഞ്ഞ സന്തോഷം; രസകരം	ഇന്ന് ഞങ്ങൾ വളരെ രസകരമായി സമയം ചെലവഴിച്ചു.
偷	മോഷ്ടിക്കുക	മറ്റുള്ളവരുടെ വസ്തുക്കൾ മോഷ്ടിക്കരുത്.
投入	മുഴുകി പ്രവർത്തിക്കുക; നിക്ഷേപിക്കുക	അവൻ വലിയ ശ്രദ്ധയോടെ ജോലി ചെയ്യുന്നു.
投资	നിക്ഷേപം; നിക്ഷേപിക്കുക	അവർ ഒരു പുതിയ പദ്ധതിയിൽ നിക്ഷേപിച്ചു.
透明	സുതാര്യമായ	ഈ കപ്പ് സുതാര്യമാണ്.
突出	വ്യക്തമായി തെളിയുന്ന; മികച്ച	അവന്റെ ശക്തികൾ വളരെ വ്യക്തമായി തെളിയുന്നു.
土地	ഭൂമി; മണ്ണ്	ഈ ഭൂമി വളരെ ഫലഭൂയിഷ്ഠമാണ്.
土豆	ഉരുളക്കിഴങ്ങ്	ഞാൻ ചില ഉരുളക്കിഴങ്ങുകൾ വാങ്ങി.
兔子	മുയൽ	കുട്ടി ഒരു മുയലിനെ വളർത്തുന്നു.
吐	ഛർദ്ദിക്കുക	അവന് അസ്വസ്ഥത തോന്നി ഛർദ്ദിക്കാൻ തോന്നുന്നു.
团	സംഘം; വട്ടം	ഞങ്ങൾ ഒരു യാത്രാസംഘത്തിൽ ചേർന്നു.
