simplified	FR	example_FR
视力	vision; vue	Regarder longtemps un écran peut affecter la vue.
视频	vidéo	Envoie-moi la vidéo, s'il te plaît.
视线	ligne de vue	Le brouillard épais a bloqué la visibilité du conducteur.
视野	horizon; champ de vision	Voyager peut élargir les horizons.
试图	essayer; tenter	Il a essayé d'expliquer sa décision.
试验	expérience; essai	Les scientifiques ont mené de nombreux essais.
适宜	approprié; convenable	Le climat ici convient à l'habitation.
逝世	décéder	Cet écrivain est décédé l'année dernière.
释放	libérer	Le tribunal a décidé de libérer l'accusé.
收藏	collectionner; collection	Il collectionne beaucoup de vieux timbres.
收缩	se contracter; rétrécir	L'air froid fait se contracter le métal.
收益	profit; rendement	Le rendement de l'investissement est supérieur aux attentes.
收音机	radio	Grand-mère écoute la radio tous les jours.
守护	protéger; veiller sur	Les médecins protègent la vie des patients.
手法	technique; procédé	La technique de tournage du réalisateur est très particulière.
手势	geste; signe	Il a exprimé son accord par un geste.
手艺	savoir-faire; artisanat	Ce maître artisan a un excellent savoir-faire.
首饰	bijou	Elle porte des bijoux en argent simples.
首要	principal; prioritaire	La sécurité est la tâche prioritaire.
受罪	souffrir	Le patient a beaucoup souffert après l'opération.
授予	décerner; conférer	L'école lui a décerné un diplôme honorifique.
书法	calligraphie	Il pratique la calligraphie depuis l'enfance.
书记	secrétaire	Le secrétaire du village a présidé la réunion.
书籍	livres	La bibliothèque possède un grand nombre de livres.
书面	écrit	Veuillez fournir une attestation écrite.
疏忽	négligence	Cette erreur vient d'une négligence au travail.
疏远	s'éloigner; devenir distant	Le malentendu a peu à peu éloigné les deux personnes.
舒畅	détendu; à l'aise	Après la promenade, il se sent très détendu.
数额	montant	Le montant de l'indemnisation n'est pas encore fixé.
束	bouquet; lier	Elle a acheté un bouquet de fleurs.
束缚	entraver; limiter	Les idées traditionnelles ont limité ses choix.
树立	établir; former	L'entreprise doit établir une bonne image.
竖	ériger; vertical	Veuillez redresser le panneau.
耍	jouer avec	Ne joue pas avec ton téléphone pendant le travail.
衰老	vieillir	L'exercice peut ralentir le vieillissement.
衰退	déclin; récession	La récession économique a affecté l'emploi.
率领	diriger; mener	Le capitaine mène l'équipe en avant.
涮火锅	manger une fondue chinoise	En hiver, tout le monde aime manger une fondue chinoise.
双胞胎	jumeaux	Ils sont jumeaux.
爽快	franc; direct	Elle a répondu très franchement.
水利	hydraulique; irrigation	Cette région accorde de l'importance aux ouvrages hydrauliques.
水龙头	robinet	Le robinet de la cuisine fuit.
水泥	ciment	Les ouvriers transportent le ciment sur le chantier.
瞬间	instant; en un éclair	Les lumières se sont toutes éteintes en un instant.
司法	judiciaire; justice	L'indépendance judiciaire nécessite des garanties institutionnelles.
司令	commandant	Le commandant a donné l'ordre de retraite.
思念	manquer; penser à	Elle pense souvent à son pays natal.
思索	réfléchir profondément	Il a baissé la tête et réfléchi longuement.
思维	pensée; raisonnement	Cet entraînement peut améliorer la pensée logique.
斯文	cultivé; raffiné	Il parle d'une manière très raffinée.
私自	sans autorisation; en secret	Les élèves ne peuvent pas quitter l'école sans autorisation.
死亡	mort; décès	L'accident a causé la mort de plusieurs personnes.
四肢	les quatre membres	Il faut échauffer les quatre membres avant le sport.
寺庙	temple	Il y a un vieux temple sur la montagne.
肆无忌惮	sans scrupule	Il détruit les règles sans le moindre scrupule.
饲养	élever	La ferme élève de nombreuses vaches laitières.
耸	hausser	Il a seulement haussé les épaules après avoir écouté.
艘	classificateur pour navires	Trois cargos sont amarrés dans le port.
苏醒	reprendre conscience	Le patient a finalement repris conscience.
俗话	proverbe	Comme le dit le proverbe, c'est en forgeant qu'on devient forgeron.
塑造	façonner	L'environnement façonne le caractère d'une personne.
素食	nourriture végétarienne	Ce restaurant propose des plats végétariens.
素质	qualité; compétence	Le personnel de service est très compétent.
诉讼	procès	Les deux parties ont décidé de régler cela par un procès.
算数	compter; tenir parole	Tu dois tenir parole sur ce que tu as dit.
随即	aussitôt	Après la réunion, il est parti aussitôt.
随意	à volonté; librement	Veuillez ne pas modifier les paramètres à volonté.
岁月	années; temps qui passe	Les années ont changé son apparence.
隧道	tunnel	Le train traverse un long tunnel.
损坏	endommager	La forte pluie a endommagé la route.
索取	demander; réclamer	Les clients peuvent demander des échantillons gratuits.
索性	tout simplement	La pluie est trop forte, nous ne sortons tout simplement pas.
塌	s'effondrer	Le toit de la vieille maison s'est effondré.
踏实	rassuré; concret	Après avoir terminé la tâche, je me sens rassuré.
塔	tour; pagode	Il y a une haute tour au centre de la ville.
台风	typhon	Le typhon devrait toucher terre demain.
太空	espace	L'humanité explore toujours l'espace.
泰斗	grand maître; sommité	C'est une sommité dans le domaine de la linguistique.
摊	étal; étendre	Elle a installé un étal de fruits au marché.
瘫痪	paralysie	L'accident de la route a provoqué la paralysie de ses membres inférieurs.
贪婪	avide; cupide	La cupidité peut détruire une personne.
贪污	corruption	Le fonctionnaire fait l'objet d'une enquête pour corruption.
弹性	élasticité; flexibilité	Ce matériau est très élastique.
坦白	avouer; franc	Il a finalement avoué la vérité.
叹气	soupirer	En entendant le résultat, il n'a pas pu s'empêcher de soupirer.
探测	détecter; sonder	L'équipement peut détecter les eaux souterraines.
探索	explorer	Les scientifiques continuent d'explorer l'univers.
探讨	examiner; discuter	Les experts ont discuté du plan de réforme.
探望	rendre visite	Ce week-end, je vais rendre visite à un ami à l'hôpital.
倘若	si; au cas où	Si jamais il pleut, l'activité sera reportée.
掏	sortir; tirer	Il a sorti les clés de sa poche.
滔滔不绝	parler sans arrêt	Quand il parle d'histoire, il parle sans arrêt.
淘汰	éliminer	Cette équipe a été éliminée à l'avance.
陶瓷	céramique	Jingdezhen est célèbre pour sa céramique.
陶醉	être enchanté	Le public était enchanté par la musique.
讨好	chercher à plaire	Il ne veut pas chercher délibérément à plaire à son supérieur.
特长	point fort; talent	La peinture est son point fort.
特定	spécifique; désigné	Veuillez déposer la demande dans le délai spécifié.
特意	exprès; spécialement	Je suis venu exprès pour te remercier.
提拔	promouvoir	L'entreprise l'a promue responsable du service.
提炼	extraire; raffiner	L'usine extrait le métal du minerai.
提示	indiquer; inviter	Le système vous demandera de saisir le mot de passe.
提议	proposer; proposition	Elle a proposé de continuer la discussion demain.
题材	sujet; thème	Ce film traite d'un sujet original.
体裁	genre; forme	Le roman et la poésie sont des genres différents.
体积	volume	Cette caisse a un grand volume.
体谅	comprendre; faire preuve d'empathie	Veuillez comprendre ses difficultés.
体面	digne; honorable	Il veut trouver un emploi honorable.
体系	système	L'entreprise a établi un système complet de formation.
天才	génie; talent	Cet enfant est considéré comme un génie de la musique.
天赋	don; talent inné	Elle a un don pour les langues.
天伦之乐	bonheur familial	Le vieil homme profite du bonheur familial.
天然气	gaz naturel	Les habitants de la ville utilisent le gaz naturel pour cuisiner.
天生	inné; naturel	Il est naturellement optimiste.
天堂	paradis	Cet endroit ressemble à un paradis sur terre.
天文	astronomie	Il aime l'astronomie depuis l'enfance.
田径	athlétisme	L'école a organisé une compétition d'athlétisme.
田野	champ; campagne	Au printemps, les champs sont tout verts.
舔	lécher	Le petit chien a léché la main de son maître.
挑剔	difficile; exigeant	Elle est très difficile sur la nourriture.
条款	clause	Il faut lire attentivement les clauses du contrat.
条理	ordre; logique	Son intervention est très bien structurée.
条约	traité; pacte	Les deux pays ont signé un traité de paix.
调和	harmonieux	Ces deux couleurs vont bien ensemble.
调剂	équilibrer; ajuster	Le sport peut équilibrer une vie tendue.
调节	régler; réguler	La climatisation peut régler la température intérieure.
调解	médier; concilier	Le personnel du quartier aide les deux parties à résoudre le conflit.
调料	assaisonnement	Il faut ajouter un peu d'assaisonnement dans la soupe.
挑拨	semer la discorde	Ne sème pas la discorde entre collègues.
挑衅	provoquer; provocation	Ce propos a une provocation évidente.
跳跃	sauter; bondir	L'athlète a sauté trois fois de suite.
亭子	pavillon	Il y a un petit pavillon au bord du lac.
停泊	mouiller; être amarré	Les bateaux de pêche sont amarrés dans la baie.
停顿	pause	Il a fait une pause au milieu de sa phrase.
停滞	stagner	Le projet stagne faute de fonds.
挺拔	droit et élancé	Les pins poussent hauts et droits.
通货膨胀	inflation	L'inflation a fait monter le coût de la vie.
通缉	rechercher; mettre en avis de recherche	La police recherche ce suspect.
通俗	populaire; accessible	Le langage de ce livre est très accessible.
通讯	communication	Les technologies modernes de communication se développent vite.
通用	universel; commun	Ce chargeur est assez universel.
同胞	compatriote	Les compatriotes d'outre-mer suivent aussi le développement de leur région natale.
同志	camarade	Un vieux camarade a partagé son expérience de travail.
童话	conte de fées	Les enfants aiment écouter des contes de fées avant de dormir.
铜	cuivre	Cette statue est en cuivre.
统筹兼顾	planifier globalement	L'urbanisme doit tenir compte globalement de tous les intérêts.
统计	statistiques; compter	Nous devons compter le nombre d'inscriptions.
统统	tous; entièrement	Tous ces vieux documents doivent être archivés.
统治	gouverner; règne	Cette dynastie a gouverné pendant trois cents ans.
投机	spéculer; opportunisme	Il a gagné de l'argent par spéculation.
投票	voter	Les habitants iront voter demain.
投诉	plainte; porter plainte	Le client a porté plainte contre le vendeur sur la plateforme.
投降	se rendre	L'armée ennemie a finalement choisi de se rendre.
投掷	lancer	L'athlète s'entraîne au lancer du javelot.
透露	révéler; divulguer	Il n'a pas révélé les détails de la réunion.
秃	chauve	Il est devenu chauve très jeune.
突破	percée; franchir	La recherche a réalisé une percée importante.
图案	motif; dessin	Le motif de ce tissu est très beau.
徒弟	apprenti; disciple	Le maître apprend à son apprenti à réparer des montres.
涂抹	appliquer; étaler	Veuillez appliquer la pommade autour de la plaie.
途径	moyen; canal	Internet est un moyen important d'obtenir des informations.
土壤	sol	Un sol fertile convient à la culture des légumes.
团结	s'unir; unité	L'équipe doit s'unir et coopérer.
团体	groupe; organisation	Ce groupe organise régulièrement des activités.
团圆	réunion familiale	Le Nouvel An chinois est un jour de réunion familiale.
推测	supposer; conjecture	Les experts supposent que les prix vont encore augmenter.
推翻	renverser	Le peuple a renversé l'ancien système.
推理	raisonnement	Ce roman est plein de raisonnement déductif.
推论	déduction; inférence	Cette déduction a encore besoin de preuves.
推销	promouvoir; vendre	Il est chargé de vendre les nouveaux produits.
吞吞吐吐	hésiter en parlant	Il hésitait en répondant à la question.
托运	enregistrer; expédier	Les voyageurs peuvent enregistrer leurs bagages au guichet.
