simplified	SI	example_SI
朴实	සරල හා අවංක	ඔහුගේ භාෂාව සරල හා අවංකය.
朴素	සරල	ඇය සරල ජීවන රටාවකට කැමතිය.
瀑布	දිය ඇල්ල	සංචාරකයෝ දිය ඇල්ල අසල සිට ඡායාරූප ගත්හ.
凄凉	ශෝකජනක හා පාළු	ශීත ඍතුවේ කඳු ගම ශෝකජනක හා පාළු ලෙස පෙනුණි.
期望	අපේක්ෂාව	මාපියන්ට දරුවන් පිළිබඳ ඉහළ අපේක්ෂා ඇත.
期限	කාල සීමාව	ලියාපදිංචි වීමේ කාල සීමාව මේ සිකුරාදාය.
欺负	හිරිහැර කිරීම	ලොකු දරුවන් කුඩා දරුවන්ට හිරිහැර නොකළ යුතුය.
欺骗	වංචා කිරීම	බොරු දැන්වීම් පාරිභෝගිකයන්ට වංචා කළේය.
奇妙	අද්භූත හා සුන්දර	ස්වභාව ධර්මයේ බොහෝ අද්භූත හා සුන්දර සංසිද්ධි ඇත.
旗袍	චීන විලාසිතාවේ ඇඳුම	ඇය රතු චීන විලාසිතාවේ ඇඳුමක් ඇඳ සාදයට ගියාය.
旗帜	කොඩිය	චතුරශ්‍රයේ දීප්තිමත් කොඩි ලෙළදෙමින් තිබුණි.
歧视	වෙනස්කම් කිරීම	නීතිය ඕනෑම ආකාරයක වෙනස්කම් කිරීම තහනම් කරයි.
齐全	සම්පූර්ණ	මෙම වෙළඳසැලේ මෙවලම් ඉතා සම්පූර්ණය.
齐心协力	එකට සිත එකඟ කර වැඩ කිරීම	සියලු දෙනා එකට සිත එකඟ කර කාර්යය අවසන් කළහ.
乞丐	යාචකයා	මාර්ගය අසල මහලු යාචකයෙකු වාඩි වී සිටියේය.
企图	උත්සාහය	ඔහු සත්‍ය තත්ත්වය සඟවීමට උත්සාහ කළේය.
启程	ගමන ආරම්භ කිරීම	නියෝජිත කණ්ඩායම හෙට උදෑසන ගමන ආරම්භ කරයි.
启蒙	මූලික අවබෝධය ලබා දීම	මෙම පොත දරුවන්ගේ මූලික කියවීම සඳහා සුදුසුය.
启事	නිවේදනය	පාසල් දොරටුවේ රැකියා නිවේදනයක් අලවා ඇත.
启示	වැදගත් අවබෝධය	මෙම අසාර්ථකත්වය අපට වැදගත් අවබෝධයක් දුන්නේය.
岂有此理	මෙය කිසිසේත් සාධාරණ නැත	මෙවැනි ගාස්තු අය කිරීම කිසිසේත් සාධාරණ නැත.
起草	කෙටුම්පත් කිරීම	නීතිඥයා ගිවිසුම කෙටුම්පත් කරමින් සිටී.
起初	ආරම්භයේදී	ආරම්භයේදී ඔහු මෙම පුවත විශ්වාස කළේ නැත.
起伏	උස් පහත් වීම	කඳු මාර්ගය භූමි හැඩය අනුව උස් පහත් වේ.
起哄	කලබල කිරීම	සිසුන් පන්තියේදී කලබල නොකළ යුතුය.
起码	අවම වශයෙන්	ඔබ අවම වශයෙන් මට කලින් දැනුම් දිය යුතුය.
起源	ආරම්භය	මෙම උත්සවය පුරාණ කාලයෙන් ආරම්භ විය.
器材	උපකරණ	ප්‍රයෝගශාලාවට නව ඉගැන්වීම් උපකරණ අවශ්‍යය.
器官	අංගය	හෘදය මිනිස් ශරීරයේ වැදගත් අංගයකි.
气概	වීරෝදාර ස්වභාවය	මෙම කවිය වීරෝදාර ස්වභාවයක් පෙන්වයි.
气功	චීගොං ව්‍යායාමය	සීයා සෑම උදෑසනකම චීගොං ව්‍යායාමය කරයි.
气魄	ධෛර්යමත් විශාලත්වය	මෙම මහා පාලමට ධෛර්යමත් විශාලත්වයක් ඇත.
气色	මුහුණේ වර්ණය	විවේකයෙන් පසු ඔහුගේ මුහුණේ වර්ණය බොහෝ හොඳ විය.
气势	උද්යෝගී බලය	කණ්ඩායම ආරම්භයේදීම ශක්තිමත් උද්යෝගී බලයක් පෙන්වීය.
气味	සුවඳ	කුස්සියේ බේක් කළ පාන් සුවඳක් තිබුණි.
气象	කාලගුණ තත්ත්වය	මෙහි උස්බිම් කාලගුණ තත්ත්වය ඉක්මනින් වෙනස් වේ.
气压	වායු පීඩනය	වායු පීඩනය අඩු වීම වැසි ගෙන එන්නට හැකිය.
气质	ස්වභාව ගුණය	ඇයට නිහඬ ස්වභාව ගුණයක් ඇත.
迄今为止	මේ දක්වා	මේ දක්වා අත්හදා බැලීම සුමටව ඉදිරියට යයි.
掐	ඇඟිලි අතරින් කඩා ගැනීම	ඇය කුඩා මලක් ඇඟිලි අතරින් කඩා ගත්තාය.
恰当	සුදුසු	ඔබේ පිළිතුර ඉතා සුදුසුය.
恰到好处	හරියටම සුදුසු තරම්	මෙම ආහාරයේ මිහිරියාව හරියටම සුදුසු තරම්ය.
恰巧	අහම්බෙන් හරියටම	මම ස්ථානයට පැමිණි විට අහම්බෙන්ම වැස්ස ආරම්භ විය.
洽谈	සාකච්ඡා කිරීම	පාර්ශ්ව දෙක සහයෝගිතා විස්තර සාකච්ඡා කරමින් සිටී.
千方百计	සියලු මාර්ග යොදා	ඔවුහු විසඳුමක් සොයා ගැනීමට සියලු මාර්ග යොදා ගත්හ.
牵	අල්ලාගෙන ගෙන යාම	මව දරුවාගේ අත අල්ලාගෙන පාර මාරු වූවාය.
牵扯	සම්බන්ධ කර ගැනීම	මෙම කාරණය බොහෝ දෙපාර්තමේන්තු සම්බන්ධ කරයි.
牵制	පාලනය කර සීමා කිරීම	අනෙක් පාර්ශ්වයේ ආරක්ෂාව ප්‍රහාරය පාලනය කර සීමා කළේය.
签署	අත්සන් කිරීම	සමාගම් දෙක ගිවිසුමට අත්සන් කළහ.
谦逊	විනීත	සාර්ථක වූ පසුවත් ඔහු තවමත් ඉතා විනීතය.
迁就	ගැළපීමට ඉඩ දීම	මාපියන් හැමවිටම දරුවන්ට ගැළපීමට ඉඩ නොදිය යුතුය.
迁徙	සංක්‍රමණය වීම	සංක්‍රමණික කුරුල්ලෝ සෑම වසරකම ඍතුව අනුව සංක්‍රමණය වෙති.
前景	අනාගත දර්ශනය	මෙම කර්මාන්තයේ අනාගත දර්ශනය හොඳය.
前提	පූර්ව කොන්දේසිය	විශ්වාසය සහයෝගිතාවේ පූර්ව කොන්දේසියයි.
潜力	විභවය	මෙම සිසුවාට විශාල විභවයක් ඇත.
潜水	දිය යට කිමිදීම	ඔවුහු මුහුදු වෙරළට ගොස් දිය යට කිමිදීම ඉගෙන ගත්හ.
潜移默化	නොදැනුවත්ව බලපාීම	පවුල් පරිසරය දරුවාට නොදැනුවත්ව බලපායි.
