simplified	HI	example_HI	BN	example_BN	TL	example_TL
帅	सुंदर; स्मार्ट	वह आज बहुत स्मार्ट कपड़े पहने हुए है।	সুদর্শন; স্মার্ট	আজ তাকে খুব সুদর্শন দেখাচ্ছে।	makisig; guwapo	Napakaguwapo ng bihis niya ngayon.
顺便	साथ में; लगे हाथ	दफ़्तर से लौटते समय मैंने लगे हाथ कुछ सब्ज़ियाँ खरीद लीं।	সুযোগে; পথে পথে	অফিস থেকে ফেরার পথে আমি সুযোগে কিছু সবজি কিনেছি।	maisabay; habang naroon	Sumabay na akong bumili ng gulay pauwi mula sa trabaho.
顺利	सफलतापूर्वक; सुचारु रूप से	प्रतियोगिता सुचारु रूप से चली।	সুষ্ঠুভাবে; নির্বিঘ্নে	প্রতিযোগিতাটি সুষ্ঠুভাবে চলেছে।	maayos; matagumpay	Maayos na naganap ang paligsahan.
顺序	क्रम	कृपया क्रम मत बिगाड़िए।	ক্রম; ধারাবাহিকতা	দয়া করে ক্রমটা এলোমেলো করবেন না।	pagkakasunod-sunod	Huwag ninyong guluhin ang pagkakasunod-sunod.
说明	समझाना; व्याख्या	उसने इस बात का कारण सबको समझाया।	ব্যাখ্যা করা; বোঝানো	সে বিষয়টির কারণ সবাইকে ব্যাখ্যা করেছে।	ipaliwanag; paliwanag	Ipinaliwanag niya sa lahat ang dahilan ng bagay na ito.
硕士	स्नातकोत्तर डिग्री; मास्टर डिग्री	मैं विश्वविद्यालय में मास्टर डिग्री की पढ़ाई कर रहा हूँ।	স্নাতকোত্তর ডিগ্রি; মাস্টার্স	আমি বিশ্ববিদ্যালয়ে মাস্টার্সে পড়ছি।	masterado	Nag-aaral ako ng masterado sa unibersidad.
死	मरना; मृत	यह पेड़ पहले ही मर चुका है।	মারা যাওয়া; মৃত	এই গাছটি ইতিমধ্যে মরে গেছে।	mamatay; patay	Patay na ang punong ito.
塑料袋	प्लास्टिक की थैली	पर्यावरण की रक्षा के लिए कृपया प्लास्टिक की थैलियाँ इस्तेमाल न करें।	প্লাস্টিকের ব্যাগ	পরিবেশ রক্ষার জন্য দয়া করে প্লাস্টিকের ব্যাগ ব্যবহার করবেন না।	plastik na supot	Para maprotektahan ang kapaligiran, huwag gumamit ng plastik na supot.
速度	गति; रफ़्तार	वह सचमुच बहुत तेज़ दौड़ता है!	গতি; বেগ	সে সত্যিই খুব দ্রুত দৌড়ায়!	bilis	Napakabilis niyang tumakbo!
酸	खट्टा	तुम्हारे खरीदे हुए अंगूर थोड़े खट्टे हैं।	টক	তুমি যে আঙুর কিনেছ, তা একটু টক।	maasim	Medyo maasim ang binili mong ubas.
随便	जैसा चाहे; मनमर्ज़ी से	आप सब जहाँ चाहें बैठिए।	যেমন খুশি; ইচ্ছেমতো	আপনারা যেমন খুশি বসুন।	kahit saan; malaya	Maupo kayo kahit saan ninyo gusto.
随着	के साथ-साथ; जैसे-जैसे	अर्थव्यवस्था के विकास के साथ लोगों का जीवन बहुत बेहतर हुआ है।	সঙ্গে; সঙ্গে সঙ্গে	অর্থনীতির উন্নতির সঙ্গে মানুষের জীবন অনেক উন্নত হয়েছে।	kasabay ng; habang	Kasabay ng pag-unlad ng ekonomiya, malaki ang naging pagbuti ng buhay ng mga tao.
孙子	पोता	दादाजी अपने पोते को बहुत पसंद करते हैं।	নাতি; পিতৃসূত্রে নাতি	দাদু নিজের নাতিকে খুব ভালোবাসেন।	apong lalaki	Mahal na mahal ni Lolo ang apo niyang lalaki.
所有	सभी; हर	सभी लोगों ने माना कि गलती उसी की थी।	সব; সকল	সবাই মনে করেছে ভুলটা তারই ছিল।	lahat	Inakala ng lahat na siya ang mali.
台	मशीनों और उपकरणों के लिए गणक	यह कंप्यूटर नया खरीदा गया है।	যন্ত্রের গণক	এই কম্পিউটারটি নতুন কেনা হয়েছে।	pangbilang sa makina at kagamitan	Bagong bili ang kompyuter na ito.
抬	उठाना; ढोना	वे मेज़ उठाकर कक्षा में ले गए।	তোলা; বহন করা	তারা ডেস্কটি তুলে শ্রেণিকক্ষে নিয়ে গেছে।	buhatin; itaas	Binuhat nila ang mesa papasok sa silid-aralan.
态度	रवैया; व्यवहार	वेटर का ग्राहकों के प्रति रवैया बहुत अच्छा है।	মনোভাব; আচরণ	গ্রাহকদের প্রতি কর্মচারীর আচরণ খুব ভালো।	saloobin; pakikitungo	Napakaganda ng pakikitungo ng tagapaglingkod sa mga kostumer.
弹钢琴	पियानो बजाना	मैंने चार साल की उम्र में पियानो बजाना सीखना शुरू किया।	পিয়ানো বাজানো	আমি চার বছর বয়সে পিয়ানো বাজানো শেখা শুরু করেছি।	tumugtog ng piyano	Apat na taong gulang ako nang magsimula akong matutong tumugtog ng piyano.
